Quarter,Time,Down,ToGo,Location,NOR,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"John Carney kicks off 63 yards, returned by Tim Dwight for 20 yards (tackle by Roger Knight)",0.000,0.740
1,14:55,1,10,SDG 27,0,0,Drew Brees pass complete to Keenan McCardell for 9 yards (tackle by Fakhir Brown),0.740,1.410
1,14:16,2,1,SDG 36,0,0,LaDainian Tomlinson up the middle for no gain (tackle by Howard Green and Brian Young),1.410,0.700
1,13:44,3,1,SDG 36,0,0,Drew Brees up the middle for 2 yards (tackle by Howard Green),0.700,1.470
1,13:08,1,10,SDG 38,0,0,Drew Brees up the middle for 2 yards (tackle by Brian Young),1.470,1.190
1,12:27,2,8,SDG 40,0,0,Drew Brees pass incomplete intended for Keenan McCardell (defended by Mike McKenzie),1.190,0.500
1,12:23,3,8,SDG 40,0,0,Drew Brees pass complete to Keenan McCardell for 7 yards (tackle by Derrick Rodgers),0.500,-0.260
1,11:52,4,1,SDG 47,0,0,Jesse Chatman up the middle for 22 yards (tackle by Fred McAfee),-0.260,3.510
1,11:06,1,10,NOR 31,0,0,LaDainian Tomlinson up the middle for 6 yards (tackle by Tebucky Jones and Jay Bellamy),3.510,3.780
1,10:25,2,4,NOR 25,0,0,"LaDainian Tomlinson right end for 1 yard (tackle by Charles Grant). Penalty on Orlando Ruff: Unnecessary Roughness, 12 yards",3.780,4.780
1,9:55,1,10,NOR 12,0,6,"Drew Brees pass complete to Antonio Gates for 12 yards, touchdown. Penalty on Antonio Gates: Taunting, 15 yards",4.780,7.000
1,,,,NOR 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 15,0,7,"Nate Kaeding kicks off 58 yards, returned by Michael Lewis for 19 yards (tackle by Hanik Milligan)",0.000,1.990
1,9:43,1,10,NOR 46,0,7,Aaron Brooks pass incomplete intended for Joe Horn (defended by Donnie Edwards),1.990,1.450
1,9:37,2,10,NOR 46,0,7,Aaron Brooks pass incomplete intended for Ernie Conwell (defended by Randall Godfrey),1.450,0.760
1,9:34,3,10,NOR 46,0,7,"Aaron Brooks for -25 yards. Aaron Brooks fumbles, recovered by Deuce McAllister at NOR-21 and returned for 2 yards",0.760,-1.830
1,9:34,4,33,NOR 23,0,7,"Mitch Berger punts 53 yards, returned by Eric Parker for 6 yards (tackle by Fred McAfee)",-1.830,-0.940
1,8:35,1,10,SDG 30,0,7,Tim Dwight left end for 48 yards (tackle by Mike McKenzie),0.940,4.110
1,7:49,1,10,NOR 22,0,7,"LaDainian Tomlinson left end for no gain (tackle by Howard Green). LaDainian Tomlinson fumbles (forced by Howard Green), recovered by Mike Goff at NOR-20 and returned for 11 yards",4.110,5.140
1,7:00,1,9,NOR 9,0,7,LaDainian Tomlinson right tackle for 1 yard (tackle by Mike McKenzie),5.140,4.570
1,6:20,2,8,NOR 8,0,7,Drew Brees pass complete to Lorenzo Neal for 7 yards (tackle by Fakhir Brown),4.570,5.170
,,,,,,,"SDG challenged the ruling, and the play was upheld.",,
1,5:34,3,1,NOR 1,0,13,"LaDainian Tomlinson up the middle for 1 yard, touchdown",5.170,7.000
1,,,,NOR 2,0,14,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,14,"Nate Kaeding kicks off 65 yards, returned by Michael Lewis for 19 yards (tackle by Stephen Cooper)",0.000,0.540
1,5:23,1,10,NOR 24,0,14,Aaron Brooks pass complete to Deuce McAllister for 4 yards (tackle by Terrence Kiel),0.540,0.540
1,4:51,2,6,NOR 28,0,14,Deuce McAllister up the middle for 9 yards (tackle by Randall Godfrey and Ben Leber),0.540,1.400
1,4:09,1,10,NOR 37,0,14,"Deuce McAllister right tackle for no gain (tackle by Jamal Williams). Penalty on LeCharles Bentley: Offensive Holding, 10 yards (no play)",1.400,0.740
1,3:41,1,20,NOR 27,0,14,Aaron Brooks for 15 yards (tackle by Quentin Jammer and Steve Foley),0.740,1.530
1,3:13,2,5,NOR 42,0,14,Deuce McAllister right guard for 6 yards (tackle by Randall Godfrey and Jerry Wilson),1.530,2.130
1,2:36,1,10,NOR 48,0,14,Aaron Brooks pass incomplete intended for Jerome Pathon (defended by Jamal Williams),2.130,1.580
1,2:32,2,10,NOR 48,0,14,Deuce McAllister for -2 yards (tackle by Igor Olshansky and Randall Godfrey),1.580,0.630
1,1:53,3,12,NOR 46,0,14,"Penalty on Steve Foley: Defensive Offside, 5 yards (no play)",0.630,1.290
1,1:49,3,7,SDG 49,0,14,Aaron Brooks pass complete to Jerome Pathon for 13 yards (tackle by Jamar Fletcher),1.290,3.180
1,1:14,1,10,SDG 36,0,14,Deuce McAllister up the middle for 2 yards (tackle by Steve Foley and Donnie Edwards),3.180,2.910
1,0:33,2,8,SDG 34,0,14,Deuce McAllister up the middle for no gain (tackle by Igor Olshansky),2.910,2.210
Quarter,Time,Down,ToGo,Location,NOR,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,SDG 34,0,14,Aaron Brooks pass incomplete intended for Joe Horn is intercepted by Jerry Wilson at SDG-25 and returned for 12 yards (tackle by Montrae Holland),2.210,-1.400
2,14:52,1,10,SDG 37,0,14,Drew Brees pass complete to LaDainian Tomlinson for 10 yards (tackle by Mike McKenzie),1.400,2.060
2,14:09,1,10,SDG 47,0,14,Drew Brees pass complete to Keenan McCardell for 31 yards (tackle by Tebucky Jones),2.060,4.110
2,13:27,1,10,NOR 22,0,14,Keenan McCardell pass incomplete intended for Antonio Gates,4.110,3.560
2,13:18,2,10,NOR 22,0,14,Drew Brees pass incomplete intended for Antonio Gates,3.560,2.870
2,13:12,3,10,NOR 22,0,14,Drew Brees pass incomplete intended for Kassim Osgood (defended by Fred Thomas),2.870,1.990
2,13:06,4,10,NOR 22,0,17,Nate Kaeding 40 yard field goal good,1.990,3.000
2,,,,SDG 30,0,17,"Nate Kaeding kicks off 69 yards, returned by Michael Lewis for 31 yards (tackle by Clinton Hart)",0.000,1.070
2,12:56,1,10,NOR 32,0,17,Aaron Brooks pass complete to Deuce McAllister for 4 yards (tackle by Terrence Kiel),1.070,1.070
2,12:17,2,6,NOR 36,0,17,Aaron Brooks pass complete to Joe Horn for 12 yards (tackle by Quentin Jammer),1.070,2.130
2,11:44,1,10,NOR 48,0,17,Deuce McAllister left tackle for 5 yards (tackle by Donnie Edwards and Randall Godfrey),2.130,2.260
2,11:08,2,5,SDG 47,0,17,Aaron Brooks pass complete to Jerome Pathon for 12 yards (tackle by Sammy Davis),2.260,3.250
2,10:44,1,10,SDG 35,0,17,Deuce McAllister left end for 10 yards (tackle by Terrence Kiel),3.250,3.910
2,10:02,1,10,SDG 25,0,17,"Aaron Brooks pass incomplete intended for Joe Horn. Penalty on Quentin Jammer: Illegal Contact, 5 yards (no play)",3.910,4.240
2,9:56,1,10,SDG 20,0,17,Aaron Brooks pass incomplete intended for Deuce McAllister,4.240,3.690
2,9:52,2,10,SDG 20,0,17,Deuce McAllister right tackle for 3 yards (tackle by Ben Leber and Donnie Edwards),3.690,3.360
2,9:11,3,7,SDG 17,0,17,Aaron Brooks pass complete to Boo Williams for 12 yards (tackle by Terrence Kiel),3.360,6.060
2,8:29,1,5,SDG 5,0,17,"Aaron Brooks pass incomplete intended for Boo Williams. Penalty on Jerry Wilson: Personal Foul, 3 yards",6.060,6.740
2,8:22,1,2,SDG 2,6,17,"Deuce McAllister up the middle for 2 yards, touchdown",6.740,7.000
2,,,,SDG 2,7,17,John Carney kicks extra point good,0.000,0.000
2,,,,NOR 30,7,17,"John Carney kicks off 61 yards, returned by Tim Dwight for 18 yards (tackle by Mel Mitchell)",0.000,0.740
2,8:06,1,10,SDG 27,7,17,"Drew Brees pass complete to Keenan McCardell for 7 yards (tackle by Fakhir Brown). Penalty on Darren Howard: Defensive Offside, 5 yards (no play)",0.740,1.470
2,7:40,1,5,SDG 32,7,17,Drew Brees pass complete to Antonio Gates for 29 yards (tackle by Jay Bellamy),1.470,2.980
2,7:07,1,10,NOR 39,7,17,LaDainian Tomlinson up the middle for 1 yard (tackle by Jay Bellamy),2.980,2.580
