Unnamed: 0,NOR,SDG
First Downs,18,28
Rush-Yds-TDs,18-55-1,35-152-1
Cmp-Att-Yd-TD-INT,16-29-173-1-1,22-37-257-4-0
Sacked-Yards,3-8,1-7
Net Pass Yards,165,250
Total Yards,220,402
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,10-117,5-32
Third Down Conv.,5-10,12-18
Fourth Down Conv.,0-0,1-1
Time of Possession,23:10,36:50
