Unnamed: 0,PIT,BUF
First Downs,15,16
Rush-Yds-TDs,43-157-0,21-96-2
Cmp-Att-Yd-TD-INT,12-25-120-1-2,16-30-189-0-1
Sacked-Yards,2-15,3-18
Net Pass Yards,105,171
Total Yards,262,267
Fumbles-Lost,2-1,3-2
Turnovers,3,3
Penalties-Yards,7-40,12-108
Third Down Conv.,8-19,2-12
Fourth Down Conv.,1-1,1-1
Time of Possession,35:03,24:57
