Quarter,Time,Tm,Detail,PIT,BUF
1.0,10:44,Steelers,Jeff Reed 22 yard field goal,3,0
,6:14,Bills,Willis McGahee 3 yard rush (Rian Lindell kick),3,7
,3:28,Steelers,Antwaan Randle El 16 yard pass from Tommy Maddox (Jeff Reed kick),10,7
2.0,13:39,Steelers,Jeff Reed 21 yard field goal,13,7
,4:22,Steelers,Jeff Reed 31 yard field goal,16,7
,0:03,Bills,Rian Lindell 37 yard field goal,16,10
3.0,12:31,Bills,Nate Clements 30 yard interception return (Rian Lindell kick),16,17
4.0,14:49,Steelers,Jeff Reed 37 yard field goal,19,17
,13:24,Steelers,James Harrison 18 yard defensive fumble return (Jeff Reed kick),26,17
,2:23,Steelers,Jeff Reed 33 yard field goal,29,17
,1:18,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),29,24
