Unnamed: 0,GNB,DET
First Downs,20,16
Rush-Yds-TDs,27-80-0,23-73-0
Cmp-Att-Yd-TD-INT,28-39-348-3-0,20-43-213-1-4
Sacked-Yards,1-6,2-14
Net Pass Yards,342,199
Total Yards,422,272
Fumbles-Lost,2-2,1-1
Turnovers,2,5
Penalties-Yards,7-57,3-28
Third Down Conv.,9-16,6-16
Fourth Down Conv.,0-1,1-3
Time of Possession,33:59,26:01
