Unnamed: 0,SEA,SFO
First Downs,18,14
Rush-Yds-TDs,25-87-1,31-62-2
Cmp-Att-Yd-TD-INT,23-38-300-1-0,17-22-215-1-0
Sacked-Yards,2-11,5-24
Net Pass Yards,289,191
Total Yards,376,253
Fumbles-Lost,3-0,3-2
Turnovers,0,2
Penalties-Yards,4-34,4-25
Third Down Conv.,3-12,2-11
Fourth Down Conv.,0-1,2-3
Time of Possession,29:34,30:26
