Quarter,Time,Tm,Detail,SEA,SFO
1.0,13:03,Seahawks,Stephen Hauschka 31 yard field goal,3,0
,9:35,49ers,Shaun Draughn 1 yard rush (Phil Dawson kick),3,7
2.0,14:56,49ers,Shaun Draughn 1 yard rush (Phil Dawson kick),3,14
,10:32,Seahawks,Stephen Hauschka 32 yard field goal,6,14
,6:55,Seahawks,Luke Willson 11 yard pass from Russell Wilson (Stephen Hauschka kick),13,14
,3:00,Seahawks,Thomas Rawls 1 yard rush (Stephen Hauschka kick failed),19,14
3.0,8:14,Seahawks,Stephen Hauschka 33 yard field goal,22,14
,5:04,49ers,"Safety, Fumble O.B. in end zone",22,16
4.0,14:08,Seahawks,Stephen Hauschka 28 yard field goal,25,16
,5:42,49ers,Garrett Celek 9 yard pass from Colin Kaepernick (Phil Dawson kick),25,23
