Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, returned by Greg Dortch for 19 yards (tackle by Joey Blount)",0.000,0.150
1,14:55,1,10,ARI 19,0,0,Kyler Murray pass complete short left to Rondale Moore for 3 yards (tackle by Tariq Woolen),0.150,0.070
1,14:21,2,7,ARI 22,0,0,Kyler Murray right guard for 3 yards (tackle by Jordyn Brooks),0.070,-0.290
1,13:45,3,4,ARI 25,0,0,Kyler Murray right guard for 42 yards (tackle by Ryan Neal),-0.290,3.380
1,13:03,1,10,SEA 33,0,0,Eno Benjamin left guard for 4 yards (tackle by Jordyn Brooks),3.380,3.380
1,12:30,2,6,SEA 29,0,0,Kyler Murray pass incomplete short left,3.380,2.680
1,12:26,3,6,SEA 29,0,0,Kyler Murray pass complete short right to Rondale Moore for 26 yards (tackle by Josh Jones),2.680,6.510
1,11:39,1,3,SEA 3,0,0,Eno Benjamin right guard for 2 yards (tackle by Jordyn Brooks and Myles Adams),6.510,5.910
1,11:03,2,1,SEA 1,0,0,Kyler Murray right end for -4 yards (tackle by Michael Jackson),5.910,4.260
1,10:26,3,5,SEA 5,0,0,Kyler Murray pass incomplete short left intended for A.J. Green,4.260,3.010
1,10:24,4,5,SEA 5,3,0,Matt Ammendola 23 yard field goal good,3.010,3.000
1,10:20,,,ARI 35,3,0,"Matt Ammendola kicks off 65 yards, touchback.",0.000,0.610
1,10:20,1,10,SEA 25,3,0,"Penalty on Abraham Lucas: False Start, 5 yards (accepted) (no play)",0.610,0.280
1,10:20,1,15,SEA 20,3,0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Byron Murphy),0.280,-0.610
1,10:15,2,15,SEA 20,3,0,Geno Smith pass complete short left to Noah Fant for 10 yards (tackle by Byron Murphy and Tanner Vallejo),-0.610,0.040
1,9:31,3,5,SEA 30,3,0,Kenneth Walker right guard for 17 yards (tackle by Cameron Thomas and Marco Wilson),0.040,2.060
1,8:57,1,10,SEA 47,3,0,Kenneth Walker right guard for 34 yards (tackle by Jalen Thompson),2.060,4.310
1,8:16,1,10,ARI 19,3,0,"Geno Smith aborted snap, recovered by Geno Smith at ARI-21 Geno Smith for 4 yards (tackle by Budda Baker)",4.310,4.350
1,7:31,2,6,ARI 15,3,0,Geno Smith pass incomplete short left intended for D.K. Metcalf,4.350,3.580
1,7:26,3,6,ARI 15,3,0,Geno Smith sacked by Cameron Thomas for -6 yards,3.580,2.060
1,6:46,4,12,ARI 21,3,3,Jason Myers 39 yard field goal good,2.060,3.000
1,6:41,,,SEA 35,3,3,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,6:41,1,10,ARI 25,3,3,Eno Benjamin up the middle for 2 yards (tackle by Bryan Mone and Coby Bryant),0.610,0.330
1,6:09,2,8,ARI 27,3,3,Kyler Murray pass complete short right to Marquise Brown for 2 yards (tackle by Coby Bryant),0.330,-0.100
1,5:30,3,6,ARI 29,3,3,Kyler Murray pass complete short right to Eno Benjamin for 12 yards (tackle by Michael Jackson and Jordyn Brooks),-0.100,1.660
1,4:52,1,10,ARI 41,3,3,Eno Benjamin right guard for 4 yards (tackle by Michael Jackson),1.660,1.660
1,4:19,2,6,ARI 45,3,3,Kyler Murray pass complete short left to Marquise Brown for 7 yards (tackle by Coby Bryant),1.660,2.390
1,3:48,1,10,SEA 48,3,3,Eno Benjamin right end for 3 yards (tackle by Jordyn Brooks and Coby Bryant),2.390,2.250
1,3:07,2,7,SEA 45,3,3,Kyler Murray pass incomplete short right intended for Marquise Brown,2.250,1.550
1,3:01,3,7,SEA 45,3,3,Kyler Murray up the middle for 8 yards (tackle by Quinton Jefferson),1.550,3.120
1,2:17,1,10,SEA 37,3,3,Eno Benjamin left guard for 6 yards (tackle by Quinton Jefferson and Jordyn Brooks),3.120,3.380
1,1:58,2,4,SEA 31,3,3,Eno Benjamin left tackle for 5 yards (tackle by Cody Barton and Quinton Jefferson),3.380,3.840
1,1:25,1,10,SEA 26,3,3,Keaontay Ingram left guard for 7 yards (tackle by Coby Bryant and Christian Jones),3.840,4.270
1,0:48,2,3,SEA 19,3,3,Keaontay Ingram right tackle for -3 yards (tackle by Poona Ford),4.270,3.140
1,0:13,3,6,SEA 22,3,3,Kyler Murray pass complete short left to A.J. Green for 2 yards (tackle by Jordyn Brooks),3.140,2.200
Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,SEA 20,3,3,Kyler Murray pass incomplete short left intended for Rondale Moore,2.200,-0.280
2,14:55,1,10,SEA 20,3,3,Kenneth Walker left end for 3 yards (tackle by Byron Murphy),0.280,0.140
2,14:25,2,7,SEA 23,3,3,Geno Smith pass complete short left to Noah Fant for 6 yards (tackle by Budda Baker and Markus Golden),0.140,0.230
2,13:45,3,1,SEA 29,3,3,Kenneth Walker left tackle for -2 yards (tackle by J.J. Watt and Tanner Vallejo),0.230,-1.570
2,12:59,4,3,SEA 27,3,3,"Michael Dickson punts 49 yards, fair catch by Greg Dortch at ARI-24",-1.570,-0.540
2,12:49,1,10,ARI 24,3,3,Eno Benjamin right guard for 3 yards (tackle by Boye Mafe),0.540,0.400
2,12:11,2,7,ARI 27,3,3,Eno Benjamin up the middle for -3 yards (tackle by Bryan Mone),0.400,-0.690
2,11:41,3,10,ARI 24,3,3,Kyler Murray sacked by Uchenna Nwosu for -6 yards,-0.690,-2.240
2,10:57,4,16,ARI 18,3,3,"Andy Lee punts 42 yards, fair catch by DeeJay Dallas at SEA-40",-2.240,-1.600
