Unnamed: 0,ARI,SEA
First Downs,15,19
Rush-Yds-TDs,28-144-0,30-136-1
Cmp-Att-Yd-TD-INT,23-37-222-0-1,20-31-197-0-0
Sacked-Yards,6-51,5-37
Net Pass Yards,171,160
Total Yards,315,296
Fumbles-Lost,3-1,2-1
Turnovers,2,1
Penalties-Yards,6-53,6-44
Third Down Conv.,4-16,4-14
Fourth Down Conv.,1-5,0-1
Time of Possession,30:44,29:16
