Unnamed: 0,CAR,ATL
First Downs,16,20
Rush-Yds-TDs,29-134-0,20-76-0
Cmp-Att-Yd-TD-INT,15-27-149-2-1,28-40-280-2-1
Sacked-Yards,1-0,9-49
Net Pass Yards,149,231
Total Yards,283,307
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,4-38,5-56
Third Down Conv.,7-15,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,25:34,34:26
