Quarter,Time,Tm,Detail,BUF,HOU
1.0,4:43,Texans,DeAndre Hopkins 13 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),0,7
2.0,8:33,Texans,Ka'imi Fairbairn 33 yard field goal,0,10
3.0,10:12,Bills,Stephen Hauschka 23 yard field goal,3,10
,2:12,Bills,Stephen Hauschka 52 yard field goal,6,10
4.0,13:00,Bills,Zay Jones 16 yard pass from Nathan Peterman (Stephen Hauschka kick),13,10
,1:34,Texans,Ka'imi Fairbairn 27 yard field goal,13,13
,1:23,Texans,Johnathan Joseph 28 yard interception return (Ka'imi Fairbairn kick),13,20
