Unnamed: 0,BUF,HOU
First Downs,12,15
Rush-Yds-TDs,27-100-0,24-74-0
Cmp-Att-Yd-TD-INT,16-29-145-1-2,15-26-177-1-2
Sacked-Yards,2-16,7-35
Net Pass Yards,129,142
Total Yards,229,216
Fumbles-Lost,2-1,3-1
Turnovers,3,3
Penalties-Yards,12-104,6-50
Third Down Conv.,6-15,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:00,27:00
