Unnamed: 0,DEN,IND
First Downs,21,19
Rush-Yds-TDs,28-113-1,31-127-1
Cmp-Att-Yd-TD-INT,20-32-174-0-0,15-25-202-0-0
Sacked-Yards,3-8,4-11
Net Pass Yards,166,191
Total Yards,279,318
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,10-88,10-103
Third Down Conv.,2-12,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:44,29:16
