Quarter,Time,Tm,Detail,DEN,IND
2.0,12:56,Broncos,Brandon McManus 21 yard field goal,3,0
,5:33,Broncos,Brandon McManus 29 yard field goal,6,0
,0:02,Colts,Adam Vinatieri 55 yard field goal,6,3
3.0,11:38,Broncos,Royce Freeman 4 yard rush (Brandon McManus kick),13,3
,6:05,Colts,Adam Vinatieri 45 yard field goal,13,6
,2:26,Colts,Marlon Mack 10 yard rush (Adam Vinatieri kick failed),13,12
4.0,0:22,Colts,Adam Vinatieri 51 yard field goal,13,15
