Unnamed: 0,PHI,DEN
First Downs,21,35
Rush-Yds-TDs,35-166-1,33-141-1
Cmp-Att-Yd-TD-INT,17-31-297-1-0,30-37-337-4-0
Sacked-Yards,3-13,1-6
Net Pass Yards,284,331
Total Yards,450,472
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-62,2-25
Third Down Conv.,8-16,5-8
Fourth Down Conv.,0-0,0-0
Time of Possession,26:38,33:22
