Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
1,10:24,,,PHI 2,0,7,Matt Prater kicks extra point good,0.000,0.000
1,10:24,,,DEN 35,0,7,"Matt Prater kicks off 73 yards, returned by Damaris Johnson for 26 yards (tackle by Steven Johnson)",0.000,-0.040
1,10:15,1,10,PHI 18,0,7,Michael Vick up the middle for 8 yards (tackle by Chris Harris),0.040,0.680
1,9:49,2,2,PHI 26,0,7,LeSean McCoy up the middle for 1 yard (tackle by Robert Ayers),0.680,-0.020
1,9:29,3,1,PHI 27,0,7,LeSean McCoy up the middle for 1 yard (tackle by Rahim Moore),-0.020,0.810
1,8:59,1,10,PHI 28,0,7,Michael Vick left end for 13 yards (tackle by Danny Trevathan),0.810,1.660
1,8:42,1,10,PHI 41,0,7,Michael Vick pass complete deep left to Brent Celek for 24 yards (tackle by Duke Ihenacho),1.660,3.250
1,8:11,1,10,DEN 35,0,7,Bryce Brown up the middle for no gain (tackle by Danny Trevathan),3.250,2.700
1,7:44,2,10,DEN 35,0,7,Michael Vick pass complete short left to James Casey for 12 yards (tackle by Wesley Woodyard),2.700,4.040
1,7:18,1,10,DEN 23,0,7,LeSean McCoy left tackle for 5 yards (tackle by Robert Ayers),4.040,4.210
1,6:49,2,5,DEN 18,0,7,Michael Vick up the middle for 1 yard (tackle by Wesley Woodyard),4.210,4.210
1,6:12,2,5,DEN 18,0,7,Timeout #1 by Philadelphia Eagles,4.210,3.660
1,6:10,3,4,DEN 17,0,7,Michael Vick pass incomplete short middle intended for Brent Celek,3.660,2.390
1,6:07,4,4,DEN 17,3,7,Alex Henery 35 yard field goal good,2.390,3.000
1,6:07,,,PHI 35,3,13,"Alex Henery kicks off 70 yards, returned by Trindon Holliday for 105 yards, touchdown",0.000,-7.000
1,6:03,,,PHI 2,3,14,Matt Prater kicks extra point good,0.000,0.000
1,6:03,,,DEN 35,3,14,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
1,5:50,1,10,PHI 20,3,14,LeSean McCoy left tackle for no gain (tackle by Derek Wolfe),0.280,-0.270
1,5:25,2,10,PHI 20,3,14,LeSean McCoy left tackle for 7 yards (tackle by Danny Trevathan),-0.270,-0.030
1,4:51,3,3,PHI 27,3,14,Michael Vick right end for 6 yards (tackle by Wesley Woodyard),-0.030,1.140
1,4:25,1,10,PHI 33,3,14,Bryce Brown right end for 9 yards (tackle by Duke Ihenacho),1.140,1.810
1,3:51,2,1,PHI 42,3,14,Michael Vick right end for 8 yards (tackle by Duke Ihenacho),1.810,2.260
1,3:15,1,10,,3,14,Bryce Brown left end for 7 yards (tackle by Danny Trevathan),2.260,2.660
1,2:41,2,3,DEN 43,3,14,LeSean McCoy right end for -2 yards (tackle by Nate Irving),2.660,1.690
1,2:11,3,5,DEN 45,3,14,Michael Vick pass complete short right to DeSean Jackson for 14 yards (tackle by Duke Ihenacho),1.690,3.510
1,1:45,1,10,DEN 31,3,14,LeSean McCoy left end for 6 yards (tackle by Terrance Knighton and Wesley Woodyard),3.510,3.780
1,1:14,2,4,DEN 25,3,14,LeSean McCoy up the middle for 2 yards (tackle by Duke Ihenacho),3.780,3.340
1,0:53,3,2,DEN 23,3,14,LeSean McCoy left end for 10 yards (tackle by Rahim Moore),3.340,4.710
1,0:24,1,10,DEN 13,3,14,Michael Vick pass incomplete short right intended for DeSean Jackson (defended by Dominique Rodgers-Cromartie),4.710,4.050
1,0:18,2,10,DEN 13,3,14,"Bryce Brown right guard for 3 yards (tackle by Danny Trevathan). Penalty on Lane Johnson: Offensive Holding, 10 yards (no play)",4.050,2.810
1,0:02,2,20,DEN 23,3,14,Michael Vick pass complete short right to Bryce Brown for 6 yards (tackle by Danny Trevathan),2.810,2.880
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,DEN 17,3,14,Michael Vick pass complete short middle to Riley Cooper for 10 yards (tackle by Duke Ihenacho),2.880,2.990
2,14:22,4,4,DEN 7,6,14,Alex Henery 25 yard field goal good,2.990,3.000
2,14:22,,,PHI 35,6,14,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
2,14:18,1,10,DEN 20,6,14,Peyton Manning pass incomplete deep left intended for Eric Decker,0.280,-0.270
2,14:12,2,10,DEN 20,6,14,Peyton Manning pass complete short left to Andre Caldwell for 5 yards (tackle by Earl Wolff),-0.270,-0.300
2,13:35,3,5,DEN 25,6,14,Peyton Manning pass incomplete short right intended for Wes Welker,-0.300,-1.700
2,13:30,4,5,DEN 25,6,14,"Britton Colquitt punts 60 yards, returned by Damaris Johnson for 21 yards (tackle by Aaron Brewer)",-1.700,-1.330
2,13:16,1,10,PHI 36,6,14,Bryce Brown left end for 6 yards (tackle by Danny Trevathan),1.330,1.600
2,12:46,2,4,PHI 42,6,14,Michael Vick pass complete deep right to DeSean Jackson for 20 yards (tackle by Dominique Rodgers-Cromartie),1.600,3.050
,,,,,,,"DEN challenged the pass completion ruling, and the play was upheld.",,
2,12:25,1,10,DEN 38,6,14,Bryce Brown left tackle for -1 yards (tackle by Danny Trevathan),3.050,2.370
2,11:58,2,11,DEN 39,6,14,Michael Vick pass incomplete short middle intended for Jason Avant (defended by Dominique Rodgers-Cromartie),2.370,1.680
2,11:53,3,11,DEN 39,6,14,Michael Vick pass complete short left to Bryce Brown for 35 yards (tackle by Wesley Woodyard and Rahim Moore),1.680,6.280
2,11:18,1,4,DEN 4,6,14,Michael Vick pass incomplete short left intended for Brent Celek,6.280,5.340
2,11:12,2,4,DEN 4,12,14,"Chris Polk up the middle for 4 yards, touchdown",5.340,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,11:12,,,DEN 2,13,14,Alex Henery kicks extra point good,0.000,0.000
2,11:12,,,PHI 35,13,14,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
2,11:06,1,10,DEN 20,13,14,Knowshon Moreno up the middle for 3 yards (tackle by DeMeco Ryans),0.280,0.140
2,10:42,2,7,DEN 23,13,14,Knowshon Moreno left end for 16 yards (tackle by Nate Allen),0.140,1.530
2,10:13,1,10,DEN 39,13,14,Ronnie Hillman right tackle for 3 yards (tackle by Mychal Kendricks),1.530,1.390
2,9:42,2,7,DEN 42,13,14,Peyton Manning pass complete short left to Demaryius Thomas for 14 yards (tackle by Cary Williams),1.390,2.650
2,9:19,1,10,PHI 44,13,14,Peyton Manning pass complete short right to Eric Decker for 9 yards (tackle by Nate Allen),2.650,3.330
2,8:47,2,1,PHI 35,13,14,Knowshon Moreno left guard for 10 yards (tackle by Earl Wolff),3.330,3.910
2,8:07,1,10,PHI 25,13,14,Peyton Manning pass complete short left to Ronnie Hillman for 7 yards (tackle by DeMeco Ryans),3.910,4.370
2,7:33,2,3,PHI 18,13,14,Ronnie Hillman up the middle for 3 yards (tackle by Mychal Kendricks and Earl Wolff),4.370,4.580
2,6:41,1,10,PHI 15,13,14,Peyton Manning pass complete short right to Virgil Green for 5 yards (tackle by Connor Barwin),4.580,4.840
2,6:07,2,5,PHI 10,13,14,"Penalty on Fletcher Cox: Encroachment, 5 yards (no play)",4.840,6.060
2,5:51,1,5,PHI 5,13,14,Knowshon Moreno up the middle for 1 yard (tackle by Fletcher Cox and DeMeco Ryans),6.060,5.340
2,5:10,2,4,PHI 4,13,20,"Knowshon Moreno up the middle for 4 yards, touchdown",5.340,7.000
2,5:10,,,PHI 2,13,21,Matt Prater kicks extra point good,0.000,0.000
2,5:10,,,DEN 35,13,21,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
2,5:05,1,10,PHI 20,13,21,Michael Vick pass complete short left to Riley Cooper for 15 yards,0.280,1.270
2,4:57,1,10,PHI 35,13,21,LeSean McCoy left guard for 3 yards (tackle by Mitch Unrein),1.270,1.130
2,4:30,2,7,PHI 38,13,21,Michael Vick pass complete short left to LeSean McCoy for 21 yards (tackle by Rahim Moore),1.130,2.850
2,4:05,1,10,DEN 41,13,21,"Michael Vick pass complete short left to DeSean Jackson for 19 yards (tackle by Tony Carter). Penalty on Evan Mathis: Offensive Holding, 10 yards (no play)",2.850,2.190
2,3:47,1,20,PHI 49,13,21,Bryce Brown up the middle for 1 yard (tackle by Danny Trevathan),2.190,1.090
2,3:20,2,19,,13,21,Michael Vick pass incomplete deep left intended for Zach Ertz,1.090,0.430
2,3:15,3,19,,13,21,Michael Vick pass complete short middle to Chris Polk for 13 yards (tackle by Wesley Woodyard),0.430,0.790
2,2:22,4,6,DEN 37,13,21,"Penalty on PHI: Delay of Game, 5 yards (no play)",0.790,0.460
2,2:17,4,11,DEN 42,13,21,"Donnie Jones punts 42 yards, touchback. Penalty on Kevin Vickerson: Unnecessary Roughness, 10 yards",0.460,0.380
2,2:07,1,10,DEN 10,13,21,Ronnie Hillman up the middle for -2 yards (tackle by DeMeco Ryans),-0.380,-0.930
2,2:00,2,12,DEN 8,13,21,Peyton Manning pass complete deep middle to Eric Decker for 52 yards (tackle by Cary Williams),-0.930,2.920
2,1:26,1,10,PHI 40,13,21,Peyton Manning pass complete short right to Julius Thomas for 7 yards (tackle by Mychal Kendricks),2.920,3.320
2,1:21,2,3,PHI 33,13,21,Ronnie Hillman right end for no gain (tackle by Jake Knott),3.320,2.610
2,1:17,3,3,PHI 33,13,21,"Peyton Manning pass complete short left to Demaryius Thomas for 7 yards (tackle by Brandon Boykin). Penalty on Knowshon Moreno: Unnecessary Roughness, 15 yards",2.610,2.850
2,1:06,1,10,PHI 41,13,21,Peyton Manning sacked by Cedric Thornton for -6 yards,2.850,2.850
2,0:56,1,10,PHI 41,13,21,Timeout #2 by Denver Broncos,2.850,1.500
2,0:56,2,16,PHI 47,13,21,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Cary Williams and Nate Allen),1.500,1.350
2,0:23,3,12,PHI 43,13,21,Peyton Manning pass incomplete deep right intended for Eric Decker,1.350,0.400
2,0:18,4,12,PHI 43,13,21,"Britton Colquitt punts 32 yards, fair catch by Damaris Johnson",0.400,0.370
2,0:10,1,10,PHI 11,13,21,Michael Vick kneels for -1 yards,-0.370,-0.850
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PHI 35,13,21,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,DEN 20,13,21,Knowshon Moreno left tackle for 3 yards (tackle by Trent Cole),0.280,0.140
3,14:30,2,7,DEN 23,13,21,Peyton Manning pass complete short right to Julius Thomas for 10 yards (tackle by Earl Wolff),0.140,1.140
3,14:05,1,10,DEN 33,13,21,Peyton Manning pass complete short left to Demaryius Thomas for 15 yards (tackle by Brandon Boykin),1.140,2.130
3,13:33,1,10,DEN 48,13,21,Knowshon Moreno left end for 10 yards (tackle by DeMeco Ryans),2.130,2.790
3,13:11,1,10,PHI 42,13,21,Peyton Manning pass complete short left to Wes Welker for 7 yards (tackle by Nate Allen),2.790,3.190
3,12:39,2,3,PHI 35,13,21,Ronnie Hillman left end for 3 yards (tackle by Mychal Kendricks),3.190,3.450
3,12:12,1,10,PHI 32,13,21,Ronnie Hillman left guard for 5 yards (tackle by DeMeco Ryans),3.450,3.580
3,11:39,2,5,PHI 27,13,21,"Penalty on Todd Herremans: Neutral Zone Infraction, 5 yards (no play)",3.580,4.110
3,11:17,1,10,PHI 22,13,21,Peyton Manning pass complete short middle to Wes Welker for 11 yards (tackle by Cary Williams and Brandon Boykin),4.110,4.840
3,10:41,1,10,PHI 11,13,21,Knowshon Moreno up the middle for 4 yards (tackle by Cedric Thornton),4.840,4.890
3,10:04,2,6,PHI 7,13,21,"Peyton Manning pass incomplete short right intended for Eric Decker. Penalty on Bradley Fletcher: Defensive Pass Interference, 6 yards (no play)",4.890,6.970
3,9:59,1,1,PHI 1,13,27,"Peyton Manning pass complete short right to Demaryius Thomas for 1 yard, touchdown",6.970,7.000
3,9:59,,,PHI 2,13,28,Matt Prater kicks extra point good,0.000,0.000
3,9:59,,,DEN 35,13,28,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
3,9:54,1,10,PHI 20,13,28,LeSean McCoy right end for 9 yards (tackle by Dominique Rodgers-Cromartie),0.280,0.950
3,9:34,2,1,PHI 29,13,28,LeSean McCoy right tackle for 15 yards (tackle by Rahim Moore),0.950,1.860
3,9:02,1,10,PHI 44,13,28,Michael Vick left end for 2 yards (tackle by Robert Ayers),1.860,1.590
3,8:40,2,8,PHI 46,13,28,Michael Vick pass incomplete short left intended for LeSean McCoy,1.590,0.890
3,8:35,3,8,PHI 46,13,28,Michael Vick pass incomplete short left intended for Brent Celek (defended by Danny Trevathan),0.890,-0.320
3,8:30,4,8,PHI 46,13,28,"Donnie Jones punts 54 yards, touchback",-0.320,-0.280
3,8:22,1,10,DEN 20,13,28,Peyton Manning pass complete short left to Knowshon Moreno for 13 yards (tackle by Earl Wolff),0.280,1.140
3,7:51,1,10,DEN 33,13,28,Peyton Manning pass complete short right to Eric Decker for 9 yards (tackle by DeMeco Ryans),1.140,1.810
3,7:23,2,1,DEN 42,13,28,Knowshon Moreno right tackle for 17 yards (tackle by Nate Allen),1.810,2.850
3,6:48,1,10,PHI 41,13,28,Peyton Manning pass complete short left to Julius Thomas for 13 yards (tackle by Cary Williams),2.850,3.710
3,6:13,1,10,PHI 28,13,28,Peyton Manning pass complete short right to Wes Welker for 8 yards (tackle by Connor Barwin),3.710,4.250
3,5:46,2,2,PHI 20,13,28,Ronnie Hillman right end for 5 yards (tackle by DeMeco Ryans),4.250,4.580
3,5:23,1,10,PHI 15,13,28,Peyton Manning pass incomplete short right intended for Ronnie Hillman,4.580,3.950
3,5:17,2,10,PHI 15,13,34,"Peyton Manning pass complete short left to Demaryius Thomas for 15 yards, touchdown",3.950,7.000
3,5:17,,,PHI 2,13,35,Matt Prater kicks extra point good,0.000,0.000
3,5:17,,,DEN 35,13,35,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
3,5:10,1,10,PHI 20,13,35,Michael Vick pass incomplete short left intended for Jason Avant,0.280,-0.270
3,5:04,2,10,PHI 20,13,35,LeSean McCoy right tackle for 1 yard (tackle by Shaun Phillips),-0.270,-0.820
3,4:30,3,9,PHI 21,13,35,Michael Vick sacked by Shaun Phillips for -4 yards,-0.820,-2.320
3,4:04,4,13,PHI 17,13,35,"Donnie Jones punts 48 yards, returned by Trindon Holliday for no gain",-2.320,-1.270
3,3:57,1,10,DEN 35,13,35,Peyton Manning pass complete short left to Ronnie Hillman for 14 yards (tackle by DeMeco Ryans),1.270,2.190
3,3:32,1,10,DEN 49,13,35,Peyton Manning pass complete short right to Demaryius Thomas for 11 yards (tackle by DeMeco Ryans and Bradley Fletcher),2.190,2.920
3,2:52,1,10,PHI 40,13,35,Ronnie Hillman right guard for 4 yards (tackle by Cedric Thornton),2.920,2.910
3,2:21,2,6,PHI 36,13,35,Peyton Manning pass complete short left to Eric Decker for 13 yards (tackle by DeMeco Ryans),2.910,4.040
3,1:52,1,10,PHI 23,13,35,Peyton Manning pass complete short right to Demaryius Thomas for 14 yards (tackle by Earl Wolff),4.040,4.040
3,1:05,1,10,PHI 23,13,35,Timeout #1 by Denver Broncos,4.040,5.140
3,1:05,1,9,PHI 9,13,35,Ronnie Hillman right tackle for 5 yards (tackle by Nate Allen),5.140,5.340
3,0:28,2,4,PHI 4,13,41,"Peyton Manning pass complete short right to Wes Welker for 4 yards, touchdown",5.340,7.000
3,0:28,,,PHI 2,13,42,Matt Prater kicks extra point good,0.000,0.000
3,0:28,,,DEN 35,13,42,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
3,0:22,1,10,PHI 20,13,42,Michael Vick sacked by Wesley Woodyard and Robert Ayers for -3 yards,0.280,-0.790
Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,PHI 17,13,42,Michael Vick pass complete short left to Brent Celek for 27 yards (tackle by Rahim Moore),-0.790,1.860
4,14:25,1,10,PHI 44,13,42,Michael Vick pass incomplete deep left intended for Jason Avant,1.860,1.320
4,14:18,2,10,PHI 44,13,42,Michael Vick pass incomplete short right intended for DeSean Jackson,1.320,0.630
4,14:11,3,10,PHI 44,13,42,Michael Vick pass incomplete short left intended for LeSean McCoy,0.630,-0.460
4,14:04,4,10,PHI 44,13,48,"Donnie Jones punts, blocked by Steven Johnson, recovered by Steven Johnson and returned 17 yards, touchdown",-0.460,-7.000
4,13:54,,,PHI 2,13,49,Matt Prater kicks extra point good,0.000,0.000
4,13:54,,,DEN 35,13,49,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,13:54,1,10,PHI 20,13,49,LeSean McCoy left end for 2 yards (tackle by Robert Ayers),0.280,0.000
4,13:30,2,8,PHI 22,13,49,Michael Vick pass complete short middle to Brent Celek for 6 yards (tackle by Rahim Moore),0.000,0.100
4,13:09,3,2,PHI 28,13,49,Michael Vick pass complete short left to Jason Avant for 7 yards (tackle by Tony Carter). Penalty on Tony Carter: Defensive Holding (Declined),0.100,1.270
4,12:53,1,10,PHI 35,13,49,LeSean McCoy up the middle for 10 yards (tackle by Robert Ayers),1.270,1.930
4,12:31,1,10,PHI 45,13,49,Michael Vick pass complete deep left to Zach Ertz for 38 yards (tackle by Duke Ihenacho),1.930,4.440
4,11:59,1,10,DEN 17,13,49,Michael Vick pass incomplete deep right intended for DeSean Jackson,4.440,3.850
4,11:53,2,10,DEN 17,13,49,Bryce Brown left end for -5 yards (tackle by Duke Ihenacho),3.850,2.540
4,11:21,3,15,DEN 22,13,49,Michael Vick sacked by Derek Wolfe and Wesley Woodyard for -6 yards,2.540,1.590
4,10:46,4,21,DEN 28,13,49,Alex Henery 46 yard field goal no good,1.590,-1.330
4,10:42,1,10,DEN 36,13,49,Ronnie Hillman left tackle for 10 yards (tackle by Earl Wolff),1.330,1.990
4,10:00,1,10,DEN 46,13,49,Ronnie Hillman left tackle for no gain (tackle by Trent Cole and Cedric Thornton),1.990,1.450
4,9:18,2,10,DEN 46,13,49,Brock Osweiler pass complete short middle to Eric Decker for 5 yards (tackle by DeMeco Ryans),1.450,1.420
4,8:36,3,5,PHI 49,13,49,"Brock Osweiler pass incomplete short left intended for Eric Decker. Penalty on Bradley Fletcher: Defensive Pass Interference, 16 yards (no play)",1.420,3.380
4,8:26,1,10,PHI 33,13,49,Montee Ball up the middle for no gain (tackle by Clifton Geathers),3.380,2.840
4,7:48,2,10,PHI 33,13,49,Montee Ball right tackle for -1 yards (tackle by Connor Barwin),2.840,2.010
4,7:05,3,11,PHI 34,13,49,Brock Osweiler pass incomplete short left intended for Wes Welker,2.010,1.060
4,6:58,4,11,PHI 34,13,52,Matt Prater 53 yard field goal good,1.060,3.000
4,6:58,,,DEN 35,13,52,"Matt Prater kicks off 65 yards, touchback",0.000,-0.280
4,6:53,1,10,PHI 20,13,52,Chris Polk left tackle for 1 yard (tackle by Nate Irving),0.280,-0.130
4,6:28,2,9,PHI 21,13,52,Nick Foles pass complete short right to Chris Polk for 6 yards (tackle by Danny Trevathan),-0.130,-0.030
4,6:02,3,3,PHI 27,13,52,Chris Polk right tackle for 28 yards (tackle by Duke Ihenacho),-0.030,2.590
4,5:40,1,10,DEN 45,13,52,Nick Foles pass incomplete short right intended for Bryce Brown,2.590,2.040
4,5:36,2,10,DEN 45,13,52,Bryce Brown left tackle for 2 yards (tackle by Nate Irving and Danny Trevathan),2.040,1.620
4,5:05,3,8,DEN 43,13,52,Nick Foles pass complete deep left to Jeff Maehl for 37 yards (tackle by Tony Carter),1.620,5.830
4,4:40,1,6,DEN 6,19,52,"Nick Foles pass complete short left to Jeff Maehl for 6 yards, touchdown",5.830,7.000
4,4:40,,,DEN 2,20,52,Alex Henery kicks extra point good,0.000,0.000
4,4:40,,,PHI 35,20,52,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
4,4:35,1,10,DEN 20,20,52,Montee Ball up the middle for 6 yards (tackle by Vinny Curry),0.280,0.540
4,3:54,2,4,DEN 26,20,52,Montee Ball right tackle for 1 yard (tackle by Najee Goode),0.540,0.540
4,3:43,2,4,DEN 26,20,52,Timeout #1 by Philadelphia Eagles,0.540,-0.030
4,3:43,3,3,DEN 27,20,52,Brock Osweiler left end for 4 yards (tackle by Najee Goode),-0.030,1.000
4,3:34,1,10,DEN 31,20,52,Montee Ball right guard for 6 yards (tackle by Colt Anderson and Jake Knott),1.000,1.270
4,2:52,2,4,DEN 37,20,52,Brock Osweiler pass complete short left to Demaryius Thomas for 5 yards (tackle by Roc Carmichael),1.270,1.730
4,2:10,1,10,DEN 42,20,52,Montee Ball right guard for 4 yards (tackle by Vinny Curry),1.730,1.730
4,2:00,2,6,DEN 46,20,52,Montee Ball up the middle for 2 yards (tackle by Bennie Logan),1.730,1.290
4,1:19,3,4,DEN 48,20,52,Montee Ball left tackle for 6 yards (tackle by Brandon Graham),1.290,2.520
4,0:35,1,10,PHI 46,20,52,Brock Osweiler kneels for -1 yards,2.520,1.840
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
