Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,NYJ 30,0,0,"Mike Nugent kicks off 67 yards, returned by Dante Hall for 22 yards (tackle by Rashad Washington)",0.000,0.610
1,14:55,1,10,KAN 25,0,0,Priest Holmes right end for 5 yards (tackle by Kerry Rhodes),0.610,0.740
1,14:15,2,5,KAN 30,0,0,Priest Holmes up the middle for 35 yards (tackle by Erik Coleman),0.740,3.250
1,13:46,1,10,NYJ 35,0,6,"Larry Johnson left end for 35 yards, touchdown",3.250,7.000
1,,,,NYJ 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,0,7,"Lawrence Tynes kicks off 71 yards, returned by Justin Miller for 30 yards (tackle by Jerome Woods)",0.000,0.870
1,13:33,1,10,NYJ 29,0,7,Curtis Martin up the middle for 2 yards (tackle by Ryan Sims),0.870,0.600
1,12:56,2,8,NYJ 31,0,7,Chad Pennington pass complete to Jerald Sowell for 28 yards (tackle by Kendrell Bell),0.600,2.850
1,12:24,1,10,KAN 41,0,7,"Curtis Martin up the middle for -2 yards (tackle by Derrick Johnson and Kawika Mitchell). Penalty on Jerald Sowell: Offensive Holding, 10 yards (no play)",2.850,2.190
1,12:00,1,20,NYJ 49,0,7,Curtis Martin up the middle for no gain (tackle by John Browning),2.190,0.960
1,11:17,2,20,NYJ 49,0,7,"Chad Pennington sacked by Sammy Knight for -8 yards. Chad Pennington fumbles (forced by Sammy Knight), recovered by Chad Pennington at NYJ-41",0.960,-0.760
1,10:43,,,,0,7,Timeout #1 by New York Jets,0.000,-0.760
1,10:43,3,28,NYJ 41,0,7,Chad Pennington pass complete to Curtis Martin for 6 yards (tackle by Patrick Surtain),-0.760,-0.260
1,10:08,4,22,NYJ 47,0,7,"Ben Graham punts 43 yards, fair catch by Dante Hall. Penalty on Gary Stills: Offensive Holding, 5 yards",-0.260,0.380
1,10:01,1,10,KAN 5,0,7,Priest Holmes right end for -2 yards (tackle by Jonathan Vilma and Ty Law),-0.380,-0.930
1,9:24,2,12,KAN 3,0,7,Trent Green pass complete to Chris Horn for 11 yards (tackle by Kerry Rhodes),-0.930,-0.370
1,8:50,3,1,KAN 14,0,7,Priest Holmes up the middle for 2 yards (tackle by James Reed),-0.370,-0.140
1,8:11,1,10,KAN 16,0,7,Tony Richardson up the middle for 4 yards (tackle by Dewayne Robertson),-0.140,0.010
1,7:35,2,6,KAN 20,0,7,Trent Green pass complete to Eddie Kennison for 37 yards (tackle by Kerry Rhodes),0.010,2.720
1,7:03,1,10,NYJ 43,0,7,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Ty Law),2.720,2.990
1,6:41,2,4,NYJ 37,0,7,Dante Hall right end for no gain (tackle by Bryan Thomas),2.990,2.280
1,6:02,3,4,NYJ 37,0,7,Trent Green pass complete to Samie Parker for 9 yards (tackle by David Barrett),2.280,3.710
1,5:22,1,10,NYJ 28,0,7,Priest Holmes right end for 1 yard (tackle by Eric Barton),3.710,3.300
1,4:38,2,9,NYJ 27,0,7,Trent Green pass complete to Eddie Kennison for 19 yards (tackle by David Barrett),3.300,5.370
1,3:51,1,8,NYJ 8,0,7,Trent Green pass complete to Priest Holmes for 5 yards (tackle by Jonathan Vilma),5.370,5.530
1,3:12,2,3,NYJ 3,0,13,"Priest Holmes left end for 3 yards, touchdown",5.530,7.000
1,,,,NYJ 2,0,14,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,0,14,"Lawrence Tynes kicks off 62 yards, returned by Justin Miller for 50 yards (tackle by Lawrence Tynes)",0.000,2.790
1,2:56,1,10,KAN 42,0,14,Chad Pennington pass complete to Curtis Martin for no gain,2.790,2.240
1,2:12,2,10,KAN 42,0,14,Chad Pennington pass complete to Laveranues Coles for 12 yards (tackle by Dexter McCleon),2.240,3.580
1,1:32,1,10,KAN 30,0,14,Chad Pennington pass complete to Justin McCareins for 19 yards (tackle by Dexter McCleon),3.580,4.840
1,1:03,1,10,KAN 11,0,14,Chad Pennington pass incomplete intended for Justin McCareins,4.840,4.140
1,0:58,2,10,KAN 11,0,14,Curtis Martin up the middle for 1 yard (tackle by Derrick Johnson),4.140,3.300
1,0:10,3,9,KAN 10,0,14,"Chad Pennington sacked by Jared Allen for -6 yards. Patrick Surtain fumbles (forced by Jared Allen), recovered by Kawika Mitchell at KAN-21 and returned for 2 yards",3.300,-0.340
Quarter,Time,Down,ToGo,Location,NYJ,KAN,Detail,EPB,EPA
