Unnamed: 0,NYJ,KAN
First Downs,19,23
Rush-Yds-TDs,23-57-0,34-198-3
Cmp-Att-Yd-TD-INT,27-44-352-1-1,15-26-200-0-1
Sacked-Yards,3-19,1-9
Net Pass Yards,333,191
Total Yards,390,389
Fumbles-Lost,7-2,1-0
Turnovers,3,1
Penalties-Yards,8-80,4-26
Third Down Conv.,8-16,4-10
Fourth Down Conv.,1-3,0-0
Time of Possession,31:29,28:31
