Quarter,Time,Tm,Detail,ARI,SEA
1.0,9:58,Seahawks,Shaun Alexander 9 yard rush (Josh Brown kick),0,7
,0:59,Seahawks,Maurice Morris 4 yard pass from Matt Hasselbeck (Josh Brown kick),0,14
2.0,12:42,Cardinals,Neil Rackers 49 yard field goal,3,14
,11:06,Seahawks,Shaun Alexander 44 yard rush (Josh Brown kick),3,21
4.0,12:49,Cardinals,Anquan Boldin 60 yard pass from Josh McCown (Neil Rackers kick),10,21
,3:12,Seahawks,Bobby Engram 3 yard pass from Trent Dilfer (Josh Brown kick),10,28
