Unnamed: 0,NWE,TAM
First Downs,23,26
Rush-Yds-TDs,23-113-0,20-90-1
Cmp-Att-Yd-TD-INT,30-40-303-1-1,26-46-334-1-0
Sacked-Yards,3-14,2-15
Net Pass Yards,289,319
Total Yards,402,409
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,12-108,9-70
Third Down Conv.,4-12,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:50,29:10
