Quarter,Time,Down,ToGo,Location,NWE,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Nick Folk kicks off 65 yards, returned by Dion Lewis for 23 yards (tackle by Robert McClain)",0.000,-0.480
1,14:54,1,10,NWE 23,0,0,Tom Brady pass complete short left to Chris Hogan for 6 yards (tackle by Devante Bond),0.480,0.740
1,14:31,2,4,NWE 29,0,0,Tom Brady pass complete short middle to Danny Amendola for 5 yards (tackle by Justin Evans),0.740,1.200
1,14:06,1,10,NWE 34,0,0,Tom Brady pass complete short left to James White for 5 yards (tackle by Kendell Beckwith),1.200,1.330
1,13:40,2,5,NWE 39,0,0,Tom Brady pass complete short middle to Chris Hogan for 6 yards (tackle by Adarius Glanton),1.330,1.930
1,13:10,1,10,NWE 45,0,0,Tom Brady pass incomplete deep middle intended for Chris Hogan is intercepted by Justin Evans at TAM-36 and returned for 2 yards,1.930,-1.470
1,12:57,1,10,TAM 38,0,0,Jameis Winston pass complete short right to Mike Evans for 10 yards,1.470,2.130
1,12:22,1,10,TAM 48,0,0,Jacquizz Rodgers left tackle for 1 yard (tackle by Trey Flowers),2.130,1.720
1,11:50,2,9,TAM 49,0,0,Jameis Winston pass incomplete deep left intended for Charles Sims,1.720,1.020
1,11:43,3,9,TAM 49,0,0,Jameis Winston pass incomplete deep right intended for Mike Evans,1.020,-0.130
1,11:36,4,9,TAM 49,0,0,"Bryan Anger punts 31 yards, out of bounds",-0.130,-0.280
1,11:28,1,10,NWE 20,0,0,Tom Brady pass incomplete short middle intended for Chris Hogan,0.280,-0.270
1,11:25,2,10,NWE 20,0,0,Tom Brady pass complete short left to Danny Amendola for 5 yards (tackle by Justin Evans),-0.270,-0.300
1,10:49,3,5,NWE 25,0,0,Tom Brady pass incomplete short middle intended for Brandin Cooks,-0.300,-1.700
1,10:44,4,5,NWE 25,0,0,"Ryan Allen punts 53 yards, returned by Bernard Reedy for 14 yards (tackle by Johnson Bademosi)",-1.700,-1.330
1,10:32,1,10,TAM 36,0,0,Jameis Winston pass complete short left to Mike Evans for 10 yards (tackle by Stephon Gilmore),1.330,1.990
1,10:09,1,10,TAM 46,0,0,Doug Martin right tackle for 8 yards (tackle by Lawrence Guy and Malcolm Butler),1.990,2.530
1,9:30,2,2,NWE 46,0,0,Doug Martin middle for -1 yards (tackle by Patrick Chung and Adam Butler),2.530,1.690
1,8:46,3,3,NWE 47,0,0,Jameis Winston pass incomplete short right intended for Doug Martin,1.690,0.130
1,8:42,4,3,NWE 47,0,0,Bryan Anger punts 45 yards,0.130,0.380
1,8:31,1,10,NWE 2,0,0,Mike Gillislee right tackle for 1 yard (tackle by Kendell Beckwith),-0.380,-0.710
1,7:55,2,9,NWE 3,0,0,Mike Gillislee left guard for 4 yards (tackle by Gerald McCoy and Adarius Glanton),-0.710,-0.840
1,7:14,3,5,NWE 7,0,0,Tom Brady pass complete short middle to Chris Hogan for 12 yards (tackle by Justin Evans),-0.840,0.150
1,6:38,1,10,NWE 19,0,0,Tom Brady pass complete short right to Brandin Cooks for 17 yards,0.150,1.330
1,5:59,1,10,NWE 36,0,0,Tom Brady sacked by Clinton McDonald for -7 yards,1.330,-0.160
1,5:19,2,17,NWE 29,0,0,Tom Brady pass complete short middle to Danny Amendola for 13 yards (tackle by Kendell Beckwith),-0.160,0.890
1,4:36,3,4,NWE 42,0,0,"Tom Brady pass incomplete deep right intended for James White. Penalty on Chris Conte: Defensive Holding, 5 yards (no play)",0.890,2.060
1,4:30,1,10,NWE 47,0,0,Mike Gillislee left tackle for 6 yards (tackle by Justin Evans),2.060,2.330
1,4:13,2,4,TAM 47,0,0,Mike Gillislee right tackle for 7 yards (tackle by Kendell Beckwith and Noah Spence),2.330,2.920
1,3:50,1,10,TAM 40,0,0,"Mike Gillislee right tackle for 9 yards (tackle by Justin Evans). Penalty on Nate Solder: Offensive Holding, 10 yards (no play)",2.920,0.000
1,3:28,,,,,,Timeout #1 by New England Patriots,0.000,-2.260
1,3:28,1,20,,0,0,"Tom Brady pass complete short left to Danny Amendola for 14 yards (tackle by Kendell Beckwith). Penalty on Adarius Glanton: Defensive Holding, 5 yards (no play)",2.260,2.590
1,3:10,1,10,TAM 45,0,0,Dion Lewis right tackle for 31 yards (tackle by Justin Evans),2.590,4.650
1,2:49,1,10,TAM 14,0,0,Dion Lewis right tackle for 3 yards (tackle by William Gholston and Gerald McCoy),4.650,4.520
1,2:05,2,7,TAM 11,0,0,James White right tackle for 2 yards (tackle by Kendell Beckwith),4.520,4.050
1,1:31,3,5,TAM 9,0,0,Tom Brady pass incomplete short middle intended for James White,4.050,2.880
1,1:25,4,5,TAM 9,3,0,Stephen Gostkowski 27 yard field goal good,2.880,3.000
1,1:21,,,NWE 35,3,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,1:21,1,10,TAM 25,3,0,Jacquizz Rodgers middle for 1 yard,0.610,0.200
1,0:48,2,9,TAM 26,3,0,Jameis Winston pass incomplete deep left intended for DeSean Jackson,0.200,-0.490
1,0:39,3,9,TAM 26,3,0,Jameis Winston pass incomplete deep middle intended for Cameron Brate (defended by Patrick Chung),-0.490,-1.630
1,0:33,4,9,TAM 26,3,0,"Bryan Anger punts 50 yards, returned by Danny Amendola for 9 yards (tackle by Isaiah Johnson). Penalty on Brandon Bolden: Illegal Block Above the Waist, 10 yards",-1.630,-0.480
1,0:21,1,10,NWE 23,3,0,Mike Gillislee left tackle for 9 yards (tackle by Justin Evans and William Gholston),0.480,1.150
Quarter,Time,Down,ToGo,Location,NWE,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,NWE 32,3,0,Mike Gillislee right guard for no gain (tackle by Clinton McDonald and Robert Ayers),1.150,0.430
2,14:28,3,1,NWE 32,3,0,Tom Brady sacked by Gerald McCoy for -3 yards,0.430,-1.440
2,13:55,4,4,NWE 29,3,0,"Penalty on Joe Cardona: False Start, 5 yards (no play)",-1.440,-1.770
2,13:48,4,9,NWE 24,3,0,"Ryan Allen punts 50 yards, returned by Bernard Reedy for 6 yards (tackle by Cassius Marsh)",-1.770,-1.070
2,13:38,1,10,TAM 32,3,0,"Jameis Winston pass complete short left to Cameron Brate for 16 yards. Penalty on O.J. Howard: Illegal Block Above the Waist, 10 yards",1.070,1.950
2,13:04,1,4,TAM 38,3,0,"Jameis Winston for no gain. Jameis Winston fumbles, recovered by Bernard Reedy at TAM-34 and returned for 4 yards",1.950,1.340
2,12:26,2,4,TAM 38,3,0,Jameis Winston pass complete short right to DeSean Jackson for 11 yards (tackle by Devin McCourty),1.340,2.190
2,12:05,1,10,TAM 49,3,0,Doug Martin left guard for 11 yards,2.190,2.920
2,11:31,1,10,NWE 40,3,0,Doug Martin middle for 17 yards (tackle by Devin McCourty),2.920,4.040
2,10:49,1,10,NWE 23,3,0,Jameis Winston pass incomplete deep right intended for Adam Humphries,4.040,3.500
2,10:43,2,10,NWE 23,3,0,"Doug Martin left end for 8 yards (tackle by Patrick Chung). Penalty on O.J. Howard: Offensive Holding, 10 yards (no play)",3.500,2.150
2,10:14,2,20,NWE 33,3,0,Jameis Winston pass incomplete short right intended for Charles Sims,2.150,1.490
2,10:08,3,20,NWE 33,3,0,"Jameis Winston pass incomplete deep left intended for Cameron Brate. Penalty on Cassius Marsh: Defensive Offside (Declined), Penalty on Deatrich Wise Jr.: Illegal Use of Hands, 5 yards (no play)",1.490,3.710
2,10:02,1,10,NWE 28,3,0,Doug Martin middle for 9 yards (tackle by Trey Flowers),3.710,4.420
2,9:34,2,1,NWE 19,3,0,Jameis Winston pass complete short right to Chris Godwin for 8 yards (tackle by Devin McCourty),4.420,4.840
2,9:01,1,10,NWE 11,3,0,Doug Martin right tackle for 10 yards (tackle by Devin McCourty),4.840,6.970
2,8:33,1,1,NWE 1,3,6,"Doug Martin middle for 1 yard, touchdown",6.970,7.000
2,8:26,,,NWE 15,3,7,Nick Folk kicks extra point good,0.000,0.000
2,8:26,,,TAM 35,3,7,"Nick Folk kicks off 65 yards, touchback",0.000,-0.610
2,8:26,1,10,NWE 25,3,7,Tom Brady pass complete short left to James White for 18 yards,0.610,1.800
2,7:58,1,10,NWE 43,3,7,"Tom Brady pass complete short left to Danny Amendola for 5 yards (tackle by Justin Evans). Penalty on Nate Solder: Illegal Peelback, 15 yards (no play)",1.800,0.810
2,7:35,1,25,NWE 28,3,7,Tom Brady pass complete short left to James White for 1 yard (tackle by Chris Baker and Kendell Beckwith),0.810,-0.640
2,7:01,2,24,NWE 29,3,7,Tom Brady pass complete deep left to Brandin Cooks for 19 yards,-0.640,1.220
2,6:30,3,5,NWE 48,3,7,Tom Brady pass complete short right to Danny Amendola for 10 yards (tackle by Robert McClain),1.220,2.790
2,6:02,1,10,TAM 42,3,7,Tom Brady pass complete deep left to James White for 24 yards (tackle by Ryan Russell),2.790,4.370
2,5:38,1,10,TAM 18,3,7,Tom Brady pass complete short left to Danny Amendola for 7 yards (tackle by Chris Conte),4.370,5.010
