Quarter,Time,Down,ToGo,Location,STL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 68 yards, returned by Willie Ponder for 23 yards (tackle by Drew Wahlroos)",0.000,0.610
1,14:55,1,10,NYG 25,0,0,Eli Manning pass incomplete intended for Plaxico Burress,0.610,0.060
1,14:50,2,10,NYG 25,0,0,Tiki Barber left tackle for 13 yards (tackle by Michael Hawthorne),0.060,1.470
1,14:19,1,10,NYG 38,0,0,"Penalty on Jimmy Kennedy: Encroachment, 5 yards (no play)",1.470,2.200
1,14:07,1,5,NYG 43,0,0,"Tiki Barber right end for 2 yards (tackle by Travis Fisher). Penalty on Travis Fisher: Face Mask (15 Yards), 15 yards",2.200,2.920
1,13:46,1,10,STL 40,0,0,Eli Manning pass complete to Tiki Barber for 9 yards (tackle by Travis Fisher and Pisa Tinoisamoa),2.920,3.590
1,13:06,2,1,STL 31,0,6,"Eli Manning pass complete to Plaxico Burress for 31 yards, touchdown",3.590,7.000
1,,,,STL 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,NYG 30,0,7,"Jay Feely kicks off 63 yards, returned by Chris Johnson for 13 yards (tackle by James Butler)",0.000,0.280
1,12:46,1,10,STL 20,0,7,Steven Jackson left tackle for -4 yards (tackle by Reggie Torbor),0.280,-0.940
1,12:06,2,14,STL 16,0,7,Steven Jackson right end for no gain (tackle by Nick Greisen),-0.940,-1.690
1,11:24,3,14,STL 16,0,7,Marc Bulger pass incomplete intended for Torry Holt,-1.690,-2.390
1,11:10,4,14,STL 16,0,7,"Reggie Hodges punts 31 yards. Penalty on David Tyree: Defensive Offside, 5 yards (no play)",-2.390,-1.960
1,11:00,4,9,STL 21,0,7,"Reggie Hodges punts 39 yards, returned by Chad Morton for 11 yards (tackle by Madison Hedgecock)",-1.960,-2.320
1,10:49,1,10,STL 49,0,7,Tiki Barber left guard for 15 yards (tackle by Michael Hawthorne and Leonard Little),2.320,3.310
1,10:15,1,10,STL 34,0,7,Eli Manning pass complete to Plaxico Burress for 16 yards,3.310,4.370
1,9:52,1,10,STL 18,0,7,Tiki Barber right guard for -1 yards (tackle by Ryan Pickett and Pisa Tinoisamoa). Penalty on NYG: Illegal Formation (Declined),4.370,3.670
1,9:38,2,11,STL 19,0,7,Eli Manning pass complete to Jeremy Shockey for -1 yards (tackle by DeJuan Groce),3.670,2.870
1,8:56,3,12,STL 20,0,7,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Adam Archuleta),2.870,2.120
1,8:44,4,12,STL 20,0,10,Jay Feely 38 yard field goal good,2.120,3.000
1,,,,NYG 30,0,10,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
1,8:39,1,10,STL 20,0,10,Marc Bulger pass incomplete intended for Dane Looker,0.280,-0.270
1,8:34,2,10,STL 20,0,10,Marc Bulger pass incomplete intended for Madison Hedgecock (defended by Antonio Pierce),-0.270,-0.960
1,8:30,3,10,STL 20,0,10,Marc Bulger pass complete to Shaun McDonald for 10 yards (tackle by Gibril Wilson),-0.960,0.940
1,7:53,1,10,STL 30,0,10,Marc Bulger pass complete to Kevin Curtis for 18 yards (tackle by Curtis DeLoatch),0.940,2.130
1,7:15,1,10,STL 48,0,10,Marc Bulger pass complete to Roland Williams for 2 yards (tackle by Curtis DeLoatch),2.130,1.850
1,6:51,2,8,NYG 50,0,10,Marc Bulger pass complete to Shaun McDonald for 31 yards (tackle by Gibril Wilson). Penalty on Curtis DeLoatch: Defensive Holding (Declined),1.850,4.310
1,6:30,1,10,NYG 19,0,10,Steven Jackson left tackle for -2 yards (tackle by Michael Strahan),4.310,3.490
1,5:49,2,12,NYG 21,0,10,Marc Bulger pass complete to Shaun McDonald for 8 yards (tackle by Nick Greisen),3.490,3.960
1,5:17,3,4,NYG 13,6,10,"Marc Bulger pass complete to Steven Jackson for 13 yards, touchdown",3.960,7.000
1,,,,NYG 2,7,10,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,10,"Jeff Wilkins kicks off 63 yards, returned by Willie Ponder for 22 yards (tackle by Madison Hedgecock)",0.000,0.870
1,4:57,1,10,NYG 29,7,10,Eli Manning pass complete to Plaxico Burress for 46 yards (tackle by Travis Fisher),0.870,3.910
1,4:19,1,10,STL 25,7,10,Tim Carter left end for 22 yards (tackle by Travis Fisher),3.910,6.510
1,3:44,,,,7,10,Timeout #1 by New York Giants,0.000,6.510
