Quarter,Time,Tm,Detail,STL,NYG
1.0,12:51,Giants,Plaxico Burress 31 yard pass from Eli Manning (Jay Feely kick),0,7
,8:39,Giants,Jay Feely 38 yard field goal,0,10
,5:03,Rams,Steven Jackson 13 yard pass from Marc Bulger (Jeff Wilkins kick),7,10
,2:50,Giants,Amani Toomer 1 yard pass from Eli Manning (Jay Feely kick),7,17
2.0,12:12,Giants,Plaxico Burress 17 yard pass from Eli Manning (Jay Feely kick),7,24
,9:25,Giants,Jay Feely 32 yard field goal,7,27
,4:05,Rams,Steven Jackson 1 yard rush (Jeff Wilkins kick),14,27
,1:47,Rams,Jeff Wilkins 37 yard field goal,17,27
3.0,5:19,Giants,Jeremy Shockey 31 yard pass from Eli Manning (Jay Feely kick),17,34
4.0,8:27,Giants,Jay Feely 23 yard field goal,17,37
,5:28,Rams,Torry Holt 22 yard pass from Marc Bulger (Jeff Wilkins kick),24,37
,1:52,Giants,Tiki Barber 16 yard rush (Jay Feely kick),24,44
