Unnamed: 0,STL,NYG
First Downs,27,24
Rush-Yds-TDs,15-42-1,29-164-1
Cmp-Att-Yd-TD-INT,40-62-442-2-3,19-35-296-4-0
Sacked-Yards,1-8,1-4
Net Pass Yards,434,292
Total Yards,476,456
Fumbles-Lost,3-2,0-0
Turnovers,5,0
Penalties-Yards,11-103,11-90
Third Down Conv.,7-14,5-12
Fourth Down Conv.,2-2,1-2
Time of Possession,32:04,27:56
