Unnamed: 0,CAR,NOR
First Downs,32,23
Rush-Yds-TDs,27-103-3,21-63-1
Cmp-Att-Yd-TD-INT,27-47-322-2-1,34-49-465-4-1
Sacked-Yards,2-19,1-5
Net Pass Yards,303,460
Total Yards,406,523
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,5-51,10-126
Third Down Conv.,3-11,8-16
Fourth Down Conv.,1-1,1-1
Time of Possession,31:05,28:55
