Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
1,3:01,,,GNB 35,7,3,"Mason Crosby kicks off 62 yards, returned by Rachaad White for 20 yards (tackle by Keisean Nixon)",0.000,0.480
1,2:56,1,10,TAM 23,7,3,"Leonard Fournette right guard for no gain (tackle by Jonathan Garvin and Quay Walker). Penalty on Shaq Mason: Offensive Holding, 10 yards (accepted) (no play)",0.480,-0.590
1,2:36,1,20,TAM 13,7,3,Leonard Fournette up the middle for no gain (tackle by Dean Lowry),-0.590,-1.500
1,2:01,2,20,TAM 13,7,3,Tom Brady pass complete short right to Russell Gage for 8 yards,-1.500,-1.020
1,1:23,3,12,TAM 21,7,3,Tom Brady pass complete short middle to Breshad Perriman for 6 yards (tackle by Eric Stokes),-1.020,-1.570
1,0:42,4,6,TAM 27,7,3,"Jake Camarda punts 44 yards, fair catch by Amari Rodgers at GB-29",-1.570,-0.870
1,0:33,1,10,GNB 29,7,3,Aaron Jones right end for 3 yards (tackle by William Gholston),0.870,0.730
Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,GNB 32,7,3,Aaron Rodgers pass complete short left to AJ Dillon for -1 yards (tackle by Jamel Dean and Mike Edwards),0.730,-0.100
2,14:12,,,,,,Timeout #1 by Green Bay Packers,,
2,14:12,3,8,GNB 31,7,3,Aaron Rodgers pass complete short middle to Robert Tonyan for 9 yards (tackle by Keanu Neal),-0.100,1.600
2,13:32,1,10,GNB 40,7,3,Aaron Rodgers pass complete short right to Romeo Doubs for 9 yards (tackle by Antoine Winfield),1.600,2.270
2,12:50,,,,,,Timeout #2 by Green Bay Packers,,
2,12:50,2,1,GNB 49,7,3,AJ Dillon up the middle for 3 yards (tackle by Carl Nassib),2.270,2.390
2,12:10,1,10,TAM 48,7,3,Aaron Rodgers pass incomplete short left intended for Aaron Jones,2.390,1.850
2,12:06,2,10,TAM 48,7,3,AJ Dillon up the middle for 3 yards (tackle by Anthony Nelson),1.850,1.550
2,11:47,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,11:47,3,7,TAM 45,7,3,Aaron Rodgers pass complete short left to Allen Lazard for 7 yards (tackle by Mike Edwards),1.550,3.050
2,11:04,1,10,TAM 38,7,3,Aaron Jones right end for 2 yards (tackle by Devin White),3.050,2.780
2,10:22,2,8,TAM 36,7,3,Aaron Rodgers pass complete short middle to AJ Dillon for 7 yards (tackle by Devin White),2.780,3.010
2,9:40,3,1,TAM 29,7,3,Aaron Rodgers pass complete short left to Tyler Davis for 23 yards (tackle by Antoine Winfield),3.010,5.830
2,8:47,1,6,TAM 6,13,3,"Aaron Rodgers pass complete short right to Allen Lazard for 6 yards, touchdown",5.830,7.000
2,8:44,,,TAM 15,14,3,Mason Crosby kicks extra point good,0.000,0.000
2,8:44,,,GNB 35,14,3,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
2,8:44,1,10,TAM 25,14,3,Tom Brady pass complete short left to Russell Gage for 3 yards (tackle by Rasul Douglas),0.610,0.470
2,8:11,2,7,TAM 28,14,3,"Penalty on Scott Miller: False Start, 5 yards (accepted) (no play)",0.470,-0.210
2,7:56,2,12,TAM 23,14,3,Tom Brady pass complete short middle to Cameron Brate for 5 yards (tackle by Rasul Douglas),-0.210,-0.230
2,7:18,3,7,TAM 28,14,3,"Penalty on Brandon Walton: False Start, 5 yards (accepted) (no play)",-0.230,-0.890
2,7:00,3,12,TAM 23,14,3,Tom Brady sacked by Rashan Gary for -6 yards,-0.890,-2.320
2,6:11,4,18,TAM 17,14,3,"Jake Camarda punts 52 yards, returned by Amari Rodgers for 7 yards (tackle by Ko Kieft)",-2.320,-1.470
2,5:57,1,10,GNB 38,14,3,Aaron Rodgers pass complete short left to Randall Cobb for 40 yards (tackle by Carlton Davis),1.470,4.110
2,5:10,1,10,TAM 22,14,3,AJ Dillon right guard for 6 yards (tackle by Lavonte David),4.110,4.460
2,4:25,2,4,TAM 16,14,3,AJ Dillon right tackle for 7 yards (tackle by Carlton Davis and Devin White),4.460,5.140
2,3:39,1,9,TAM 9,14,3,Aaron Jones right end for 2 yards (tackle by Rakeem Nunez-Roches and Vita Vea),5.140,4.760
2,2:55,2,7,TAM 7,14,3,AJ Dillon up the middle for 2 yards (tackle by Shaquil Barrett),4.760,4.260
2,2:13,3,5,TAM 5,14,3,"Aaron Rodgers pass complete short middle to Aaron Jones for 3 yards. Aaron Jones fumbles (forced by Vita Vea), recovered by Logan Ryan in end zone",4.260,-0.280
2,2:02,1,10,TAM 20,14,3,"Tom Brady pass complete short left to Leonard Fournette for no gain (tackle by Adrian Amos). Penalty on Rasul Douglas: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.280,0.610
2,1:59,1,10,TAM 25,14,3,Tom Brady pass complete short right to Russell Gage for 5 yards (tackle by Keisean Nixon),0.610,0.740
2,1:43,2,5,TAM 30,14,3,Tom Brady pass complete short right to Cameron Brate for 6 yards (tackle by De'Vondre Campbell),0.740,1.330
2,1:31,1,10,TAM 36,14,3,Tom Brady pass complete short right to Russell Gage for 12 yards (tackle by De'Vondre Campbell),1.330,2.130
2,1:18,1,10,TAM 48,14,3,Tom Brady pass complete short left to Leonard Fournette for 12 yards (tackle by Rasul Douglas),2.130,2.920
2,0:57,1,10,GNB 40,14,3,Tom Brady pass incomplete short left intended for Scott Miller (defended by Rasul Douglas),2.920,2.370
2,0:51,2,10,GNB 40,14,3,"Tom Brady pass complete to Breshad Perriman for 14 yards. Breshad Perriman fumbles (forced by Quay Walker), recovered by Darnell Savage at GB-25 and returned for 2 yards (tackle by Leonard Fournette)",2.370,-0.740
2,0:41,1,10,GNB 27,14,3,Aaron Rodgers pass complete short middle to Robert Tonyan for 8 yards (tackle by Mike Edwards),0.740,1.280
2,0:23,2,2,GNB 35,14,3,Aaron Rodgers pass incomplete short right,1.280,0.560
2,0:19,3,2,GNB 35,14,3,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,0.560,-1.040
2,0:14,4,2,GNB 35,14,3,"Pat O'Donnell punts 52 yards, returned by Jaelon Darden for no gain (tackle by Rudy Ford)",-1.040,0.320
2,0:06,1,10,TAM 13,14,3,Tom Brady kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,14,3,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,GNB 25,14,3,"Aaron Rodgers pass complete short right to Romeo Doubs for 8 yards (tackle by Mike Edwards). Penalty on Allen Lazard: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.610,0.480
3,14:18,1,12,GNB 23,14,3,Aaron Rodgers pass complete short right to Romeo Doubs for 3 yards (tackle by Carlton Davis),0.480,0.200
3,13:49,2,9,GNB 26,14,3,Aaron Jones left end for 6 yards (tackle by Mike Edwards),0.200,0.300
3,13:07,3,3,GNB 32,14,3,Aaron Rodgers pass incomplete short left intended for AJ Dillon,0.300,-1.240
3,12:57,4,3,GNB 32,14,3,"Pat O'Donnell punts 57 yards, returned by Jaelon Darden for 10 yards (tackle by Dallin Leavitt and Tipa Galeai)",-1.240,-0.340
3,12:46,1,10,TAM 21,14,3,Leonard Fournette right tackle for 6 yards (tackle by Quay Walker),0.340,0.610
3,12:21,2,4,TAM 27,14,3,Leonard Fournette right tackle for 3 yards (tackle by Adrian Amos and Kenny Clark),0.610,0.300
3,12:01,3,1,TAM 30,14,3,Leonard Fournette up the middle for 3 yards (tackle by Quay Walker and De'Vondre Campbell),0.300,1.140
3,11:36,1,10,TAM 33,14,3,"Tom Brady pass incomplete short right intended for Cameron Brate. Penalty on Darnell Savage: Defensive Pass Interference, 13 yards (accepted) (no play)",1.140,1.990
3,11:31,1,10,TAM 46,14,3,Tom Brady pass incomplete short left intended for Scott Miller (defended by Rasul Douglas),1.990,1.450
3,11:25,2,10,TAM 46,14,3,"Tom Brady pass complete short right to Russell Gage for 4 yards. Russell Gage fumbles (forced by Keisean Nixon), recovered by Jarran Reed at 50",1.450,-2.260
3,11:18,1,10,TAM 50,14,3,Aaron Rodgers pass complete short left to Romeo Doubs for 3 yards (tackle by Jamel Dean),2.260,2.120
3,10:50,2,7,TAM 47,14,3,Aaron Rodgers pass complete short right to Robert Tonyan for 3 yards (tackle by Antoine Winfield),2.120,1.820
3,10:08,3,4,TAM 44,14,3,"Aaron Rodgers pass incomplete short right intended for Juwann Winfree Penalty on GNB: Illegal Shift, 5 yards (declined)",1.820,0.330
3,10:08,4,4,TAM 44,14,3,Pat O'Donnell punts 42 yards downed by Keisean Nixon,0.330,0.380
3,10:00,1,10,TAM 2,14,3,Tom Brady pass incomplete short left intended for Leonard Fournette,-0.380,-0.780
3,9:58,2,10,TAM 2,14,3,Tom Brady pass incomplete short middle intended for Russell Gage,-0.780,-1.420
3,9:54,3,10,TAM 2,14,3,Tom Brady pass incomplete short middle intended for Cole Beasley,-1.420,-2.490
3,9:50,4,10,TAM 2,14,3,"Jake Camarda punts, returned by Amari Rodgers for no gain (tackle by Keanu Neal). Penalty on Tipa Galeai: Running Into the Kicker, 5 yards (accepted) (no play)",-2.490,-2.490
3,9:38,4,5,TAM 7,14,3,"Jake Camarda punts 62 yards, returned by Amari Rodgers for 14 yards (tackle by Keanu Neal). Penalty on Rudy Ford: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-2.490,-1.270
3,9:26,1,10,GNB 35,14,3,AJ Dillon left guard for 2 yards (tackle by Mike Edwards and Shaquil Barrett),1.270,0.990
3,8:43,2,8,GNB 37,14,3,Aaron Jones left end for 3 yards (tackle by Mike Edwards and Shaquil Barrett),0.990,0.700
3,7:59,3,5,GNB 40,14,3,Aaron Rodgers pass short middle intended for Robert Tonyan is intercepted by Logan Ryan at GB-47 and returned for no gain (tackle by Allen Lazard),0.700,-2.460
3,7:52,1,10,GNB 47,14,3,Tom Brady pass complete short right to Cameron Brate for 19 yards,2.460,3.710
3,7:12,1,10,GNB 28,14,3,Tom Brady pass incomplete short middle intended for Scott Miller,3.710,3.170
3,7:08,2,10,GNB 28,14,3,Leonard Fournette left guard for 1 yard (tackle by De'Vondre Campbell and Dean Lowry),3.170,2.610
3,6:34,3,9,GNB 27,14,3,Tom Brady pass incomplete deep middle intended for Breshad Perriman,2.610,1.670
3,6:27,4,9,GNB 27,14,6,Ryan Succop 45 yard field goal good,1.670,3.000
3,6:22,,,TAM 35,14,6,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,6:22,1,10,GNB 25,14,6,Aaron Rodgers pass complete short left to Romeo Doubs for 15 yards (tackle by Jamel Dean),0.610,1.600
3,5:45,1,10,GNB 40,14,6,Aaron Jones right end for -1 yards (tackle by Mike Edwards),1.600,0.920
3,5:01,2,11,GNB 39,14,6,Aaron Rodgers pass complete short middle to Robert Tonyan for 4 yards (tackle by Mike Edwards and Devin White),0.920,0.760
3,4:19,3,7,GNB 43,14,6,Aaron Rodgers pass complete short right to Aaron Jones for no gain (tackle by Lavonte David),0.760,-0.520
3,3:37,4,7,GNB 43,14,6,"Pat O'Donnell punts 46 yards, fair catch by Jaelon Darden at TB-11",-0.520,0.370
3,3:29,1,10,TAM 11,14,6,Leonard Fournette right tackle for 5 yards (tackle by Jarran Reed),-0.370,-0.300
3,2:59,2,5,TAM 16,14,6,Tom Brady pass complete short middle to Russell Gage for 7 yards (tackle by Darnell Savage),-0.300,0.480
3,2:32,1,10,TAM 23,14,6,Tom Brady pass complete short left to Leonard Fournette for -3 yards (tackle by Adrian Amos),0.480,-0.470
3,1:53,2,13,TAM 20,14,6,Tom Brady pass complete short right to Russell Gage for 10 yards (tackle by De'Vondre Campbell),-0.470,0.170
3,1:08,3,3,TAM 30,14,6,"Tom Brady scrambles up the middle for no gain (tackle by Quay Walker). Penalty on Brandon Walton: Offensive Holding, 10 yards (accepted) (no play)",0.170,-1.150
3,0:48,3,13,TAM 20,14,6,Tom Brady pass incomplete short middle,-1.150,-2.030
3,0:45,4,13,TAM 20,14,6,Jake Camarda punts 36 yards downed by Kenny Young,-2.030,-1.860
3,0:35,1,10,GNB 44,14,6,AJ Dillon up the middle for 2 yards (tackle by Deadrin Senat),1.860,1.590
Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,GNB 46,14,6,Aaron Rodgers pass complete short right to Robert Tonyan for 6 yards (tackle by Shaquil Barrett),1.590,1.690
4,14:13,3,2,TAM 48,14,6,Aaron Jones right guard for -2 yards (tackle by Joe Tryon-Shoyinka),1.690,-0.060
4,13:24,4,4,TAM 50,14,6,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",-0.060,-0.390
4,13:24,4,9,GNB 45,14,6,"Pat O'Donnell punts 41 yards, fair catch by Jaelon Darden at TB-14",-0.390,0.280
4,13:17,1,10,TAM 14,14,6,Leonard Fournette up the middle for no gain (tackle by Rashan Gary),-0.280,-0.750
4,12:45,2,10,TAM 14,14,6,Tom Brady pass complete short right to Cole Beasley for 3 yards,-0.750,-1.040
4,12:08,3,7,TAM 17,14,6,Tom Brady pass complete short left to Cole Beasley for 5 yards (tackle by Rasul Douglas),-1.040,-1.900
4,11:27,4,2,TAM 22,14,6,"Jake Camarda punts 58 yards, fair catch by Amari Rodgers at GB-20",-1.900,-0.280
4,11:18,1,10,GNB 20,14,6,"AJ Dillon up the middle for 2 yards (tackle by Mike Edwards and Lavonte David). Penalty on Allen Lazard: Offensive Holding, 10 yards (accepted)",0.280,-0.600
4,10:45,1,18,GNB 12,14,6,AJ Dillon right end for 1 yard (tackle by Deadrin Senat),-0.600,-1.280
4,10:32,2,17,GNB 13,14,6,Aaron Rodgers pass deep middle is intercepted by Jamel Dean at TB-41 and returned for no gain (tackle by Randall Cobb) (no play),-1.280,-0.630
4,10:22,2,12,GNB 18,14,6,Aaron Rodgers pass complete short right to Robert Tonyan for 7 yards (tackle by Mike Edwards and Lavonte David),-0.630,-0.300
4,9:39,3,5,GNB 25,14,6,Aaron Rodgers pass complete short middle to Tyler Davis for 3 yards (tackle by Lavonte David),-0.300,-1.500
4,8:54,4,2,GNB 28,14,6,"Pat O'Donnell punts 63 yards, returned by Jaelon Darden for 16 yards (tackle by Isaiah McDuffie)",-1.500,-0.610
4,8:40,1,10,TAM 25,14,6,Tom Brady pass complete short right to Jaelon Darden for 25 yards (tackle by Keisean Nixon),0.610,2.260
4,8:02,1,10,TAM 50,14,6,"Breshad Perriman aborted snap, recovered by Cameron Brate at TB-41",2.260,0.090
4,7:16,2,22,TAM 38,14,6,Tom Brady sacked by Kenny Clark for -8 yards,0.090,-1.620
4,6:53,3,30,TAM 30,14,6,Tom Brady pass complete to Cameron Brate for 11 yards (tackle by De'Vondre Campbell),-1.620,-0.650
4,6:07,4,19,TAM 41,14,6,"Jake Camarda punts 45 yards, fair catch by Amari Rodgers at GB-14",-0.650,0.280
4,5:57,1,10,GNB 14,14,6,Aaron Rodgers pass incomplete deep right intended for Allen Lazard,-0.280,-0.750
4,5:50,2,10,GNB 14,14,6,Aaron Jones right guard for 6 yards (tackle by Antoine Winfield),-0.750,-0.680
4,5:04,,,,,,Timeout #1 by Green Bay Packers,,
4,5:04,3,4,GNB 20,14,6,Aaron Rodgers pass complete short right to Allen Lazard for 6 yards (tackle by Antoine Winfield),-0.680,0.670
4,4:22,1,10,GNB 26,14,6,Aaron Jones right guard for 6 yards (tackle by Mike Edwards),0.670,0.940
4,3:37,2,4,GNB 32,14,6,Aaron Rodgers pass complete deep right to Allen Lazard for 26 yards (tackle by Antoine Winfield),0.940,2.790
4,3:29,1,10,TAM 42,14,6,AJ Dillon right guard for no gain (tackle by William Gholston and Rakeem Nunez-Roches),2.790,2.240
4,3:24,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,3:24,2,10,TAM 42,14,6,Aaron Rodgers pass incomplete deep right intended for Juwann Winfree,2.240,1.550
4,3:18,,,,,,Timeout #2 by Green Bay Packers,,
4,3:18,3,10,TAM 42,14,6,Aaron Rodgers sacked by Logan Hall for -7 yards,1.550,0.000
4,3:11,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,3:11,4,17,TAM 49,14,6,"Pat O'Donnell punts 38 yards, fair catch by Jaelon Darden at TB-11",0.000,0.370
4,3:04,1,10,TAM 11,14,6,Tom Brady pass complete short left to Russell Gage for 9 yards (tackle by Keisean Nixon),-0.370,0.360
4,2:40,2,1,TAM 20,14,6,Tom Brady pass complete short middle to Russell Gage for 15 yards (tackle by Keisean Nixon),0.360,1.270
4,2:20,1,10,TAM 35,14,6,Tom Brady pass complete short middle to Russell Gage for 5 yards (tackle by De'Vondre Campbell),1.270,1.400
4,2:04,2,5,TAM 40,14,6,Tom Brady pass complete short left to Leonard Fournette for 17 yards (tackle by De'Vondre Campbell),1.400,2.720
4,1:54,1,10,GNB 43,14,6,Tom Brady pass complete short right to Cameron Brate for 11 yards (tackle by De'Vondre Campbell),2.720,3.450
4,1:34,1,10,GNB 32,14,6,Tom Brady pass incomplete short left,3.450,2.900
4,1:31,2,10,GNB 32,14,6,Tom Brady pass complete short left to Leonard Fournette for 10 yards (tackle by Rasul Douglas),2.900,4.110
4,1:26,1,10,GNB 22,14,6,Tom Brady pass complete short right to Scott Miller for 4 yards (tackle by De'Vondre Campbell and Keisean Nixon),4.110,4.130
4,1:02,2,6,GNB 18,14,6,Tom Brady pass complete short left to Russell Gage for 8 yards (tackle by Rasul Douglas),4.130,4.910
4,0:34,1,10,GNB 10,14,6,Tom Brady pass incomplete short middle intended for Scott Miller (defended by De'Vondre Campbell),4.910,4.190
4,0:30,2,10,GNB 10,14,6,"Tom Brady pass incomplete short left intended for Cameron Brate. Penalty on Adrian Amos: Defensive Pass Interference, 7 yards (accepted) (no play)",4.190,6.510
4,0:26,1,3,GNB 3,14,6,Leonard Fournette up the middle for 2 yards (tackle by Dean Lowry and De'Vondre Campbell),6.510,5.910
4,0:20,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,0:20,,,,,,Timeout #3 by Green Bay Packers,,
4,0:20,2,1,GNB 1,14,6,Tom Brady pass incomplete short right intended for Cameron Brate,5.910,5.170
4,0:18,3,1,GNB 1,14,12,"Tom Brady pass complete short middle to Russell Gage for 1 yard, touchdown",5.170,7.000
4,0:14,,,GNB 15,14,12,"Penalty on TAM: Delay of Game, 5 yards (accepted) (no play)",0.000,1.000
4,0:14,1,7,GNB 7,14,12,Two Point Attempt: Tom Brady pass incomplete intended for Russell Gage,1.000,-1.000
4,0:14,,,TAM 35,14,12,"Jake Camarda kicks onside 12 yards, returned by Allen Lazard for 2 yards",0.000,2.590
4,0:13,1,10,TAM 45,14,12,Aaron Rodgers kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
