Quarter,Time,Tm,Detail,GNB,TAM
1.0,9:05,Buccaneers,Ryan Succop 45 yard field goal,0,3
,3:01,Packers,Romeo Doubs 5 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
2.0,8:44,Packers,Allen Lazard 6 yard pass from Aaron Rodgers (Mason Crosby kick),14,3
3.0,6:22,Buccaneers,Ryan Succop 45 yard field goal,14,6
4.0,0:14,Buccaneers,Russell Gage 1 yard pass from Tom Brady (pass failed),14,12
