Unnamed: 0,BUF,KAN
First Downs,23,13
Rush-Yds-TDs,39-163-1,18-108-0
Cmp-Att-Yd-TD-INT,17-26-208-4-1,22-36-119-1-1
Sacked-Yards,1-7,2-14
Net Pass Yards,201,105
Total Yards,364,213
Fumbles-Lost,1-0,2-2
Turnovers,1,3
Penalties-Yards,5-30,1-3
Third Down Conv.,7-14,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,37:02,22:58
