Quarter,Time,Down,ToGo,Location,PHI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PHI 20,0,0,Mark Sanchez pass complete short left to Riley Cooper for 8 yards (tackle by Nevin Lawson and Quandre Diggs),0.280,0.810
1,14:40,2,2,PHI 28,0,0,DeMarco Murray middle for no gain (tackle by Jason Jones),0.810,0.100
1,14:17,3,2,PHI 28,0,0,Mark Sanchez middle for 5 yards (tackle by Tahir Whitehead),0.100,1.140
1,13:51,1,10,PHI 33,0,0,DeMarco Murray middle for -3 yards (tackle by Caraun Reid),1.140,0.190
1,13:24,2,13,PHI 30,0,0,Mark Sanchez pass complete deep middle to Jordan Matthews for 23 yards (tackle by Isa Abdul-Quddus),0.190,2.460
1,12:55,1,10,DET 47,0,0,Darren Sproles left tackle for 5 yards (tackle by Nevin Lawson and Khyri Thornton),2.460,2.590
1,12:35,2,5,DET 42,0,0,Mark Sanchez pass incomplete deep left intended for Jordan Matthews,2.590,1.880
1,12:28,3,5,DET 42,0,0,"Penalty on Ezekiel Ansah: Neutral Zone Infraction, 4 yards (no play)",1.880,3.050
1,12:28,1,10,DET 38,0,0,Mark Sanchez pass complete short right to Darren Sproles for -3 yards (tackle by Tahir Whitehead),3.050,2.100
1,12:03,2,13,DET 41,0,0,DeMarco Murray left end for 1 yard (tackle by Quandre Diggs),2.100,1.550
1,11:26,3,12,DET 40,0,0,Mark Sanchez pass complete short right to Nelson Agholor for 12 yards (tackle by Darius Slay and Tahir Whitehead),1.550,3.710
1,11:02,1,10,DET 28,0,0,DeMarco Murray middle for 3 yards (tackle by C.J. Wilson),3.710,3.570
1,10:36,2,7,DET 25,0,0,Mark Sanchez pass incomplete short right intended for Brent Celek (defended by Tahir Whitehead),3.570,2.870
1,10:31,3,7,DET 25,0,0,"Mark Sanchez pass complete short middle to Riley Cooper for 6 yards (tackle by Isa Abdul-Quddus). Penalty on Lane Johnson: Face Mask (15 Yards), 15 yards (no play)",2.870,0.890
1,10:07,3,22,DET 40,0,0,Mark Sanchez pass complete short right to Darren Sproles for 8 yards (tackle by Josh Bynes),0.890,1.240
1,9:39,4,14,DET 32,0,0,Caleb Sturgis 50 yard field goal no good,1.240,-1.600
1,9:35,1,10,DET 40,0,0,"Matthew Stafford pass complete short left to Golden Tate for 5 yards (tackle by Nolan Carroll). Penalty on Brandon Pettigrew: Illegal Formation, 5 yards (no play)",1.600,1.270
1,9:09,1,15,DET 35,0,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,1.270,0.380
1,9:04,2,15,DET 35,0,0,Ameer Abdullah middle for -5 yards (tackle by Brandon Graham),0.380,-0.960
1,8:25,3,20,DET 30,0,0,Matthew Stafford pass incomplete short right intended for Ameer Abdullah,-0.960,-1.370
1,8:21,4,20,DET 30,0,0,"Sam Martin punts 46 yards, fair catch by Darren Sproles",-1.370,-0.540
1,8:12,1,10,PHI 24,0,0,DeMarco Murray left tackle for 1 yard (tackle by Caraun Reid and Khyri Thornton),0.540,0.130
1,7:51,2,9,PHI 25,0,0,DeMarco Murray right tackle for no gain (tackle by Devin Taylor),0.130,-0.560
1,7:21,3,9,PHI 25,0,0,Mark Sanchez sacked by Ezekiel Ansah for -8 yards,-0.560,-2.320
1,6:47,4,17,PHI 17,0,0,"Donnie Jones punts 48 yards, returned by Golden Tate for no gain",-2.320,-1.270
1,6:37,1,10,DET 35,0,0,Ameer Abdullah right tackle for 23 yards (tackle by Walter Thurmond),1.270,2.790
1,5:59,1,10,PHI 42,0,0,Ameer Abdullah left end for -3 yards (tackle by Cedric Thornton),2.790,1.840
1,5:17,2,13,PHI 45,0,0,Matthew Stafford pass complete short middle to Theo Riddick for 23 yards (tackle by Byron Maxwell),1.840,4.110
1,4:30,1,10,PHI 22,0,0,Matthew Stafford pass incomplete deep right intended for Brandon Pettigrew (defended by Connor Barwin),4.110,3.560
1,4:23,2,10,PHI 22,0,0,Matthew Stafford pass complete short left to Golden Tate for 7 yards (tackle by Kiko Alonso and Nolan Carroll),3.560,3.930
1,3:40,3,3,PHI 15,0,0,Matthew Stafford pass complete short middle to Golden Tate for 6 yards (tackle by Byron Maxwell),3.930,5.140
1,2:58,1,9,PHI 9,0,0,Matthew Stafford pass complete short left to Golden Tate for 1 yard (tackle by Walter Thurmond and E.J. Biggers),5.140,4.570
