Quarter,Time,Tm,Detail,PHI,DET
1.0,2:10,Lions,Theo Riddick 8 yard pass from Matthew Stafford (Matt Prater kick),0,7
2.0,14:20,Eagles,Brent Celek 2 yard pass from Mark Sanchez (Caleb Sturgis kick),7,7
,7:53,Lions,Golden Tate 2 yard pass from Matthew Stafford (Matt Prater kick),7,14
,4:59,Lions,Matt Prater 48 yard field goal,7,17
,0:12,Lions,Calvin Johnson 25 yard pass from Matthew Stafford (Matt Prater kick),7,24
3.0,7:09,Lions,Calvin Johnson 4 yard pass from Matthew Stafford (Matt Prater kick),7,31
,5:05,Lions,Calvin Johnson 3 yard pass from Matthew Stafford (Matt Prater kick),7,38
4.0,10:42,Lions,Joique Bell 1 yard rush (Matt Prater kick),7,45
,2:56,Eagles,Jordan Matthews 24 yard pass from Mark Sanchez (Caleb Sturgis kick),14,45
