Quarter,Time,Tm,Detail,CHI,DEN
3,5:19,Bears,Marion Barber III 9 yard rush (Robbie Gould kick),7,0
4,14:55,Bears,Robbie Gould 57 yard field goal,10,0
,2:08,Broncos,Demaryius Thomas 10 yard pass from Tim Tebow (Matt Prater kick),10,7
,0:03,Broncos,Matt Prater 59 yard field goal,10,10
OT,8:34,Broncos,Matt Prater 51 yard field goal,10,13
