Quarter,Time,Tm,Detail,BAL,CLE
1.0,8:46,Ravens,Justin Tucker 31 yard field goal,3,0
2.0,8:12,Browns,Duke Johnson 12 yard rush (Zane Gonzalez kick),3,7
,3:01,Ravens,Joe Flacco 2 yard rush (Justin Tucker kick),10,7
,0:59,Ravens,Ben Watson 33 yard pass from Joe Flacco (Justin Tucker kick),17,7
,0:00,Browns,Zane Gonzalez 45 yard field goal,17,10
3.0,7:06,Ravens,Brandon Williams 1 yard fumble return (Justin Tucker kick),24,10
,0:04,Ravens,Justin Tucker 43 yard field goal,27,10
