Unnamed: 0,BAL,CLE
First Downs,23,15
Rush-Yds-TDs,31-97-1,19-130-1
Cmp-Att-Yd-TD-INT,26-42-288-1-0,20-37-146-0-2
Sacked-Yards,1-9,2-10
Net Pass Yards,279,136
Total Yards,376,266
Fumbles-Lost,0-0,2-2
Turnovers,0,4
Penalties-Yards,7-57,6-35
Third Down Conv.,7-16,5-14
Fourth Down Conv.,0-1,0-1
Time of Possession,36:48,23:12
