Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
1,3:47,2,3,SFO 3,7,0,Aaron Brooks sacked by Saleem Rasheed for -1 yards,5.530,4.490
1,3:14,3,4,SFO 4,7,6,"Aaron Brooks pass complete to Deuce McAllister for 4 yards, touchdown",4.490,7.000
1,3:14,,,SFO 4,7,7,John Carney kicks extra point good,0.000,0.000
1,3:14,,,NOR 30,7,7,"Toby Gowin kicks off 66 yards, returned by Jimmy Williams for 13 yards (tackle by Steve Gleason)",0.000,-0.060
1,3:05,1,10,SFO 17,7,7,Jeff Garcia pass complete to Tai Streets for 22 yards (tackle by Sedrick Hodge),-0.060,1.530
1,2:24,1,10,SFO 39,7,7,Kevan Barlow left tackle for 8 yards (tackle by Martin Chase),1.530,2.070
1,1:44,2,2,SFO 47,7,7,Jeff Garcia pass complete to Tai Streets for 15 yards (tackle by Ken Irvin),2.070,3.050
1,1:03,1,10,NOR 38,7,7,Kevan Barlow right end for 6 yards (tackle by Fakhir Brown and Darrin Smith),3.050,3.320
1,0:24,2,4,NOR 32,7,7,Kevan Barlow left guard for 6 yards (tackle by Bryan Cox and Darrin Smith),3.320,3.840
Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 26,7,7,Jeff Garcia middle for 12 yards (tackle by Sammy Knight),3.840,4.650
2,14:18,1,10,NOR 14,7,7,Jeff Garcia pass complete to Kevan Barlow for 12 yards (tackle by Bryan Cox),4.650,6.740
2,13:36,1,2,NOR 2,13,7,"Garrison Hearst right guard for 2 yards, touchdown",6.740,7.000
2,13:36,,,NOR 2,14,7,Jose Cortez kicks extra point good,0.000,0.000
2,13:36,,,SFO 30,14,7,"Jose Cortez kicks off 68 yards, returned by Michael Lewis for 17 yards (tackle by Jason Moore)",0.000,0.150
2,13:26,1,10,NOR 19,14,7,Deuce McAllister left tackle for 53 yards (tackle by Tony Parrish),0.150,3.710
2,12:51,1,10,SFO 28,14,7,"Aaron Brooks pass complete to Michael Lewis for no gain. Michael Lewis fumbles, recovered by Andre Carter at SFO-28 and returned for 3 yards (tackle by David Sloan)",3.710,-1.000
2,12:38,1,10,SFO 31,14,7,Garrison Hearst left guard for 4 yards (tackle by Charles Grant),1.000,1.000
2,12:01,2,6,SFO 35,14,7,Jeff Garcia pass complete to Terrell Owens for 7 yards (tackle by Jay Bellamy),1.000,1.730
2,11:21,1,10,SFO 42,14,7,Garrison Hearst for 4 yards (tackle by Sammy Knight),1.730,1.730
2,10:51,2,6,SFO 46,14,7,Jeff Garcia for 5 yards (tackle by Fakhir Brown),1.730,1.690
2,10:15,3,1,NOR 49,14,7,Fred Beasley right guard for 2 yards (tackle by Martin Chase),1.690,2.460
2,9:30,1,10,NOR 47,14,7,Jeff Garcia pass complete to Eric Johnson for 8 yards (tackle by Sedrick Hodge and Jay Bellamy),2.460,2.990
2,8:46,2,2,NOR 39,14,7,Garrison Hearst middle for 30 yards (tackle by Fakhir Brown),2.990,5.140
2,8:11,1,9,NOR 9,14,7,Jeff Garcia pass incomplete intended for Terrell Owens,5.140,4.380
2,8:04,2,9,NOR 9,14,7,Garrison Hearst middle for 3 yards (tackle by Martin Chase and Jay Bellamy),4.380,4.040
2,7:21,3,6,NOR 6,14,7,Jeff Garcia pass incomplete intended for Eric Johnson (defended by Sedrick Hodge),4.040,2.990
2,7:15,4,6,NOR 6,17,7,Jose Cortez 24 yard field goal good,2.990,3.000
2,7:15,,,SFO 30,17,7,"Jose Cortez kicks off 68 yards, returned by Michael Lewis for 51 yards (tackle by Jason Moore)",0.000,2.460
2,7:00,1,10,SFO 47,17,7,Aaron Brooks pass complete to Boo Williams for -3 yards,2.460,1.510
2,6:36,2,13,,17,7,Aaron Brooks pass complete to Deuce McAllister for 4 yards (tackle by Julian Peterson),1.510,1.350
2,5:59,3,9,SFO 46,17,7,Aaron Brooks pass complete to Joe Horn for 18 yards (tackle by Tony Parrish and Ahmed Plummer),1.350,3.710
2,5:21,1,10,SFO 28,17,7,Deuce McAllister left guard for no gain (tackle by Bryant Young and Dana Stubblefield),3.710,3.170
2,4:42,2,10,SFO 28,17,7,Aaron Brooks pass incomplete intended for Jerome Pathon,3.170,2.480
2,4:34,3,10,SFO 28,17,7,Aaron Brooks pass incomplete intended for Jake Reed,2.480,1.590
2,4:29,4,10,SFO 28,17,10,John Carney 46 yard field goal good,1.590,3.000
2,4:29,,,NOR 30,17,10,"Toby Gowin kicks off 67 yards, returned by Jimmy Williams for 20 yards (tackle by Steve Gleason)",0.000,0.480
2,4:16,1,10,SFO 23,17,10,Jeff Garcia pass complete to Fred Beasley for 7 yards (tackle by Darrin Smith),0.480,0.880
2,3:41,2,3,SFO 30,17,10,Kevan Barlow left tackle for 2 yards (tackle by Jay Bellamy and Darren Howard),0.880,0.430
2,2:58,3,1,SFO 32,17,10,"Penalty on Derrick Deese: False Start, 5 yards (no play)",0.430,-0.230
2,2:35,3,6,SFO 27,17,10,Jeff Garcia pass complete to Tai Streets for 5 yards (tackle by Fred Thomas),-0.230,-1.240
2,2:00,4,1,SFO 32,17,10,"Jason Baker punts 46 yards, returned by Michael Lewis for no gain",-1.240,-0.410
2,1:50,1,10,NOR 22,17,10,Aaron Brooks pass incomplete intended for Jerome Pathon (defended by Julian Peterson),0.410,-0.130
2,1:45,2,10,NOR 22,17,10,Deuce McAllister left guard for 13 yards (tackle by Ronnie Heard),-0.130,1.270
2,1:39,2,10,NOR 22,,,Timeout #1 by New Orleans Saints,-0.130,1.270
2,1:39,1,10,NOR 35,17,10,"Aaron Brooks pass complete to Jake Reed for 25 yards (tackle by Ronnie Heard). Penalty on Michael Lewis: Offensive Holding, 10 yards",1.270,2.260
2,1:32,1,10,,17,10,Aaron Brooks pass complete to Jake Reed for 9 yards (tackle by Ahmed Plummer),2.260,2.930
2,0:57,2,1,SFO 41,17,10,Aaron Brooks pass complete to Deuce McAllister for 5 yards (tackle by Rashad Holman),2.930,3.180
2,0:55,1,10,SFO 36,17,10,Aaron Brooks pass incomplete intended for Jerome Pathon,3.180,2.640
2,0:49,2,10,SFO 36,17,10,Aaron Brooks sacked by Jim Flanigan for -5 yards,2.640,1.290
2,0:40,2,10,SFO 36,,,Timeout #2 by New Orleans Saints,2.640,1.290
2,0:40,3,15,SFO 41,17,10,Aaron Brooks right end for 4 yards (tackle by Saleem Rasheed),1.290,0.790
2,0:04,3,15,SFO 41,,,Timeout #3 by New Orleans Saints,1.290,0.790
2,0:04,4,11,SFO 37,17,10,John Carney 55 yard field goal no good,0.790,1.860
Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,17,10,"Jose Cortez kicks off 59 yards, returned by Michael Lewis for 18 yards (tackle by Frank Strong)",0.000,0.870
3,14:18,1,10,NOR 29,17,10,Deuce McAllister right guard for 2 yards (tackle by Chike Okeafor and Dana Stubblefield),0.870,0.600
3,14:15,2,8,NOR 31,17,10,Aaron Brooks pass complete to Joe Horn for 16 yards (tackle by Ronnie Heard),0.600,2.060
3,13:37,1,10,NOR 47,17,10,Aaron Brooks pass incomplete intended for Joe Horn,2.060,1.520
3,13:30,2,10,NOR 47,17,10,Deuce McAllister left guard for 3 yards (tackle by Julian Peterson and Jeff Ulbrich),1.520,1.220
3,12:47,3,7,,17,10,Aaron Brooks pass complete to Jake Reed for 10 yards (tackle by Rashad Holman),1.220,2.920
3,12:09,1,10,SFO 40,17,10,Deuce McAllister right end for 1 yard (tackle by Sean Moran),2.920,2.510
3,11:31,2,9,SFO 39,17,10,Deuce McAllister left end for no gain (tackle by Sean Moran and Derek Smith),2.510,1.820
3,10:48,3,9,SFO 39,17,10,Aaron Brooks pass complete to Joe Horn for 13 yards (tackle by Jason Webster),1.820,3.840
3,10:08,1,10,SFO 26,17,10,Deuce McAllister left tackle for 1 yard (tackle by Chike Okeafor and Andre Carter),3.840,3.430
3,9:28,2,9,SFO 25,17,10,Deuce McAllister right tackle for -1 yards (tackle by Jim Flanigan and Derek Smith),3.430,2.610
3,8:45,3,10,SFO 26,17,10,Aaron Brooks pass complete to Jerome Pathon for 19 yards (tackle by Ronnie Heard),2.610,5.600
3,8:04,1,7,SFO 7,17,10,Curtis Keaton right guard for -1 yards (tackle by Julian Peterson and Jeff Ulbrich),5.600,4.570
3,7:20,2,8,SFO 8,17,10,Aaron Brooks pass incomplete intended for Michael Lewis,4.570,3.580
3,7:20,3,8,SFO 8,17,10,"Penalty on Kyle Turley: Illegal Procedure, 5 yards (no play)",3.580,3.060
3,7:14,3,13,SFO 13,17,10,Aaron Brooks pass incomplete intended for Joe Horn,3.060,2.570
3,7:10,4,13,SFO 13,17,13,John Carney 31 yard field goal good,2.570,3.000
3,7:10,,,NOR 30,17,13,"Toby Gowin kicks off 66 yards, returned by Jamal Robertson for 30 yards (tackle by Michael Lewis)",0.000,1.200
3,6:58,1,10,SFO 34,17,13,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Fakhir Brown),1.200,0.660
3,6:52,2,10,SFO 34,17,13,Garrison Hearst right guard for 7 yards (tackle by Sammy Knight),0.660,0.890
3,6:09,3,3,SFO 41,17,13,Jeff Garcia pass complete to Fred Beasley for 4 yards (tackle by Darrin Smith),0.890,1.930
3,5:30,1,10,SFO 45,17,13,Jeff Garcia pass incomplete intended for Terrell Owens,1.930,1.380
3,5:23,2,10,SFO 45,17,13,Garrison Hearst left guard for 1 yard (tackle by Jay Bellamy),1.380,0.830
3,4:41,3,9,SFO 46,17,13,Jeff Garcia pass complete to Cedrick Wilson for 12 yards (tackle by Fred Thomas),0.830,2.790
3,3:57,1,10,NOR 42,17,13,Garrison Hearst middle for 20 yards (tackle by Jay Bellamy),2.790,4.110
3,3:16,1,10,NOR 22,17,13,Terrell Owens right end for 2 yards (tackle by Sedrick Hodge),4.110,3.830
3,2:30,2,8,NOR 20,17,13,Jeff Garcia right end for 7 yards (tackle by Charles Grant and Darrin Smith),3.830,4.390
3,1:41,3,1,NOR 13,17,13,Jeff Garcia pass complete to Fred Beasley for 5 yards (tackle by Bryan Cox),4.390,5.370
3,1:16,1,8,NOR 8,23,13,"Garrison Hearst left guard for 8 yards, touchdown",5.370,7.000
3,1:16,,,NOR 8,24,13,Jose Cortez kicks extra point good,0.000,0.000
3,1:16,,,SFO 30,24,13,"Jose Cortez kicks off 55 yards, returned by James Fenderson for 22 yards (tackle by Jimmy Williams)",0.000,1.400
3,1:04,1,10,NOR 37,24,13,"Aaron Brooks pass complete to Joe Horn for 3 yards (tackle by Jeff Ulbrich). Joe Horn fumbles (forced by Jeff Ulbrich), ball out of bounds at NOR-33",1.400,0.320
3,0:56,2,14,NOR 33,24,13,Aaron Brooks pass incomplete intended for Deuce McAllister,0.320,-0.360
3,0:47,3,14,NOR 33,24,13,Aaron Brooks pass complete to Jerome Pathon for 17 yards (tackle by Tony Parrish),-0.360,2.260
3,0:25,1,10,NOR 50,24,13,Aaron Brooks pass incomplete intended for Deuce McAllister,2.260,1.710
3,0:22,1,10,NOR 50,,,Timeout #1 by New Orleans Saints,2.260,1.710
3,0:22,2,10,NOR 50,24,13,Aaron Brooks pass complete to Jerome Pathon for 4 yards (tackle by Derek Smith and Julian Peterson),1.710,1.550
Quarter,Time,Down,ToGo,Location,SFO,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,SFO 46,24,13,"Aaron Brooks pass complete to Joe Horn for 4 yards (tackle by Mike Rumph). Penalty on Mike Rumph: Defensive Pass Interference, 4 yards (no play)",1.550,2.790
4,14:40,1,10,SFO 42,24,13,Deuce McAllister right end for 3 yards (tackle by Chike Okeafor),2.790,2.650
4,14:06,2,7,SFO 39,24,13,Aaron Brooks sacked by Andre Carter for -5 yards,2.650,1.290
4,13:35,3,12,SFO 44,24,13,Aaron Brooks pass complete to Jerome Pathon for 19 yards (tackle by Quincy Stewart),1.290,3.910
4,12:44,1,10,SFO 25,24,13,"Aaron Brooks pass incomplete intended for Jerome Pathon. Penalty on Jason Webster: Defensive Pass Interference, 15 yards (no play)",3.910,4.910
4,12:39,1,10,SFO 10,24,19,"Aaron Brooks pass complete to Joe Horn for 10 yards, touchdown",4.910,7.000
4,12:39,1,,SFO 10,24,19,"Two Point Attempt: Deuce McAllister middle, conversion fails",1.000,-1.000
4,12:39,,,NOR 30,24,19,"Toby Gowin kicks off 72 yards, returned by Jimmy Williams for 20 yards (tackle by Michael Lewis)",0.000,0.040
4,12:09,1,10,SFO 18,24,19,"Jeff Garcia left guard for no gain. Penalty on Eric Heitmann: Offensive Holding, 9 yards (no play)",0.040,-0.720
4,12:07,1,19,SFO 9,24,19,"Kevan Barlow left guard for 6 yards (tackle by Darren Howard). Kevan Barlow fumbles (forced by Darren Howard), recovered by Sammy Knight at SFO-22 (tackle by Tai Streets)",-0.720,-4.110
4,12:01,1,10,SFO 22,24,19,Deuce McAllister left end for 2 yards (tackle by Julian Peterson),4.110,3.830
4,11:20,2,8,SFO 20,24,25,"Aaron Brooks pass complete to Joe Horn for 20 yards, touchdown",3.830,7.000
4,11:20,2,,SFO 20,24,25,"Two Point Attempt: Aaron Brooks middle, conversion fails. Penalty on Jerome Pathon: Personal Foul, 15 yards",1.000,-1.000
4,11:20,,,NOR 15,24,25,"Toby Gowin kicks off 62 yards, returned by Jimmy Williams for 16 yards (tackle by Steve Gleason)",0.000,1.530
4,11:09,1,10,SFO 39,24,25,Jeff Garcia pass complete to Terrell Owens for 19 yards (tackle by Ken Irvin),1.530,2.790
4,10:43,1,10,NOR 42,24,25,Jeff Garcia pass complete to Tai Streets for 12 yards (tackle by Ken Irvin),2.790,3.580
4,10:13,1,10,NOR 30,24,25,Garrison Hearst right guard for 1 yard (tackle by Kenny Smith and Darren Howard),3.580,3.170
4,9:32,2,9,NOR 29,24,25,Jeff Garcia pass incomplete intended for Terrell Owens,3.170,2.480
4,9:24,3,9,NOR 29,24,25,Jeff Garcia pass complete to Garrison Hearst for 6 yards (tackle by Charles Grant),2.480,2.030
4,8:43,4,3,NOR 23,27,25,Jose Cortez 41 yard field goal good,2.030,3.000
4,8:43,,,SFO 30,27,25,"Jose Cortez kicks off 50 yards, returned by Michael Lewis for 13 yards (tackle by Frank Strong)",0.000,1.140
4,8:35,1,10,NOR 33,27,25,Aaron Brooks pass incomplete intended for Joe Horn,1.140,0.590
4,8:29,2,10,NOR 33,27,25,Deuce McAllister right guard for -2 yards (tackle by Derek Smith),0.590,-0.360
4,7:50,3,12,NOR 31,27,25,Aaron Brooks pass complete to Joe Horn for 17 yards (tackle by Mike Rumph),-0.360,2.130
4,7:05,1,10,NOR 48,27,25,Aaron Brooks pass complete to Deuce McAllister for 16 yards (tackle by Julian Peterson),2.130,3.180
4,6:24,1,10,SFO 36,27,25,Deuce McAllister left end for 19 yards (tackle by Tony Parrish),3.180,4.440
4,5:54,1,10,SFO 17,27,25,Aaron Brooks left end for 12 yards (tackle by Tony Parrish),4.440,6.060
4,5:54,1,5,SFO 5,27,25,"Penalty on NOR: Delay of Game, 5 yards (no play)",6.060,4.910
4,4:50,1,10,SFO 10,27,25,Aaron Brooks pass complete to Deuce McAllister for 6 yards (tackle by Ronnie Heard),4.910,5.340
4,4:09,2,4,SFO 4,27,25,Deuce McAllister left guard for no gain (tackle by Dana Stubblefield and Jeff Ulbrich),5.340,4.490
4,3:27,3,4,SFO 4,27,25,Aaron Brooks pass incomplete intended for Jake Reed (defended by Ahmed Plummer),4.490,3.030
4,3:17,4,4,SFO 4,27,28,John Carney 22 yard field goal good,3.030,3.000
4,3:17,,,NOR 30,27,28,"Toby Gowin kicks off 61 yards, returned by Jimmy Williams for 21 yards (tackle by Michael Lewis)",0.000,0.940
4,3:07,1,10,SFO 30,27,28,Kevan Barlow right guard for no gain (tackle by Grady Jackson and Darren Howard),0.940,0.390
4,2:30,2,10,SFO 30,27,28,Jeff Garcia pass incomplete intended for Tai Streets is intercepted by Ken Irvin at SFO-37,0.390,-3.120
4,2:23,1,10,SFO 37,27,28,Deuce McAllister right tackle for 25 yards (tackle by Jason Webster),3.120,4.780
4,2:10,1,10,SFO 37,,,Timeout #1 by San Francisco 49ers,3.120,4.780
4,2:10,1,10,SFO 12,27,28,Deuce McAllister right guard for 2 yards (tackle by Bryant Young and Derek Smith),4.780,4.450
4,2:05,1,10,SFO 12,,,Timeout #2 by San Francisco 49ers,4.780,4.450
4,2:05,2,8,SFO 10,27,28,Aaron Brooks left end for 9 yards (tackle by Tony Parrish),4.450,6.970
4,1:58,1,1,SFO 1,27,34,"Aaron Brooks middle for 1 yard, touchdown. Penalty on NOR: Offensive 12 On-field (Declined)",6.970,7.000
4,1:58,,,SFO 1,27,35,John Carney kicks extra point good,0.000,0.000
4,1:58,,,NOR 30,27,35,"Toby Gowin kicks off 68 yards, returned by Jamal Robertson for 16 yards (tackle by Fred Thomas). Penalty on Justin Swift: Tripping, 9 yards",0.000,-0.380
4,1:46,1,10,SFO 9,27,35,Jeff Garcia pass incomplete intended for Eric Johnson (defended by Darren Howard),-0.380,-0.780
4,1:45,2,10,SFO 9,27,35,Jeff Garcia pass incomplete intended for Cedrick Wilson (defended by Fred Thomas),-0.780,-1.420
4,1:39,3,10,SFO 9,27,35,Jeff Garcia pass complete to Garrison Hearst for 15 yards (tackle by Darrin Smith),-1.420,0.540
4,1:14,1,10,SFO 24,27,35,Jeff Garcia pass incomplete intended for Tai Streets,0.540,0.000
4,1:10,2,10,SFO 24,27,35,Jeff Garcia pass complete to Eric Johnson for 12 yards (tackle by Sedrick Hodge),0.000,1.330
4,0:43,1,10,SFO 36,27,35,Jeff Garcia pass incomplete intended for Garrison Hearst (defended by Grady Jackson),1.330,0.790
4,0:40,2,10,SFO 36,27,35,Jeff Garcia pass incomplete intended for Terrell Owens,0.790,0.100
4,0:36,3,10,SFO 36,27,35,Jeff Garcia pass complete to Kevan Barlow for 12 yards (tackle by Jerry Wilson),0.100,2.130
4,0:29,1,10,SFO 48,27,35,Jeff Garcia pass incomplete intended for Terrell Owens (defended by Fred Thomas),2.130,1.580
4,0:23,2,10,SFO 48,27,35,Jeff Garcia pass complete to Tai Streets for 13 yards (tackle by Ken Irvin),1.580,2.980
4,0:16,2,10,SFO 48,,,Timeout #3 by San Francisco 49ers,1.580,2.980
4,0:16,1,10,NOR 39,27,35,Jeff Garcia pass incomplete intended for James Jordan (defended by Fakhir Brown),2.980,2.440
4,0:08,2,10,NOR 39,27,35,Jeff Garcia pass complete to Kevan Barlow for 19 yards (tackle by Fred Thomas),2.440,1.730
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
