Unnamed: 0,SFO,NOR
First Downs,26,27
Rush-Yds-TDs,25-143-2,27-179-1
Cmp-Att-Yd-TD-INT,23-39-275-1-1,23-35-254-3-0
Sacked-Yards,0-0,3-11
Net Pass Yards,275,243
Total Yards,418,422
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,5-42,4-35
Third Down Conv.,9-12,10-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:59,30:01
