Unnamed: 0,DEN,SEA
First Downs,22,13
Rush-Yds-TDs,34-202-1,16-51-0
Cmp-Att-Yd-TD-INT,19-29-209-2-1,22-36-180-0-2
Sacked-Yards,1-10,5-27
Net Pass Yards,199,153
Total Yards,401,204
Fumbles-Lost,1-0,2-1
Turnovers,1,3
Penalties-Yards,11-104,6-56
Third Down Conv.,4-14,4-14
Fourth Down Conv.,2-2,0-1
Time of Possession,31:29,28:31
