Quarter,Time,Tm,Detail,TEN,SFO
1.0,8:51,49ers,Robbie Gould 38 yard field goal,0,3
,4:35,49ers,Robbie Gould 48 yard field goal,0,6
2.0,14:06,Titans,Ryan Succop 40 yard field goal,3,6
,5:30,49ers,Garrett Celek 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),3,13
,1:37,49ers,Robbie Gould 28 yard field goal,3,16
,0:29,Titans,Delanie Walker 4 yard pass from Marcus Mariota (Ryan Succop kick),10,16
3.0,8:29,Titans,Ryan Succop 31 yard field goal,13,16
4.0,13:31,Titans,Rishard Matthews 8 yard pass from Marcus Mariota (Ryan Succop kick),20,16
,8:27,49ers,Robbie Gould 50 yard field goal,20,19
,3:08,49ers,Robbie Gould 48 yard field goal,20,22
,1:07,Titans,Ryan Succop 50 yard field goal,23,22
,0:00,49ers,Robbie Gould 45 yard field goal,23,25
