Quarter,Time,Down,ToGo,Location,TEN,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 59 yards, returned by Matt Breida for 10 yards (tackle by Tye Smith)",0.000,0.140
1,14:56,1,10,SFO 16,0,0,Carlos Hyde right tackle for 2 yards (tackle by Johnathan Cyprien),-0.140,-0.350
1,14:20,2,8,SFO 18,0,0,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 9 yards (tackle by Adoree' Jackson),-0.350,0.000
1,13:40,,,,,,Timeout #1 by San Francisco 49ers,0.000,-0.740
1,13:40,1,10,SFO 27,0,0,Marquise Goodwin for 10 yards (tackle by Avery Williamson),0.740,1.400
1,13:08,1,10,SFO 37,0,0,Carlos Hyde middle for 8 yards (tackle by Avery Williamson),1.400,1.940
1,12:44,2,2,SFO 45,0,0,Jimmy Garoppolo pass complete short left to Carlos Hyde for 8 yards (tackle by Adoree' Jackson),1.940,2.460
1,12:23,1,10,TEN 47,0,0,Jimmy Garoppolo pass complete short left to Aldrick Robinson for 3 yards (tackle by Adoree' Jackson),2.460,2.320
1,11:48,2,7,TEN 44,0,0,Matt Breida left guard for 3 yards (tackle by Logan Ryan and Wesley Woodyard),2.320,2.010
1,11:04,3,4,TEN 41,0,0,Jimmy Garoppolo pass complete short left to Trent Taylor for 12 yards (tackle by LeShaun Sims),2.010,3.640
1,10:26,1,10,TEN 29,0,0,Jimmy Garoppolo sacked by Avery Williamson for -8 yards,3.640,2.020
1,9:46,2,18,TEN 37,0,0,Jimmy Garoppolo pass incomplete deep left intended for Marquise Goodwin,2.020,1.360
1,9:41,3,18,TEN 37,0,0,Jimmy Garoppolo pass complete short middle to Garrett Celek for 17 yards (tackle by Jayon Brown),1.360,2.270
1,8:55,4,1,TEN 20,0,3,Robbie Gould 38 yard field goal good,2.270,3.000
1,8:51,,,SFO 35,0,3,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,8:51,1,10,TEN 25,0,3,Marcus Mariota sacked by Tank Carradine and DeForest Buckner for -3 yards,0.610,-0.340
1,8:04,2,13,TEN 22,0,3,DeMarco Murray middle for 1 yard (tackle by Solomon Thomas),-0.340,-0.890
1,7:23,3,12,TEN 23,0,3,Marcus Mariota pass complete short left to DeMarco Murray for 4 yards (tackle by K'Waun Williams),-0.890,-1.570
1,6:48,4,8,TEN 27,0,3,"Brett Kern punts 52 yards, returned by Trent Taylor for 12 yards (tackle by Tye Smith)",-1.570,-1.140
1,6:38,1,10,SFO 33,0,3,Carlos Hyde left guard for 5 yards (tackle by Avery Williamson),1.140,1.270
1,6:16,2,5,SFO 38,0,3,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 16 yards (tackle by Adoree' Jackson),1.270,2.520
1,5:54,1,10,TEN 46,0,3,Jimmy Garoppolo pass complete short middle to Marquise Goodwin for 11 yards (tackle by Kevin Byard),2.520,3.250
1,5:29,1,10,TEN 35,0,3,Jimmy Garoppolo pass incomplete short right intended for Aldrick Robinson (defended by Adoree' Jackson),3.250,2.700
1,5:24,2,10,TEN 35,0,3,Matt Breida left guard for 6 yards (tackle by Wesley Woodyard and Brian Orakpo),2.700,2.810
1,4:43,3,4,TEN 29,0,3,Jimmy Garoppolo pass incomplete short middle intended for Kyle Juszczyk (defended by Jurrell Casey),2.810,1.560
1,4:40,4,4,TEN 29,0,6,Robbie Gould 48 yard field goal good,1.560,3.000
1,4:35,,,SFO 35,0,6,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,4:35,1,10,TEN 25,0,6,DeMarco Murray middle for 9 yards (tackle by Eric Reid),0.610,1.280
1,3:57,2,1,TEN 34,0,6,DeMarco Murray left guard for 3 yards (tackle by Eric Reid),1.280,1.400
1,3:19,1,10,TEN 37,0,6,DeMarco Murray middle for 4 yards (tackle by Reuben Foster),1.400,1.400
1,2:43,2,6,TEN 41,0,6,Marcus Mariota pass complete short left to Jonnu Smith for 5 yards (tackle by Dontae Johnson),1.400,1.360
1,2:02,3,1,TEN 46,0,6,Derrick Henry left guard for 3 yards (tackle by Dontae Johnson and DeForest Buckner),1.360,2.190
1,1:22,1,10,TEN 49,0,6,Marcus Mariota pass incomplete short right intended for Luke Stocker (defended by Ahkello Witherspoon),2.190,1.650
1,1:18,2,10,TEN 49,0,6,Taywan Taylor right end for 8 yards (tackle by Eric Reid),1.650,2.010
1,0:33,3,2,SFO 43,0,6,Marcus Mariota pass complete short left to Rishard Matthews for 21 yards (tackle by Dontae Johnson and K'Waun Williams),2.010,4.110
Quarter,Time,Down,ToGo,Location,TEN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 22,0,6,Marcus Mariota pass incomplete deep left intended for Delanie Walker,4.110,3.560
2,14:55,2,10,SFO 22,0,6,DeMarco Murray middle for no gain (tackle by Reuben Foster),3.560,2.870
2,14:15,3,10,SFO 22,0,6,Marcus Mariota pass incomplete short right intended for Delanie Walker,2.870,1.990
2,14:10,4,10,SFO 22,3,6,Ryan Succop 40 yard field goal good,1.990,3.000
2,14:06,,,TEN 35,3,6,"Ryan Succop kicks off 68 yards, returned by Matt Breida for 30 yards (tackle by Taywan Taylor). Penalty on Elijah Lee: Offensive Holding, 10 yards",0.000,0.220
2,14:00,1,10,SFO 15,3,6,Jimmy Garoppolo pass complete deep right to Marquise Goodwin for 18 yards (tackle by Logan Ryan),-0.220,1.140
2,13:22,1,10,SFO 33,3,6,Carlos Hyde middle for -3 yards (tackle by Kevin Dodd and Jurrell Casey),1.140,0.190
2,12:42,2,13,SFO 30,3,6,Jimmy Garoppolo pass incomplete short left intended for Kyle Juszczyk,0.190,-0.490
2,12:38,3,13,SFO 30,3,6,"Jimmy Garoppolo pass incomplete short left intended for Marquise Goodwin. Penalty on Brice McCain: Defensive Holding, 5 yards (no play)",-0.490,1.270
2,12:33,1,10,SFO 35,3,6,Jimmy Garoppolo pass complete short middle to Kendrick Bourne for 11 yards (tackle by LeShaun Sims). Penalty on Sylvester Williams: Illegal Use of Hands (Declined),1.270,1.990
2,12:16,1,10,SFO 46,3,6,Matt Breida middle for 1 yard (tackle by Da'Norris Searcy),1.990,1.590
2,11:39,2,9,SFO 47,3,6,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 10 yards (tackle by Erik Walden),1.590,2.720
2,11:19,1,10,TEN 43,3,6,Carlos Hyde right end for -2 yards (tackle by Sylvester Williams),2.720,1.910
2,10:39,2,12,TEN 45,3,6,Jimmy Garoppolo pass complete short right to Kendrick Bourne for 14 yards (tackle by Kevin Byard),1.910,3.510
2,10:13,1,10,TEN 31,3,6,Jimmy Garoppolo pass complete short right to Kendrick Bourne for 6 yards (tackle by Logan Ryan),3.510,3.780
2,9:36,2,4,TEN 25,3,6,Carlos Hyde right tackle for no gain (tackle by Austin Johnson and Kevin Dodd),3.780,3.070
2,8:57,3,4,TEN 25,3,6,Jimmy Garoppolo pass complete short right to George Kittle for 7 yards (tackle by Wesley Woodyard),3.070,4.370
2,8:25,1,10,TEN 18,3,6,Jimmy Garoppolo pass incomplete deep left intended for George Kittle,4.370,3.800
2,8:21,2,10,TEN 18,3,6,Jimmy Garoppolo pass complete short left to Trent Taylor for 4 yards (tackle by Adoree' Jackson),3.800,0.000
2,7:39,,,,,,Timeout #2 by San Francisco 49ers,0.000,-3.630
2,7:39,3,6,TEN 14,3,6,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 7 yards (tackle by Wesley Woodyard),3.630,5.600
2,6:58,1,7,TEN 7,3,6,Carlos Hyde left tackle for 6 yards (tackle by Erik Walden and Jurrell Casey),5.600,5.910
2,6:16,2,1,TEN 1,3,6,Carlos Hyde left tackle for -4 yards (tackle by Avery Williamson),5.910,4.260
2,5:38,3,5,TEN 5,3,12,"Jimmy Garoppolo pass complete short right to Garrett Celek for 5 yards, touchdown",4.260,7.000
2,5:30,,,TEN 15,3,13,Robbie Gould kicks extra point good,0.000,0.000
2,5:30,,,SFO 35,3,13,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
2,5:30,1,10,TEN 25,3,13,DeMarco Murray middle for 9 yards (tackle by Eric Reid),0.610,1.280
2,5:04,2,1,TEN 34,3,13,DeMarco Murray middle for 3 yards (tackle by Reuben Foster),1.280,1.400
2,4:38,1,10,TEN 37,3,13,"Marcus Mariota pass complete short middle to Delanie Walker for 5 yards (tackle by Brock Coyle). Delanie Walker fumbles (forced by Brock Coyle), recovered by Adrian Colbert at TEN-46",1.400,-2.520
2,4:27,1,10,TEN 46,3,13,Matt Breida left end for 3 yards (tackle by Sylvester Williams),2.520,2.380
2,3:49,2,7,TEN 43,3,13,Matt Breida left tackle for 3 yards (tackle by Kevin Byard),2.380,2.080
2,3:08,3,4,TEN 40,3,13,Jimmy Garoppolo pass complete short left to Trent Taylor for 17 yards (tackle by LeShaun Sims),2.080,4.040
2,2:35,1,10,TEN 23,3,13,Carlos Hyde left guard for -1 yards (tackle by Jurrell Casey),4.040,0.000
2,2:28,,,,,,Timeout #2 by Tennessee Titans,0.000,-3.360
2,2:28,2,11,TEN 24,3,13,Jimmy Garoppolo pass incomplete short right intended for Logan Paulsen,3.360,2.680
2,2:25,3,11,TEN 24,3,13,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 14 yards (tackle by Brice McCain),2.680,4.910
2,2:00,1,10,TEN 10,3,13,Carlos Hyde right end for no gain (tackle by Jayon Brown),4.910,0.000
2,1:51,,,,,,Timeout #3 by Tennessee Titans,0.000,-4.190
2,1:51,2,10,TEN 10,3,13,Jimmy Garoppolo pass incomplete short middle intended for Kendrick Bourne,4.190,3.130
2,1:46,3,10,TEN 10,3,13,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne,3.130,2.760
2,1:41,4,10,TEN 10,3,16,Robbie Gould 28 yard field goal good,2.760,3.000
2,1:37,,,SFO 35,3,16,"Bradley Pinion kicks off 65 yards, returned by Adoree' Jackson for 21 yards (tackle by Elijah Lee)",0.000,-0.340
2,1:32,1,10,TEN 21,3,16,Marcus Mariota pass complete short right to Corey Davis for 10 yards (tackle by Adrian Colbert),0.340,1.000
2,1:11,1,10,TEN 31,3,16,Marcus Mariota pass complete short middle to Eric Decker for 13 yards (tackle by Adrian Colbert),1.000,1.860
2,0:53,1,10,TEN 44,3,16,"Marcus Mariota pass complete short right to Rishard Matthews for 27 yards. Penalty on Elvis Dumervil: Roughing the Passer, 15 yards",1.860,3.640
2,0:49,1,10,SFO 29,3,16,Marcus Mariota pass complete deep right to Rishard Matthews for 25 yards (tackle by Adrian Colbert),3.640,6.280
2,0:43,1,4,SFO 4,3,16,Marcus Mariota pass incomplete short left intended for Delanie Walker,6.280,5.340
2,0:37,2,4,SFO 4,9,16,"Marcus Mariota pass complete short right to Delanie Walker for 4 yards, touchdown",5.340,7.000
2,0:29,,,SFO 15,10,16,Ryan Succop kicks extra point good,0.000,0.000
2,0:29,,,TEN 35,10,16,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,0:29,1,10,SFO 25,10,16,Carlos Hyde right tackle for 1 yard (tackle by Jurrell Casey),0.610,0.200
Quarter,Time,Down,ToGo,Location,TEN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,10,16,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TEN 25,10,16,DeMarco Murray left tackle for 7 yards (tackle by DeForest Buckner and Brock Coyle),0.610,1.010
3,14:29,2,3,TEN 32,10,16,DeMarco Murray left guard for 5 yards (tackle by DeForest Buckner),1.010,1.400
3,14:02,1,10,TEN 37,10,16,Marcus Mariota pass incomplete deep right intended for Corey Davis,1.400,0.860
3,13:58,2,10,TEN 37,10,16,Marcus Mariota pass incomplete short left intended for Rishard Matthews,0.860,0.170
3,13:51,3,10,TEN 37,10,16,Marcus Mariota pass complete short left to Eric Decker for 12 yards,0.170,2.190
3,13:21,1,10,TEN 49,10,16,DeMarco Murray right guard for 11 yards (tackle by Adrian Colbert),2.190,2.920
3,12:45,1,10,SFO 40,10,16,Marcus Mariota middle for 2 yards,2.920,2.640
3,12:13,2,8,SFO 38,10,16,DeMarco Murray middle for -3 yards (tackle by Sheldon Day),2.640,1.550
3,11:32,3,11,SFO 41,10,16,"Marcus Mariota sacked by DeForest Buckner for -5 yards. Penalty on Dontae Johnson: Illegal Use of Hands, 5 yards (no play)",1.550,3.180
3,11:10,1,10,SFO 36,10,16,DeMarco Murray left guard for 1 yard (tackle by Eric Reid),3.180,2.770
3,10:30,2,9,SFO 35,10,16,Marcus Mariota pass complete deep right to Eric Decker for 17 yards,2.770,4.370
3,9:59,1,10,SFO 18,10,16,DeMarco Murray middle for no gain (tackle by Reuben Foster),4.370,3.800
3,9:14,2,10,SFO 18,10,16,Marcus Mariota pass complete short left to Corey Davis for 5 yards (tackle by Dontae Johnson),3.800,0.000
3,8:43,,,,,,Timeout #1 by Tennessee Titans,0.000,-3.820
3,8:43,3,5,SFO 13,10,16,Marcus Mariota pass incomplete short right intended for Rishard Matthews,3.820,2.620
3,8:34,4,5,SFO 13,13,16,"Ryan Succop 31 yard field goal good. Penalty on Eric Reid: Unsportsmanlike Conduct, 15 yards",2.620,3.000
3,8:29,,,,13,16,"Ryan Succop kicks off 45 yards, returned by Matt Breida for 10 yards (tackle by Da'Norris Searcy)",0.000,0.220
3,8:24,1,10,SFO 15,13,16,Jimmy Garoppolo pass complete short right to Marquise Goodwin for 6 yards (tackle by Adoree' Jackson),-0.220,0.210
3,7:45,2,4,SFO 21,13,16,Carlos Hyde right guard for 7 yards (tackle by Johnathan Cyprien),0.210,0.810
