Unnamed: 0,MIA,PIT
First Downs,18,19
Rush-Yds-TDs,21-52-0,35-179-2
Cmp-Att-Yd-TD-INT,29-36-289-1-1,13-18-197-2-2
Sacked-Yards,5-36,1-9
Net Pass Yards,253,188
Total Yards,305,367
Fumbles-Lost,3-2,0-0
Turnovers,3,2
Penalties-Yards,6-64,6-60
Third Down Conv.,6-14,4-9
Fourth Down Conv.,2-4,0-0
Time of Possession,32:02,27:58
