Quarter,Time,Down,ToGo,Location,MIA,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Andrew Franks kicks off 65 yards, returned by Fitzgerald Toussaint for 15 yards (tackle by Jordan Lucas)",0.000,0.220
1,14:55,1,10,PIT 15,0,0,Le'Veon Bell right guard for 11 yards (tackle by Michael Thomas and Bobby McCain),-0.220,0.670
1,14:24,1,10,PIT 26,0,0,Ben Roethlisberger pass complete short middle to Antonio Brown for 7 yards (tackle by Kiko Alonso and Michael Thomas),0.670,1.070
1,13:47,2,3,PIT 33,0,0,Le'Veon Bell middle for -2 yards (tackle by Jordan Phillips and Cameron Wake),1.070,0.100
1,13:06,3,5,PIT 31,0,0,Ben Roethlisberger pass complete short right to Eli Rogers for 19 yards (tackle by Earl Mitchell),0.100,2.260
1,12:25,1,10,,0,6,"Ben Roethlisberger pass complete short left to Antonio Brown for 50 yards, touchdown",2.260,7.000
1,12:15,,,MIA 15,0,7,Chris Boswell kicks extra point good,0.000,0.000
1,12:15,,,PIT 35,0,7,"Chris Boswell kicks off 52 yards, returned by Kenyan Drake for 10 yards (tackle by Jarvis Jones)",0.000,-0.480
1,12:08,1,10,MIA 23,0,7,Matt Moore pass complete short middle to Jarvis Landry for 11 yards (tackle by Ross Cockrell),0.480,1.200
1,11:35,1,10,MIA 34,0,7,Jay Ajayi left tackle for no gain (tackle by James Harrison),1.200,0.660
1,10:53,2,10,MIA 34,0,7,Matt Moore pass complete short left to DeVante Parker for 5 yards (tackle by Artie Burns),0.660,0.630
1,10:13,3,5,MIA 39,0,7,Matt Moore pass incomplete short right intended for Jarvis Landry (defended by William Gay),0.630,-0.780
1,10:09,4,5,MIA 39,0,7,"Matt Darr punts 61 yards, touchback. Penalty on Artie Burns: Offensive Holding, 10 yards",-0.780,0.380
1,10:00,1,10,PIT 10,0,7,Ben Roethlisberger pass complete short right to Darrius Heyward-Bey for 10 yards (tackle by Bacarri Rambo),-0.380,0.280
1,9:24,1,10,PIT 20,0,7,Le'Veon Bell middle for 7 yards (tackle by Donald Butler and Kiko Alonso),0.280,0.680
1,9:00,2,3,PIT 27,0,7,"Penalty on David DeCastro: False Start, 5 yards (no play)",0.680,0.000
1,8:46,2,8,PIT 22,0,7,Le'Veon Bell right tackle for 2 yards (tackle by Cameron Wake),0.000,-0.430
1,8:10,3,6,PIT 24,0,7,Ben Roethlisberger pass complete short left to Demarcus Ayers for 11 yards (tackle by Tony Lippett and Michael Thomas),-0.430,1.270
1,7:29,1,10,PIT 35,0,7,Ben Roethlisberger pass complete short left to Le'Veon Bell for 3 yards (tackle by Tony Lippett),1.270,1.130
1,7:02,2,7,PIT 38,0,13,"Ben Roethlisberger pass complete short middle to Antonio Brown for 62 yards, touchdown",1.130,7.000
1,6:50,,,MIA 15,0,14,Chris Boswell kicks extra point good,0.000,0.000
1,6:50,,,PIT 35,0,14,"Chris Boswell kicks off 57 yards, returned by Kenyan Drake for 33 yards (tackle by Vince Williams)",0.000,-1.660
1,6:42,1,10,MIA 41,0,14,Jay Ajayi left end for -3 yards (tackle by James Harrison),1.660,0.720
1,6:03,2,13,MIA 38,0,14,Jay Ajayi left guard for no gain (tackle by Bud Dupree and Ryan Shazier),0.720,0.040
1,5:20,3,13,MIA 38,0,14,Matt Moore pass complete deep right to Kenny Stills for 36 yards (tackle by William Gay),0.040,3.840
1,4:34,1,10,PIT 26,0,14,Matt Moore pass complete short left to Jarvis Landry for 2 yards (tackle by James Harrison),3.840,3.570
1,3:58,2,8,PIT 24,0,14,Jay Ajayi right tackle for 4 yards (tackle by Ross Cockrell),3.570,3.400
1,3:15,3,4,PIT 20,0,14,Matt Moore pass incomplete short middle intended for DeVante Parker,3.400,2.200
1,3:11,4,4,PIT 20,3,14,Andrew Franks 38 yard field goal good,2.200,3.000
1,3:06,,,MIA 35,3,14,"Andrew Franks kicks off 60 yards, returned by Fitzgerald Toussaint for 12 yards (tackle by Spencer Paysinger)",0.000,0.060
1,3:01,1,10,PIT 17,3,14,Le'Veon Bell left guard for 8 yards (tackle by Cameron Wake and Kiko Alonso),-0.060,0.620
1,2:22,2,2,PIT 25,3,14,Le'Veon Bell middle for 5 yards (tackle by Neville Hewitt and Xavien Howard),0.620,0.940
1,1:43,1,10,PIT 30,3,14,Le'Veon Bell middle for 5 yards (tackle by Cameron Wake and Xavien Howard),0.940,1.070
1,1:00,2,5,PIT 35,3,14,"Penalty on Earl Mitchell: Encroachment, 5 yards (no play)",1.070,1.600
1,0:51,1,10,PIT 40,3,14,Le'Veon Bell middle for 15 yards (tackle by Bacarri Rambo),1.600,2.590
1,0:07,1,10,MIA 45,3,14,Le'Veon Bell right guard for 6 yards (tackle by Xavien Howard and Neville Hewitt),2.590,2.850
Quarter,Time,Down,ToGo,Location,MIA,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,MIA 39,3,14,Le'Veon Bell middle for 5 yards (tackle by Ndamukong Suh and Neville Hewitt),2.850,3.310
2,14:16,1,10,MIA 34,3,14,Le'Veon Bell middle for 8 yards (tackle by Neville Hewitt),3.310,3.850
2,13:36,2,2,MIA 26,3,14,Le'Veon Bell left tackle for 25 yards (tackle by Bacarri Rambo and Tony Lippett),3.850,6.970
2,13:15,1,1,MIA 1,3,14,Le'Veon Bell middle for no gain (tackle by Donald Butler and Terrence Fede),6.970,5.910
2,12:42,2,1,MIA 1,3,20,"Le'Veon Bell middle for 1 yard, touchdown",5.910,7.000
,,,,,,,"PIT challenged the runner was down by contact ruling, and the original play was overturned.",,
2,12:39,,,MIA 15,3,20,Chris Boswell kicks extra point no good,0.000,-1.000
2,12:39,,,PIT 35,3,20,"Chris Boswell kicks off 51 yards, returned by Jakeem Grant for 17 yards (tackle by Al-Hajj Shabazz). Jakeem Grant fumbles, recovered by Jakeem Grant at MIA-32",0.000,-1.070
2,12:32,1,10,MIA 32,3,20,Jay Ajayi right tackle for 2 yards (tackle by Lawrence Timmons and James Harrison),1.070,0.800
2,11:52,2,8,MIA 34,3,20,Jay Ajayi middle for 3 yards (tackle by Ryan Shazier and Lawrence Timmons),0.800,0.500
2,11:07,3,5,MIA 37,3,20,Matt Moore pass complete short left to Jay Ajayi for 4 yards (tackle by James Harrison),0.500,-0.650
2,10:24,4,1,MIA 41,3,20,Michael Thomas middle for 3 yards (tackle by Ryan Shazier),-0.650,1.860
2,10:01,1,10,MIA 44,3,20,Jay Ajayi left guard for 7 yards (tackle by Artie Burns and Lawrence Timmons),1.860,2.260
2,9:18,2,3,PIT 49,3,20,Jay Ajayi middle for -1 yards (tackle by Sean Davis and Bud Dupree),2.260,1.420
2,8:36,3,4,,3,20,Matt Moore pass complete short middle to Dion Sims for 17 yards (tackle by Mike Mitchell),1.420,3.380
2,7:56,1,10,PIT 33,3,20,Damien Williams right guard for 1 yard (tackle by James Harrison),3.380,2.970
2,7:16,2,9,PIT 32,3,20,"Matt Moore pass incomplete short right intended for Jarvis Landry. Penalty on Bud Dupree: Roughing the Passer, 15 yards, Penalty on Jay Ajayi: Unsportsmanlike Conduct, 15 yards (no play)",2.970,3.450
2,7:05,1,25,PIT 32,3,20,Jay Ajayi right tackle for 8 yards (tackle by Ross Cockrell and Mike Mitchell),3.450,2.950
2,6:20,2,17,PIT 24,3,20,"Matt Moore pass complete short left to DeVante Parker for 7 yards (tackle by William Gay). Penalty on Ja'Wuan James: Offensive Holding, 10 yards (no play)",2.950,1.600
2,5:49,2,27,PIT 34,3,20,Matt Moore pass complete short right to Jay Ajayi for 5 yards (tackle by Ross Cockrell),1.600,1.620
2,5:02,3,22,PIT 29,3,20,Matt Moore pass incomplete deep middle intended for Jarvis Landry,1.620,1.500
2,4:57,4,22,PIT 29,6,20,Andrew Franks 47 yard field goal good,1.500,3.000
2,4:52,,,MIA 35,6,20,"Andrew Franks kicks off 69 yards, returned by Sammie Coates for 22 yards (tackle by Walt Aikens)",0.000,-0.040
2,4:44,1,10,PIT 18,6,20,Ben Roethlisberger pass complete short right to Antonio Brown for 6 yards,0.040,0.410
2,4:12,2,4,PIT 24,6,20,Le'Veon Bell right guard for 1 yard (tackle by Andre Branch),0.410,-0.270
2,3:34,3,3,PIT 25,6,20,Ben Roethlisberger pass complete short right to Le'Veon Bell for 4 yards (tackle by Jelani Jenkins),-0.270,0.870
2,2:53,1,10,PIT 29,6,20,Le'Veon Bell right guard for no gain (tackle by Cameron Wake),0.870,0.330
2,2:08,2,10,PIT 29,6,20,"Ben Roethlisberger pass incomplete deep left intended for Antonio Brown (defended by Bacarri Rambo). Penalty on Ndamukong Suh: Defensive Offside, 5 yards (no play)",0.330,1.000
2,2:03,2,5,PIT 34,6,20,Ben Roethlisberger pass complete short left to Cobi Hamilton for 10 yards (tackle by Bobby McCain and Tony Lippett),1.000,1.860
2,1:57,1,10,PIT 44,6,20,Le'Veon Bell middle for 2 yards (tackle by Ndamukong Suh),1.860,1.590
2,1:29,2,8,PIT 46,6,20,"Ben Roethlisberger pass incomplete deep right intended for Darrius Heyward-Bey. Penalty on Xavien Howard: Defensive Pass Interference, 24 yards (no play)",1.590,3.580
2,1:23,1,10,MIA 30,6,20,Ben Roethlisberger pass complete short middle to Jesse James for 6 yards (tackle by Earl Mitchell),3.580,3.840
2,1:13,2,4,MIA 24,6,20,"Le'Veon Bell left guard for no gain (tackle by Ndamukong Suh). Penalty on Ramon Foster: Offensive Holding, 10 yards (no play)",3.840,0.000
2,1:13,,,,6,20,Timeout #1 by Pittsburgh Steelers,0.000,-2.490
2,1:08,2,14,MIA 34,6,20,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown is intercepted by Michael Thomas at MIA-11 and returned for 16 yards,2.490,-0.740
2,0:56,1,10,MIA 27,6,20,"Matt Moore pass incomplete short right intended for Kenny Stills. Penalty on James Harrison: Defensive Offside, 5 yards, Penalty on Artie Burns: Defensive Holding (Declined) (no play)",0.740,1.470
2,0:52,1,5,MIA 32,6,20,Matt Moore pass complete short right to Jarvis Landry for 8 yards (tackle by Mike Mitchell),1.470,0.000
2,0:45,,,,6,20,Timeout #1 by Miami Dolphins,0.000,-1.600
2,0:45,1,10,MIA 40,6,20,Matt Moore pass complete short middle to Jarvis Landry for 15 yards,1.600,2.590
2,0:36,1,10,PIT 45,6,20,Matt Moore pass complete deep right to DeVante Parker for 37 yards (tackle by Ross Cockrell),2.590,0.000
2,0:27,,,,6,20,Timeout #1 by Pittsburgh Steelers,0.000,-5.370
2,0:27,1,8,PIT 8,6,20,"Matt Moore sacked by James Harrison for -9 yards. Matt Moore fumbles (forced by James Harrison), recovered by Stephon Tuitt at PIT-13 (tackle by Ja'Wuan James)",5.370,0.320
2,0:21,1,10,PIT 13,6,20,Ben Roethlisberger kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,MIA,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,6,20,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,MIA 25,6,20,Matt Moore pass complete short right to Dion Sims for 7 yards (tackle by Lawrence Timmons and Bud Dupree),0.610,1.010
3,14:20,2,3,MIA 32,6,20,Jay Ajayi right guard for -1 yards (tackle by Leterrius Walton and Jordan Dangerfield),1.010,0.000
3,13:32,,,,6,20,Timeout #1 by Miami Dolphins,0.000,-0.170
3,13:32,3,4,MIA 31,6,20,Matt Moore pass complete short right to Jarvis Landry for 17 yards (tackle by Sean Davis and Lawrence Timmons),0.170,2.130
3,12:57,1,10,MIA 48,6,20,Jay Ajayi right tackle for 3 yards (tackle by Leterrius Walton and Lawrence Timmons),2.130,1.990
3,12:17,2,7,PIT 49,6,20,Jay Ajayi middle for 1 yard (tackle by Javon Hargrave and Mike Mitchell),1.990,1.420
3,11:31,3,6,PIT 48,6,20,Matt Moore pass complete short middle to Jarvis Landry for 11 yards (tackle by Bud Dupree),1.420,3.120
3,10:57,1,10,PIT 37,6,20,"Matt Moore sacked by Mike Mitchell for -5 yards. Matt Moore fumbles (forced by Mike Mitchell), recovered by Leterrius Walton at PIT-41 (tackle by Jay Ajayi)",3.120,-1.660
3,10:48,1,10,PIT 41,6,20,Ben Roethlisberger left guard for 4 yards,1.660,1.660
3,10:13,2,6,PIT 45,6,20,Le'Veon Bell middle for 15 yards (tackle by Bacarri Rambo and Michael Thomas),1.660,2.920
3,9:37,1,10,MIA 40,6,20,Le'Veon Bell middle for 8 yards (tackle by Michael Thomas),2.920,3.450
3,8:58,2,2,MIA 32,6,20,Le'Veon Bell left tackle for 26 yards (tackle by Michael Thomas),3.450,5.830
3,8:17,1,6,MIA 6,6,20,Ben Roethlisberger pass complete short right to Antonio Brown for -1 yards (tackle by Xavien Howard),5.830,4.760
3,7:56,2,7,MIA 7,6,20,Le'Veon Bell right guard for no gain (tackle by Xavien Howard and Kiko Alonso),4.760,3.810
3,7:22,3,7,MIA 7,6,20,Ben Roethlisberger sacked by Ndamukong Suh for -9 yards,3.810,2.380
3,6:37,4,16,MIA 16,6,23,Chris Boswell 34 yard field goal good,2.380,3.000
3,6:32,,,PIT 35,6,23,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.610
3,6:32,1,10,MIA 25,6,23,Matt Moore pass incomplete short left intended for Jarvis Landry is intercepted by Ryan Shazier at MIA-35 and returned for 10 yards,0.610,-3.910
3,6:23,1,10,MIA 25,6,23,Le'Veon Bell left tackle for 2 yards (tackle by Bacarri Rambo),3.910,3.630
3,5:40,2,8,MIA 23,6,23,Le'Veon Bell left tackle for 2 yards (tackle by Ndamukong Suh and Cameron Wake),3.630,0.000
3,4:55,,,,6,23,Timeout #1 by Pittsburgh Steelers,0.000,-3.200
3,4:55,3,6,MIA 21,6,23,"Ben Roethlisberger pass complete short left to Demarcus Ayers for 10 yards. Penalty on Eli Rogers: Illegal Blindside Block, 15 yards",3.200,2.540
3,4:28,3,11,MIA 26,6,23,Ben Roethlisberger middle for 8 yards (tackle by Jelani Jenkins),2.540,0.000
3,3:38,,,,6,23,Timeout #2 by Pittsburgh Steelers,0.000,-2.350
3,3:38,4,3,MIA 18,6,23,"Penalty on Tony Lippett: Neutral Zone Infraction, 5 yards (no play)",2.350,4.710
3,3:38,1,10,MIA 13,6,23,Le'Veon Bell right guard for 2 yards (tackle by Kiko Alonso),4.710,4.390
3,2:57,2,8,MIA 11,6,23,Le'Veon Bell middle for 3 yards (tackle by Earl Mitchell and Kiko Alonso),4.390,4.100
3,2:10,3,5,MIA 8,6,29,"Le'Veon Bell left guard for 8 yards, touchdown",4.100,7.000
3,2:05,,,MIA 15,6,30,Chris Boswell kicks extra point good,0.000,0.000
3,2:05,,,PIT 35,6,30,"Chris Boswell kicks off 71 yards, returned by Kenyan Drake for 58 yards (tackle by Al-Hajj Shabazz)",0.000,-2.390
3,1:53,1,10,PIT 48,6,30,Jay Ajayi right tackle for 4 yards (tackle by Ross Cockrell and Lawrence Timmons),2.390,2.390
3,1:30,2,6,PIT 44,6,30,Matt Moore pass complete short left to Dion Sims for 2 yards (tackle by Lawrence Timmons),2.390,1.950
3,0:50,3,4,PIT 42,6,30,Jay Ajayi middle for no gain (tackle by Stephon Tuitt and Mike Mitchell),1.950,0.460
3,0:11,4,4,PIT 42,6,30,Matt Moore middle for 2 yards (tackle by Stephon Tuitt),0.460,-1.600
3,0:02,1,10,PIT 40,6,30,Le'Veon Bell left tackle for 4 yards (tackle by Neville Hewitt and Nicholas Williams),1.600,1.590
Quarter,Time,Down,ToGo,Location,MIA,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,PIT 44,6,30,Le'Veon Bell middle for -4 yards (tackle by Jordan Phillips),1.590,0.370
4,14:25,3,10,PIT 40,6,30,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Xavien Howard),0.370,-0.720
4,14:21,4,10,PIT 40,6,30,"Jordan Berry punts 37 yards, out of bounds",-0.720,-0.480
4,14:13,1,10,MIA 23,6,30,Matt Moore pass complete short left to Kenny Stills for no gain,0.480,-0.070
4,13:44,2,10,MIA 23,6,30,Matt Moore pass complete short left to Kenny Stills for 12 yards,-0.070,1.270
4,13:27,1,10,MIA 35,6,30,Jay Ajayi left guard for 1 yard (tackle by Stephon Tuitt and James Harrison),1.270,0.860
4,12:58,2,9,MIA 36,6,30,Matt Moore sacked by Bud Dupree and James Harrison for -6 yards,0.860,-0.630
4,12:15,3,15,MIA 30,6,30,Matt Moore pass complete short left to Jay Ajayi for 3 yards (tackle by Ryan Shazier),-0.630,-1.180
4,11:38,4,12,MIA 33,6,30,"Matt Darr punts 41 yards, returned by Antonio Brown for 9 yards (tackle by Mike Hull)",-1.180,-1.270
4,11:24,1,10,PIT 35,6,30,Le'Veon Bell left tackle for 2 yards (tackle by Terrence Fede),1.270,0.990
4,10:40,2,8,PIT 37,6,30,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,0.990,0.300
4,10:35,3,8,PIT 37,6,30,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,0.300,-0.910
4,10:29,4,8,PIT 37,6,30,"Jordan Berry punts 42 yards, returned by Jarvis Landry for 9 yards (tackle by Vince Williams)",-0.910,-0.940
4,10:17,1,10,MIA 30,6,30,Matt Moore pass complete short left to Dion Sims for 6 yards (tackle by Artie Burns),0.940,1.200
4,9:50,2,4,MIA 36,6,30,Matt Moore pass complete short middle to Jarvis Landry for 5 yards (tackle by Ryan Shazier),1.200,1.660
4,9:11,1,10,MIA 41,6,30,Matt Moore pass complete deep middle to Kenny Stills for 26 yards (tackle by Lawrence Timmons and Sean Davis),1.660,3.380
4,8:45,1,10,PIT 33,6,30,Jay Ajayi right guard for 5 yards (tackle by Bud Dupree),3.380,3.510
4,8:23,2,5,PIT 28,6,30,Matt Moore pass complete short middle to Jarvis Landry for 11 yards (tackle by Sean Davis and Mike Mitchell),3.510,4.440
4,7:43,1,10,PIT 17,6,30,Matt Moore pass complete short right to Jarvis Landry for 13 yards (tackle by Ross Cockrell and Mike Mitchell),4.440,6.280
4,7:16,1,4,PIT 4,6,30,Damien Williams right tackle for -2 yards (tackle by Ryan Shazier and James Harrison),6.280,4.950
4,6:41,2,6,PIT 6,6,30,Matt Moore pass complete short left to Dion Sims for 2 yards (tackle by Lawrence Timmons),4.950,4.490
4,6:02,3,4,PIT 4,12,30,"Matt Moore pass complete short right to Damien Williams for 4 yards, touchdown",4.490,7.000
4,5:57,,,PIT 2,12,30,"Two Point Attempt: Matt Moore pass incomplete intended for DeVante Parker, conversion fails",0.000,-1.000
4,5:57,,,MIA 35,12,30,"Andrew Franks kicks onside 13 yards, recovered by Antonio Brown",0.000,-2.390
4,5:55,1,10,MIA 48,12,30,DeAngelo Williams middle for 3 yards (tackle by Nicholas Williams and Jordan Phillips),2.390,2.250
4,5:17,2,7,MIA 45,12,30,DeAngelo Williams left end for -1 yards (tackle by Bacarri Rambo),2.250,1.420
4,4:34,3,8,MIA 46,12,30,Ben Roethlisberger pass incomplete short right intended for Jesse James is intercepted by Xavien Howard at MIA-32 and returned for 11 yards. Penalty on Marcus Gilbert: Offensive Holding (Declined),1.420,-1.800
