Quarter,Time,Tm,Detail,MIA,PIT
1.0,12:15,Steelers,Antonio Brown 50 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
,6:50,Steelers,Antonio Brown 62 yard pass from Ben Roethlisberger (Chris Boswell kick),0,14
,3:06,Dolphins,Andrew Franks 38 yard field goal,3,14
2.0,12:39,Steelers,Le'Veon Bell 1 yard rush (Chris Boswell kick failed),3,20
,4:52,Dolphins,Andrew Franks 47 yard field goal,6,20
3.0,6:32,Steelers,Chris Boswell 34 yard field goal,6,23
,2:05,Steelers,Le'Veon Bell 8 yard rush (Chris Boswell kick),6,30
4.0,5:57,Dolphins,Damien Williams 4 yard pass from Matt Moore (pass failed),12,30
