Unnamed: 0,MIN,KAN
First Downs,17,17
Rush-Yds-TDs,27-96-0,18-147-1
Cmp-Att-Yd-TD-INT,19-38-220-3-0,25-35-275-1-0
Sacked-Yards,1-8,5-45
Net Pass Yards,212,230
Total Yards,308,377
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,3-25,4-25
Third Down Conv.,5-15,4-13
Fourth Down Conv.,1-1,1-1
Time of Possession,28:12,31:48
