Quarter,Time,Tm,Detail,MIN,KAN
1.0,8:21,Chiefs,Tyreek Hill 40 yard pass from Matt Moore (Harrison Butker kick),0,7
,2:50,Vikings,Olabisi Johnson 4 yard pass from Kirk Cousins (Dan Bailey kick),7,7
2.0,4:34,Chiefs,Harrison Butker 24 yard field goal,7,10
,0:06,Vikings,Dan Bailey 29 yard field goal,10,10
3.0,11:51,Vikings,Ameer Abdullah 16 yard pass from Kirk Cousins (Dan Bailey kick failed),16,10
,6:13,Chiefs,Damien Williams 91 yard rush (Harrison Butker kick),16,17
,0:30,Chiefs,Harrison Butker 45 yard field goal,16,20
4.0,10:59,Vikings,Kyle Rudolph 3 yard pass from Kirk Cousins (Dan Bailey kick),23,20
,2:30,Chiefs,Harrison Butker 54 yard field goal,23,23
,0:00,Chiefs,Harrison Butker 44 yard field goal,23,26
