Quarter,Time,Down,ToGo,Location,BAL,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, returned by Justice Hill for 16 yards (tackle by Marquise Blair)",0.000,-0.140
1,14:56,1,10,BAL 16,0,0,Mark Ingram left tackle for 6 yards (tackle by K.J. Wright and Tre Flowers),-0.140,0.280
1,14:20,2,4,BAL 22,0,0,Lamar Jackson pass complete short left to Seth Roberts for 9 yards (tackle by Tre Flowers),0.280,1.000
1,13:40,1,10,BAL 31,0,0,Lamar Jackson pass complete short left to Miles Boykin for 5 yards (tackle by Tre Flowers),1.000,1.140
1,13:13,2,5,BAL 36,0,0,Lamar Jackson pass complete deep right to Miles Boykin for 50 yards (tackle by Tedric Thompson),1.140,4.650
1,12:26,1,10,SEA 14,0,0,Mark Ingram left end for 7 yards (tackle by Mychal Kendricks),4.650,5.280
1,11:46,2,3,SEA 7,0,0,Lamar Jackson up the middle for 1 yard (tackle by Quinton Jefferson and Marquise Blair),5.280,4.730
1,11:03,3,2,SEA 6,0,0,Gus Edwards right tackle for -1 yards (tackle by Jadeveon Clowney),4.730,2.990
1,10:22,4,3,SEA 7,3,0,Justin Tucker 25 yard field goal good,2.990,3.000
1,10:19,,,BAL 35,3,0,"Justin Tucker kicks off 60 yards, returned by Tyler Lockett for 22 yards (tackle by Bennett Jackson)",0.000,0.740
1,10:14,1,10,SEA 27,3,0,Chris Carson right tackle for 7 yards (tackle by Brandon Williams and Earl Thomas),0.740,1.140
1,9:37,2,3,SEA 34,3,0,Russell Wilson pass complete short left to Chris Carson for -6 yards (tackle by L.J. Fort),1.140,-0.360
1,8:53,3,9,SEA 28,3,0,Russell Wilson pass incomplete short left intended for D.K. Metcalf,-0.360,-1.500
1,8:47,4,9,SEA 28,3,0,"Michael Dickson punts 46 yards, returned by Cyrus Jones for 2 yards (tackle by Cody Barton)",-1.500,-0.810
1,8:35,1,10,BAL 28,3,0,Lamar Jackson pass complete short right to Chris Moore for 3 yards (tackle by Mychal Kendricks),0.810,0.670
1,8:04,2,7,BAL 31,3,0,Mark Ingram right end for 4 yards (tackle by Jadeveon Clowney and Marquise Blair),0.670,0.500
1,7:18,3,3,BAL 35,3,0,"Lamar Jackson left end for 10 yards (tackle by Bobby Wagner). Lamar Jackson fumbles, ball out of bounds at BAL-45 (forced by Bobby Wagner)",0.500,1.930
1,6:40,1,10,BAL 45,3,0,Lamar Jackson left end for 1 yard (tackle by Mychal Kendricks),1.930,1.520
1,6:06,2,9,BAL 46,3,0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,1.520,0.830
1,6:02,3,9,BAL 46,3,0,Lamar Jackson pass incomplete short right intended for Willie Snead (defended by K.J. Wright),0.830,-0.320
1,5:54,4,9,BAL 46,3,0,"Sam Koch punts 43 yards, returned by Tyler Lockett for 6 yards (tackle by Tyus Bowser)",-0.320,0.060
1,5:46,1,10,SEA 17,3,0,Chris Carson right tackle for 1 yard (tackle by Chris Wormley and Jihad Ward),-0.060,-0.420
1,5:16,2,9,SEA 18,3,0,Chris Carson right tackle for 8 yards (tackle by Chuck Clark and Jaylon Ferguson),-0.420,-0.120
1,4:33,,,,,,Timeout #1 by Seattle Seahawks,,
1,4:33,3,1,SEA 26,3,0,Chris Carson up the middle for 9 yards (tackle by Tyus Bowser),-0.120,1.270
1,3:48,1,10,SEA 35,3,0,Chris Carson up the middle for -1 yards (tackle by Pernell McPhee),1.270,0.590
1,3:09,2,11,SEA 34,3,0,Russell Wilson sacked by L.J. Fort for no gain,0.590,-0.100
1,2:21,3,11,SEA 34,3,0,Russell Wilson pass complete deep left to D.K. Metcalf for 37 yards (tackle by Anthony Averett). Penalty on Anthony Averett: Illegal Contact (Declined),-0.100,3.640
1,2:04,1,10,BAL 29,3,0,Russell Wilson pass complete short left to Jacob Hollister for 9 yards (tackle by L.J. Fort),3.640,4.320
1,1:16,2,1,BAL 20,3,0,Chris Carson right guard for 5 yards (tackle by Earl Thomas and Chuck Clark),4.320,4.580
1,0:37,1,10,BAL 15,3,0,Russell Wilson left end for 7 yards (tackle by Earl Thomas),4.580,5.220
Quarter,Time,Down,ToGo,Location,BAL,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,BAL 8,3,0,Russell Wilson pass incomplete short left intended for Jaron Brown,5.220,4.450
2,14:52,3,3,BAL 8,3,6,"Russell Wilson pass complete short right to Tyler Lockett for 8 yards, touchdown, touchdown. Penalty on Marlon Humphrey: Defensive Holding (Declined)",4.450,7.000
2,14:46,,,BAL 15,3,7,Jason Myers kicks extra point good,0.000,0.000
2,14:46,,,SEA 35,3,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,14:46,1,10,BAL 25,3,7,Lamar Jackson pass incomplete short left intended for Seth Roberts (defended by Tre Flowers),0.610,0.060
2,14:41,2,10,BAL 25,3,7,Mark Ingram right tackle for no gain (tackle by Shaquill Griffin and Bobby Wagner),0.060,-0.620
