Quarter,Time,Tm,Detail,BAL,SEA
1.0,10:19,Ravens,Justin Tucker 25 yard field goal,3,0
2.0,14:46,Seahawks,Tyler Lockett 8 yard pass from Russell Wilson (Jason Myers kick),3,7
,11:06,Ravens,Justin Tucker 28 yard field goal,6,7
,7:35,Seahawks,Jason Myers 34 yard field goal,6,10
,5:00,Ravens,Marcus Peters 67 yard interception return (Justin Tucker kick),13,10
,0:02,Seahawks,Jason Myers 31 yard field goal,13,13
3.0,1:20,Ravens,Lamar Jackson 8 yard rush (Justin Tucker kick),20,13
4.0,3:47,Ravens,Justin Tucker 22 yard field goal,23,13
,3:37,Ravens,Marlon Humphrey 18 yard fumble return (Justin Tucker kick),30,13
,1:49,Seahawks,Jason Myers 35 yard field goal,30,16
