Unnamed: 0,BAL,SEA
First Downs,14,20
Rush-Yds-TDs,35-199-1,26-106-0
Cmp-Att-Yd-TD-INT,9-20-143-0-0,20-41-241-1-1
Sacked-Yards,1-2,1-0
Net Pass Yards,141,241
Total Yards,340,347
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,8-75,2-18
Third Down Conv.,5-13,10-17
Fourth Down Conv.,1-1,0-0
Time of Possession,29:54,30:06
