Quarter,Time,Tm,Detail,CAR,KAN
1.0,6:07,Panthers,Christian McCaffrey 9 yard pass from Teddy Bridgewater (Joey Slye kick),7,0
,1:38,Chiefs,Harrison Butker 39 yard field goal,7,3
2.0,12:39,Panthers,Curtis Samuel 14 yard pass from Teddy Bridgewater (Joey Slye kick),14,3
,11:01,Chiefs,Harrison Butker 55 yard field goal,14,6
,3:45,Chiefs,Demarcus Robinson 1 yard pass from Patrick Mahomes (Harrison Butker kick),14,13
,0:46,Panthers,Joey Slye 47 yard field goal,17,13
3.0,4:42,Chiefs,Clyde Edwards-Helaire 4 yard pass from Patrick Mahomes (Harrison Butker kick),17,20
4.0,14:23,Chiefs,Tyreek Hill 28 yard pass from Patrick Mahomes (Harrison Butker kick failed),17,26
,10:22,Panthers,Teddy Bridgewater 4 yard rush (Joey Slye kick),24,26
,7:40,Chiefs,Tyreek Hill 2 yard pass from Patrick Mahomes (Harrison Butker kick),24,33
,1:53,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),31,33
