Unnamed: 0,CAR,KAN
First Downs,30,24
Rush-Yds-TDs,24-104-2,11-36-0
Cmp-Att-Yd-TD-INT,37-50-338-2-0,30-45-372-4-0
Sacked-Yards,2-7,2-11
Net Pass Yards,331,361
Total Yards,435,397
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,12-82,8-75
Third Down Conv.,7-16,6-11
Fourth Down Conv.,3-3,0-0
Time of Possession,38:01,21:59
