Quarter,Time,Down,ToGo,Location,CAR,KAN,Detail,EPB,EPA
1,8:08,2,3,KAN 9,0,0,"Penalty on Robby Anderson: False Start, 5 yards (no play)",5.160,4.210
1,7:42,,,,,,Timeout #2 by Carolina Panthers,,
1,7:42,2,8,KAN 14,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for no gain (tackle by Bashaud Breeland),4.210,3.370
1,6:58,3,8,KAN 14,0,0,Teddy Bridgewater pass complete short right to Curtis Samuel for 5 yards (tackle by Rashad Fenton),3.370,2.930
1,6:13,4,3,KAN 9,6,0,"Teddy Bridgewater pass complete short left to Christian McCaffrey for 9 yards, touchdown",2.930,7.000
1,6:07,,,KAN 15,7,0,Joey Slye kicks extra point good,0.000,0.000
1,6:07,,,CAR 35,7,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,6:07,1,10,KAN 25,7,0,Clyde Edwards-Helaire up the middle for 2 yards (tackle by Shaq Thompson),0.610,0.330
1,5:32,2,8,KAN 27,7,0,Clyde Edwards-Helaire up the middle for no gain (tackle by Bravvion Roy),0.330,-0.360
1,4:54,3,8,KAN 27,7,0,Patrick Mahomes pass complete short right to Tyreek Hill for 14 yards (tackle by Corn Elder),-0.360,1.660
1,4:17,1,10,KAN 41,7,0,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,1.660,1.120
1,4:14,2,10,KAN 41,7,0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Jermaine Carter),1.120,2.320
1,3:37,1,10,CAR 49,7,0,"Patrick Mahomes pass complete short left to Tyreek Hill for 3 yards (tackle by Rasul Douglas). Penalty on Rasul Douglas: Unnecessary Roughness, 15 yards",2.320,3.510
1,3:19,1,10,CAR 31,7,0,Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 8 yards (tackle by Corn Elder),3.510,4.050
1,2:40,2,2,CAR 23,7,0,Clyde Edwards-Helaire left guard for 2 yards (tackle by Zach Kerr and Austin Larkin),4.050,4.170
1,1:58,1,10,CAR 21,7,0,Patrick Mahomes pass incomplete short left intended for Clyde Edwards-Helaire,4.170,3.630
1,1:52,2,10,CAR 21,7,0,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill,3.630,2.940
1,1:47,3,10,CAR 21,7,0,Patrick Mahomes pass incomplete deep middle intended for Tyreek Hill,2.940,2.060
1,1:42,4,10,CAR 21,7,3,Harrison Butker 39 yard field goal good,2.060,3.000
1,1:38,,,KAN 35,7,3,"Harrison Butker kicks off 62 yards, returned by Pharoh Cooper for 23 yards (tackle by Nick Keizer and Rashad Fenton)",0.000,0.670
1,1:31,1,10,CAR 26,7,3,Christian McCaffrey right end for 5 yards (tackle by Tanoh Kpassagnon),0.670,0.810
1,0:51,2,5,CAR 31,7,3,Teddy Bridgewater pass complete short right to D.J. Moore for 11 yards (tackle by Daniel Sorensen),0.810,1.730
1,0:15,1,10,CAR 42,7,3,Teddy Bridgewater pass incomplete deep left intended for Robby Anderson (defended by Tyrann Mathieu),1.730,1.190
1,0:08,2,10,CAR 42,7,3,Mike Davis up the middle for 3 yards (tackle by Derrick Nnadi),1.190,0.890
Quarter,Time,Down,ToGo,Location,CAR,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,CAR 45,7,3,Teddy Bridgewater pass incomplete short right,0.890,-0.390
2,14:54,4,7,CAR 45,7,3,Joseph Charlton pass complete deep left to Brandon Zylstra for 28 yards (tackle by Antonio Hamilton),-0.390,3.780
2,14:07,1,10,KAN 27,7,3,Christian McCaffrey left guard for 6 yards (tackle by Tershawn Wharton and Daniel Sorensen),3.780,4.040
2,13:25,2,4,KAN 21,7,3,Teddy Bridgewater pass complete short left to Christian McCaffrey for 7 yards (tackle by Daniel Sorensen),4.040,4.650
2,12:44,1,10,KAN 14,13,3,"Teddy Bridgewater pass complete short middle to Curtis Samuel for 14 yards, touchdown",4.650,7.000
2,12:39,,,KAN 15,14,3,Joey Slye kicks extra point good,0.000,0.000
2,12:39,,,CAR 35,14,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,12:39,1,10,KAN 25,14,3,Patrick Mahomes pass complete short left to Mecole Hardman for 6 yards (tackle by Rasul Douglas),0.610,0.870
2,12:02,2,4,KAN 31,14,3,Patrick Mahomes pass complete deep middle to Mecole Hardman for 32 yards (tackle by Shaq Thompson and Sam Franklin),0.870,3.120
2,11:24,1,10,CAR 37,14,3,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,3.120,2.570
2,11:17,2,10,CAR 37,14,3,Patrick Mahomes pass incomplete short middle intended for Travis Kelce (defended by Shaq Thompson),2.570,1.880
2,11:13,3,10,CAR 37,14,3,Patrick Mahomes pass incomplete short middle intended for Tyreek Hill,1.880,0.790
2,11:06,4,10,CAR 37,14,6,Harrison Butker 55 yard field goal good,0.790,3.000
2,11:01,,,KAN 35,14,6,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,11:01,1,10,CAR 25,14,6,Christian McCaffrey right guard for 13 yards (tackle by Daniel Sorensen),0.610,1.470
2,10:20,1,10,CAR 38,14,6,"Teddy Bridgewater pass incomplete short middle intended for Curtis Samuel. Penalty on Curtis Samuel: Illegal Formation, 5 yards (no play)",1.470,1.140
2,10:14,1,15,CAR 33,14,6,Curtis Samuel right guard for 4 yards (tackle by Charvarius Ward),1.140,0.790
2,9:33,2,11,CAR 37,14,6,Teddy Bridgewater pass complete short middle to Christian McCaffrey for 8 yards (tackle by Daniel Sorensen),0.790,1.160
2,8:48,3,3,CAR 45,14,6,"Teddy Bridgewater pass complete short right to D.J. Moore for 6 yards (tackle by Daniel Sorensen). Penalty on Curtis Samuel: Offensive Pass Interference, 10 yards (no play)",1.160,-0.160
2,8:18,,,,,,Timeout #3 by Carolina Panthers,,
2,8:18,3,13,CAR 35,14,6,Teddy Bridgewater pass complete short right to Christian McCaffrey for 9 yards (tackle by Daniel Sorensen),-0.160,-0.460
2,7:36,4,4,CAR 44,14,6,Joseph Charlton punts 21 yards out of bounds,-0.460,-1.270
2,7:29,1,10,KAN 35,14,6,Patrick Mahomes pass complete deep left to Travis Kelce for 23 yards (tackle by Shaq Thompson),1.270,2.790
2,6:46,1,10,CAR 42,14,6,Patrick Mahomes pass complete short right to Tyreek Hill for 7 yards (tackle by Donte Jackson),2.790,3.190
2,6:18,2,3,CAR 35,14,6,Clyde Edwards-Helaire right guard for 7 yards (tackle by Shaq Thompson),3.190,3.710
2,5:39,1,10,CAR 28,14,6,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Tahir Whitehead),3.710,3.840
2,4:54,2,5,CAR 23,14,6,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Jermaine Carter),3.840,4.580
2,4:15,1,10,CAR 15,14,6,Patrick Mahomes pass complete short left to Tyreek Hill for 14 yards (tackle by Sam Franklin),4.580,6.970
2,3:50,1,1,CAR 1,14,12,"Patrick Mahomes pass complete short middle to Demarcus Robinson for 1 yard, touchdown",6.970,7.000
2,3:45,,,CAR 15,14,13,Harrison Butker kicks extra point good,0.000,0.000
2,3:45,,,KAN 35,14,13,"Harrison Butker kicks off 67 yards, returned by Pharoh Cooper for 23 yards (tackle by Antonio Hamilton)",0.000,0.340
2,3:40,1,10,CAR 21,14,13,Teddy Bridgewater pass complete short right to Robby Anderson for 3 yards (tackle by Anthony Hitchens),0.340,0.210
2,2:55,2,7,CAR 24,14,13,Teddy Bridgewater pass complete short middle to Robby Anderson for 11 yards (tackle by Tyrann Mathieu),0.210,1.270
2,2:20,1,10,CAR 35,14,13,Christian McCaffrey up the middle for 6 yards (tackle by Anthony Hitchens),1.270,1.530
2,2:00,2,4,CAR 41,14,13,Christian McCaffrey right guard for no gain (tackle by Derrick Nnadi),1.530,0.830
2,1:19,3,4,CAR 41,14,13,"Teddy Bridgewater pass incomplete short right intended for D.J. Moore (defended by Charvarius Ward). Penalty on Chris Jones: Roughing the Passer, 15 yards (no play)",0.830,2.650
2,1:16,1,10,KAN 44,14,13,Teddy Bridgewater pass complete short left to Robby Anderson for 12 yards (tackle by Ben Niemann),2.650,3.450
2,1:07,1,10,KAN 32,14,13,Teddy Bridgewater pass incomplete short right,3.450,2.900
2,1:00,2,10,KAN 32,14,13,Teddy Bridgewater pass incomplete deep left intended for Ian Thomas,2.900,2.210
2,0:54,3,10,KAN 32,14,13,"Teddy Bridgewater pass complete short right to Robby Anderson for no gain, lateral to Tanoh Kpassagnon for 3 yards, lateral to Christian McCaffrey for 3 yards",2.210,1.500
2,0:50,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:50,4,7,KAN 29,17,13,Joey Slye 47 yard field goal good,1.500,3.000
2,0:46,,,CAR 35,17,13,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,0:46,1,10,KAN 25,17,13,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Shaq Thompson). Penalty on Efe Obada: Defensive Offside (Declined),0.610,1.270
2,0:42,1,10,KAN 35,17,13,Patrick Mahomes pass complete short middle to Tyreek Hill for 9 yards (tackle by Shaq Thompson),1.270,1.940
2,0:36,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:36,2,1,KAN 44,17,13,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,1.940,1.220
2,0:31,3,1,KAN 44,17,13,Patrick Mahomes pass complete short right to Tyreek Hill for 10 yards (tackle by Sam Franklin),1.220,2.520
2,0:17,1,10,CAR 46,17,13,Patrick Mahomes spiked the ball,2.520,1.980
2,0:16,2,10,CAR 46,17,13,Patrick Mahomes pass complete short left to Demarcus Robinson for 5 yards (tackle by Donte Jackson),1.980,1.950
2,0:11,3,5,CAR 41,17,13,"Patrick Mahomes pass incomplete short left intended for Darrel Williams. Penalty on Travis Kelce: Offensive Pass Interference, 10 yards (no play)",1.950,0.630
2,0:08,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:08,3,15,KAN 49,17,13,"Patrick Mahomes pass complete deep left to Travis Kelce for 36 yards (tackle by Shaq Thompson). Penalty on Derrick Brown: Defensive Offside, 5 yards (no play)",0.630,1.290
2,0:00,3,10,CAR 46,17,13,"Patrick Mahomes pass complete deep right to Demarcus Robinson for 28 yards (tackle by Corn Elder). Demarcus Robinson fumbles (forced by Corn Elder), recovered by Myles Hartsfield at CAR-14",1.290,0.000
Quarter,Time,Down,ToGo,Location,CAR,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,17,13,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,17,13,"Le'Veon Bell left end for 4 yards (tackle by Stephen Weatherly and Sam Franklin). Penalty on Derrick Brown: Defensive Holding, 5 yards",0.610,1.200
3,14:36,1,10,KAN 34,17,13,Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Rasul Douglas),1.200,2.130
3,13:55,1,10,KAN 48,17,13,Le'Veon Bell right guard for 4 yards (tackle by Derrick Brown),2.130,2.120
3,13:17,2,6,CAR 48,17,13,Patrick Mahomes pass complete short left to Travis Kelce for 29 yards (tackle by Tre Boston),2.120,4.310
3,12:35,1,10,CAR 19,17,13,Patrick Mahomes pass incomplete short left intended for Tyreek Hill,4.310,3.750
3,12:32,2,10,CAR 19,17,13,Patrick Mahomes pass complete short right to Le'Veon Bell for -5 yards (tackle by Derrick Brown and Sam Franklin),3.750,2.410
3,11:49,3,15,CAR 24,17,13,Patrick Mahomes sacked by Sam Franklin for -5 yards,2.410,1.500
3,11:05,4,20,CAR 29,17,13,Harrison Butker 48 yard field goal no good,1.500,-1.470
3,11:00,1,10,CAR 38,17,13,Christian McCaffrey right end for 10 yards (tackle by Bashaud Breeland),1.470,2.130
3,10:25,1,10,CAR 48,17,13,Christian McCaffrey right guard for 3 yards (tackle by Chris Jones and Anthony Hitchens),2.130,1.990
3,9:45,2,7,KAN 49,17,13,Teddy Bridgewater pass incomplete short right intended for Robby Anderson (defended by Charvarius Ward),1.990,1.290
3,9:41,3,7,KAN 49,17,13,Teddy Bridgewater pass complete short right to Robby Anderson for 8 yards (tackle by Charvarius Ward),1.290,2.850
3,9:07,1,10,KAN 41,17,13,"Teddy Bridgewater pass complete short left to Ian Thomas for 8 yards (tackle by Daniel Sorensen). Ian Thomas fumbles, ball out of bounds at KC-33 (forced by Daniel Sorensen)",2.850,3.390
3,8:33,2,2,KAN 33,17,13,Christian McCaffrey up the middle for -1 yards (tackle by Willie Gay and Derrick Nnadi),3.390,2.540
3,7:53,3,3,KAN 34,17,13,Christian McCaffrey up the middle for 1 yard (tackle by Rashad Fenton),2.540,1.200
3,7:04,4,2,KAN 33,17,13,Joey Slye 51 yard field goal no good,1.200,-1.660
3,6:59,1,10,KAN 41,17,13,Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire,1.660,1.120
3,6:54,2,10,KAN 41,17,13,Patrick Mahomes pass complete short right to Travis Kelce for 3 yards (tackle by Sam Franklin),1.120,0.830
3,6:09,3,7,KAN 44,17,13,Patrick Mahomes pass complete deep right to Travis Kelce for 44 yards (tackle by Rasul Douglas),0.830,4.780
3,5:16,1,10,CAR 12,17,13,Tyreek Hill left end for 8 yards (tackle by Shaq Thompson),4.780,5.600
3,4:47,2,2,CAR 4,17,19,"Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 4 yards, touchdown",5.600,7.000
3,4:42,,,CAR 15,17,20,Harrison Butker kicks extra point good,0.000,0.000
3,4:42,,,KAN 35,17,20,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
3,4:42,1,10,CAR 25,17,20,Curtis Samuel right end for 2 yards (tackle by Michael Danna),0.610,0.330
3,3:58,2,8,CAR 27,17,20,Teddy Bridgewater pass complete short right to Christian McCaffrey for 3 yards (tackle by Charvarius Ward),0.330,0.040
3,3:20,3,5,CAR 30,17,20,"Teddy Bridgewater pass complete short left to Christian McCaffrey for 3 yards (tackle by Daniel Sorensen). Penalty on Daniel Sorensen: Face Mask (15 Yards), 15 yards",0.040,2.130
3,2:58,1,10,CAR 48,17,20,"Christian McCaffrey left guard for 3 yards (tackle by Willie Gay). Penalty on Dennis Daley: Offensive Holding, 10 yards (no play)",2.130,1.470
3,2:28,1,20,CAR 38,17,20,Teddy Bridgewater sacked by Frank Clark for -7 yards,1.470,-0.710
3,1:42,2,27,CAR 31,17,20,Teddy Bridgewater pass incomplete short left,-0.710,-1.350
3,1:34,3,27,CAR 31,17,20,Teddy Bridgewater pass incomplete deep left intended for Robby Anderson,-1.350,-1.310
3,1:29,4,27,CAR 31,17,20,"Joseph Charlton punts 44 yards, returned by Mecole Hardman for 6 yards (tackle by Kenny Robinson and Jermaine Carter)",-1.310,-1.000
3,1:19,1,10,KAN 31,17,20,Le'Veon Bell right guard for no gain (tackle by Zach Kerr and Jermaine Carter),1.000,0.460
3,0:42,2,10,KAN 31,17,20,Patrick Mahomes pass complete short right to Mecole Hardman for 10 yards (tackle by Marquis Haynes),0.460,1.660
3,0:03,1,10,KAN 41,17,20,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,1.660,1.120
Quarter,Time,Down,ToGo,Location,CAR,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,KAN 41,17,20,"Patrick Mahomes pass incomplete short middle intended for Mecole Hardman. Penalty on Brian Burns: Defensive Offside, 5 yards (no play)",1.120,1.800
4,14:56,2,5,KAN 46,17,20,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,1.800,1.090
4,14:51,3,5,KAN 46,17,20,Patrick Mahomes pass complete deep right to Tyreek Hill for 26 yards. Penalty on Donte Jackson: Defensive Holding (Declined),1.090,3.710
4,14:29,1,10,CAR 28,17,26,"Patrick Mahomes pass complete deep right to Tyreek Hill for 28 yards, touchdown, touchdown",3.710,7.000
4,14:23,,,CAR 15,17,26,"Harrison Butker kicks extra point no good hit left upright. Penalty on Andrew Wylie: Unnecessary Roughness, 15 yards",0.000,-1.000
4,14:23,,,KAN 20,17,26,"Harrison Butker kicks off 80 yards, touchback.. Penalty on Antonio Hamilton: Offside on Free Kick, 5 yards",0.000,0.940
4,14:23,1,10,CAR 30,17,26,Teddy Bridgewater pass complete deep left to Curtis Samuel for 28 yards (tackle by Tyrann Mathieu),0.940,2.790
4,14:02,1,10,KAN 42,17,26,Christian McCaffrey left end for -4 yards (tackle by Tanoh Kpassagnon),2.790,1.700
4,13:20,2,14,KAN 46,17,26,Teddy Bridgewater pass incomplete deep right intended for Robby Anderson,1.700,1.030
4,13:14,3,14,KAN 46,17,26,Teddy Bridgewater pass incomplete short right intended for Mike Davis,1.030,0.200
4,13:09,4,14,KAN 46,17,26,Teddy Bridgewater up the middle for 15 yards (tackle by Ben Niemann),0.200,3.510
4,12:41,1,10,KAN 31,17,26,Teddy Bridgewater pass complete deep left to Christian McCaffrey for 24 yards (tackle by Damien Wilson),3.510,5.600
4,11:55,1,7,KAN 7,17,26,Teddy Bridgewater sacked by Chris Jones for no gain,5.600,4.760
4,11:11,2,7,KAN 7,17,26,Teddy Bridgewater pass complete short right to Curtis Samuel for 3 yards (tackle by Anthony Hitchens and Derrick Nnadi),4.760,4.490
4,10:26,3,4,KAN 4,23,26,"Teddy Bridgewater up the middle for 4 yards, touchdown",4.490,7.000
4,10:22,,,KAN 15,24,26,Joey Slye kicks extra point good,0.000,0.000
4,10:22,,,CAR 35,24,26,"Joey Slye kicks onside 9 yards,. Penalty on Joey Slye: Illegal Touch Kick, 5 yards",0.000,2.980
4,10:22,1,10,CAR 39,24,26,Patrick Mahomes pass incomplete short middle intended for Tyreek Hill,2.980,2.440
4,10:16,2,10,CAR 39,24,26,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 8 yards (tackle by Rasul Douglas),2.440,2.810
4,9:42,3,2,CAR 31,24,26,Patrick Mahomes pass complete short middle to Travis Kelce for 13 yards (tackle by Brian Burns),2.810,4.370
4,8:55,1,10,CAR 18,24,26,Clyde Edwards-Helaire up the middle for 3 yards (tackle by Derrick Brown),4.370,4.250
4,8:13,2,7,CAR 15,24,26,Patrick Mahomes pass incomplete short right intended for Travis Kelce,4.250,3.460
4,8:09,3,7,CAR 15,24,26,"Patrick Mahomes pass incomplete short left intended for Demarcus Robinson. Penalty on Donte Jackson: Defensive Offside, 5 yards (no play)",3.460,4.510
4,8:03,3,2,CAR 10,24,26,"Patrick Mahomes right end for 6 yards (tackle by Tre Boston). Penalty on Jermaine Carter: Defensive Holding, 2 yards",4.510,6.740
4,7:44,1,2,CAR 2,24,32,"Patrick Mahomes pass complete short right to Tyreek Hill for 2 yards, touchdown",6.740,7.000
4,7:40,,,CAR 15,24,33,Harrison Butker kicks extra point good,0.000,0.000
4,7:40,,,KAN 35,24,33,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,7:40,1,10,CAR 25,24,33,Christian McCaffrey right guard for 4 yards (tackle by Daniel Sorensen and Tanoh Kpassagnon),0.610,0.600
4,6:54,2,6,CAR 29,24,33,Christian McCaffrey right guard for 1 yard (tackle by Tanoh Kpassagnon),0.600,0.040
4,6:15,3,5,CAR 30,24,33,Teddy Bridgewater pass complete short left to Curtis Samuel for 11 yards (tackle by Bashaud Breeland),0.040,1.660
4,5:45,1,10,CAR 41,24,33,Teddy Bridgewater pass complete short left to Mike Davis for 2 yards (tackle by Bashaud Breeland),1.660,1.390
4,5:04,2,8,CAR 43,24,33,Teddy Bridgewater pass complete short left to Christian McCaffrey for 9 yards (tackle by Juan Thornhill),1.390,2.390
4,4:25,1,10,KAN 48,24,33,Teddy Bridgewater pass complete deep right to Robby Anderson for 22 yards (tackle by Tyrann Mathieu),2.390,3.840
4,3:42,1,10,KAN 26,24,33,Teddy Bridgewater pass complete short left to Curtis Samuel for 11 yards (tackle by Derrick Nnadi),3.840,4.580
4,3:05,1,10,KAN 15,24,33,Teddy Bridgewater pass complete short left to Mike Davis for 5 yards (tackle by Armani Watts),4.580,4.840
4,2:29,2,5,KAN 10,24,33,Teddy Bridgewater pass complete short left to Robby Anderson for 3 yards (tackle by Bashaud Breeland),4.840,4.680
4,2:00,3,2,KAN 7,24,33,Christian McCaffrey left end for 6 yards (tackle by Armani Watts),4.680,6.970
4,1:55,1,1,KAN 1,30,33,"Christian McCaffrey up the middle for 1 yard, touchdown",6.970,7.000
4,1:53,,,KAN 15,31,33,Joey Slye kicks extra point good,0.000,0.000
4,1:53,,,CAR 35,31,33,"Joey Slye kicks onside 7 yards, returned by Daniel Sorensen for no gain",0.000,2.790
4,1:52,1,10,CAR 42,31,33,Le'Veon Bell left guard for no gain (tackle by Derrick Brown),2.790,2.240
4,1:47,,,,,,Timeout #1 by Carolina Panthers,,
4,1:47,2,10,CAR 42,31,33,Patrick Mahomes sacked by Brian Burns for -6 yards,2.240,0.760
4,1:42,,,,,,Timeout #2 by Carolina Panthers,,
4,1:42,3,16,CAR 48,31,33,Patrick Mahomes pass complete short left to Darrel Williams for 3 yards (tackle by Yetur Gross-Matos and Efe Obada),0.760,0.270
4,1:33,,,,,,Timeout #3 by Carolina Panthers,,
4,1:33,4,13,CAR 45,31,33,"Tommy Townsend punts 36 yards, fair catch by Pharoh Cooper at CAR-9",0.270,0.380
4,1:26,1,10,CAR 9,31,33,Teddy Bridgewater pass complete short middle to Curtis Samuel for 9 yards (tackle by Armani Watts),-0.380,0.140
4,1:10,2,1,CAR 18,31,33,"Teddy Bridgewater pass complete short right to Christian McCaffrey for 1 yard (tackle by Daniel Sorensen). Penalty on Tyrann Mathieu: Defensive Holding, 5 yards (no play)",0.140,0.480
4,1:05,1,10,CAR 23,31,33,"Teddy Bridgewater pass incomplete short right intended for Robby Anderson (defended by Charvarius Ward). Penalty on Chris Reed: Illegal Use of Hands, 10 yards (no play)",0.480,-0.590
4,1:03,1,20,CAR 13,31,33,Teddy Bridgewater pass complete short right to Mike Davis for 9 yards (tackle by Tyrann Mathieu and Ben Niemann),-0.590,-0.200
4,0:43,2,11,CAR 22,31,33,Teddy Bridgewater pass complete short left to Mike Davis for 6 yards (tackle by Armani Watts),-0.200,-0.100
4,0:25,3,5,CAR 28,31,33,Teddy Bridgewater pass complete deep right to Curtis Samuel for 23 yards (tackle by Charvarius Ward),-0.100,2.320
4,0:10,1,10,KAN 49,31,33,Teddy Bridgewater spiked the ball,2.320,1.780
4,0:09,2,10,KAN 49,31,33,Teddy Bridgewater pass complete short right to Christian McCaffrey for no gain (tackle by Armani Watts),1.780,1.090
4,0:05,,,,,,Timeout #1 by Kansas City Chiefs,,
4,0:05,3,10,KAN 49,31,33,Teddy Bridgewater pass incomplete short right intended for D.J. Moore (defended by Armani Watts),1.090,0.000
4,0:02,4,10,KAN 49,31,33,Joey Slye 67 yard field goal no good,0.000,2.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
