Unnamed: 0,GNB,CHI
First Downs,15,22
Rush-Yds-TDs,32-92-1,29-122-1
Cmp-Att-Yd-TD-INT,15-27-245-3-0,24-37-216-1-1
Sacked-Yards,1-8,4-27
Net Pass Yards,237,189
Total Yards,329,311
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,9-90,7-61
Third Down Conv.,9-16,3-13
Fourth Down Conv.,1-2,1-2
Time of Possession,29:17,30:43
