Unnamed: 0,SEA,LAR
First Downs,16,26
Rush-Yds-TDs,21-106-0,35-162-2
Cmp-Att-Yd-TD-INT,22-36-245-0-1,22-32-293-2-2
Sacked-Yards,5-43,0-0
Net Pass Yards,202,293
Total Yards,308,455
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,8-64,3-20
Third Down Conv.,5-14,7-13
Fourth Down Conv.,1-2,0-0
Time of Possession,28:56,31:04
