Quarter,Time,Tm,Detail,SEA,LAR
1.0,8:34,Seahawks,Jason Myers 39 yard field goal,3,0
,5:08,Rams,Malcolm Brown 1 yard rush (Greg Zuerlein kick),3,7
2.0,11:28,Rams,Robert Woods 2 yard pass from Jared Goff (Greg Zuerlein kick),3,14
,0:51,Rams,Cooper Kupp 10 yard pass from Jared Goff (Greg Zuerlein kick),3,21
3.0,12:54,Seahawks,Quandre Diggs 55 yard interception return (Jason Myers kick failed),9,21
4.0,11:07,Rams,Todd Gurley 7 yard rush (Greg Zuerlein kick),9,28
,7:03,Seahawks,Jason Myers 34 yard field goal,12,28
