Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,"Chris Carson up the middle for 1 yard (tackle by Sebastian Joseph and Aaron Donald) Penalty on SEA: Illegal Formation, 5 yards (no play)",0.610,0.280
1,14:34,1,15,SEA 20,0,0,Russell Wilson pass complete short left to Tyler Lockett for 2 yards (tackle by Cory Littleton),0.280,-0.340
1,13:49,2,13,SEA 22,0,0,Russell Wilson pass complete short right to Josh Gordon for 11 yards (tackle by Troy Hill),-0.340,0.430
1,13:11,3,2,SEA 33,0,0,Chris Carson right tackle for 7 yards (tackle by Samson Ebukam),0.430,1.600
1,12:28,1,10,SEA 40,0,0,Russell Wilson pass complete short middle to Malik Turner for 10 yards (tackle by Taylor Rapp),1.600,2.260
1,11:51,1,10,SEA 50,0,0,Russell Wilson pass complete short left to Rashaad Penny for 16 yards (tackle by Taylor Rapp),2.260,3.310
1,11:20,1,10,LAR 34,0,0,Chris Carson right guard for 3 yards (tackle by Clay Matthews and Dante Fowler),3.310,3.180
1,10:43,2,7,LAR 31,0,0,Russell Wilson pass complete short middle to D.K. Metcalf for 9 yards (tackle by Eric Weddle),3.180,4.110
1,10:05,1,10,LAR 22,0,0,Russell Wilson pass incomplete short left intended for Chris Carson,4.110,3.560
1,10:00,2,10,LAR 22,0,0,Chris Carson up the middle for 7 yards (tackle by Eric Weddle),3.560,3.930
1,9:20,3,3,LAR 15,0,0,Russell Wilson sacked by Samson Ebukam for -6 yards,3.930,2.060
1,8:39,4,9,LAR 21,3,0,Jason Myers 39 yard field goal good,2.060,3.000
1,8:34,,,SEA 35,3,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,8:34,1,10,LAR 25,3,0,Todd Gurley left tackle for 6 yards (tackle by Shaquill Griffin),0.610,0.870
1,8:05,2,4,LAR 31,3,0,Todd Gurley left end for no gain (tackle by Poona Ford),0.870,0.170
1,7:26,3,4,LAR 31,3,0,Jared Goff pass complete short right to Robert Woods for 19 yards (tackle by Tre Flowers and Quandre Diggs),0.170,2.260
1,6:45,1,10,LAR 50,3,0,Jared Goff pass complete short left to Robert Woods for 15 yards (tackle by Tre Flowers),2.260,3.250
1,6:08,1,10,SEA 35,3,0,Todd Gurley left end for 1 yard (tackle by Branden Jackson and Jadeveon Clowney),3.250,2.840
1,5:40,2,9,SEA 34,3,0,Jared Goff pass incomplete short left intended for Robert Woods (defended by Cody Barton),2.840,2.150
1,5:36,3,9,SEA 34,3,0,Jared Goff pass complete deep right to Tyler Higbee for 33 yards (tackle by Quandre Diggs),2.150,6.970
1,5:12,1,1,SEA 1,3,6,"Malcolm Brown left tackle for 1 yard, touchdown",6.970,7.000
1,5:08,,,SEA 15,3,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,5:08,,,LAR 35,3,7,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,5:08,1,10,SEA 25,3,7,Chris Carson right end for 5 yards (tackle by Michael Brockers),0.610,0.740
1,4:28,2,5,SEA 30,3,7,Chris Carson up the middle for 3 yards (tackle by Clay Matthews),0.740,0.430
1,3:42,3,2,SEA 33,3,7,Chris Carson up the middle for 1 yard (tackle by Taylor Rapp and Sebastian Joseph),0.430,-1.110
1,3:05,4,1,SEA 34,3,7,"Michael Dickson punts 51 yards, fair catch by Nsimba Webster at LA-15",-1.110,0.220
1,2:57,1,10,LAR 15,3,7,Todd Gurley left tackle for 1 yard (tackle by Cody Barton and Poona Ford),-0.220,-0.580
1,2:20,2,9,LAR 16,3,7,"Penalty on Rasheem Green: Neutral Zone Infraction, 5 yards (no play)",-0.580,0.210
1,2:00,2,4,LAR 21,3,7,Jared Goff pass complete short middle to Robert Woods for 14 yards (tackle by Bradley McDougald and Bobby Wagner),0.210,1.270
1,1:25,1,10,LAR 35,3,7,Jared Goff pass complete short right to Robert Woods for 12 yards,1.270,2.060
1,0:56,1,10,LAR 47,3,7,Josh Reynolds left end for 12 yards (tackle by Quandre Diggs),2.060,2.850
1,0:21,1,10,SEA 41,3,7,Jared Goff pass complete short right to Tyler Higbee for 11 yards (tackle by Tre Flowers),2.850,3.580
Quarter,Time,Down,ToGo,Location,SEA,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 30,3,7,Todd Gurley left guard for 7 yards (tackle by Al Woods and Branden Jackson),3.580,3.980
2,14:21,2,3,SEA 23,3,7,Todd Gurley right guard for 4 yards (tackle by Quinton Jefferson),3.980,4.310
2,13:45,1,10,SEA 19,3,7,Todd Gurley right tackle for 2 yards (tackle by Branden Jackson),4.310,4.030
2,13:13,2,8,SEA 17,3,7,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by Bradley McDougald),4.030,4.690
2,12:55,3,1,SEA 10,3,7,Jared Goff pass complete short left to Cooper Kupp for 3 yards (tackle by Cody Barton),4.690,5.600
2,12:23,1,7,SEA 7,3,7,"Penalty on Jadeveon Clowney: Neutral Zone Infraction, 4 yards (no play)",5.600,6.510
2,12:11,1,3,SEA 3,3,7,Todd Gurley up the middle for 1 yard (tackle by Jarran Reed),6.510,5.720
2,11:33,2,2,SEA 2,3,13,"Jared Goff pass complete short right to Robert Woods for 2 yards, touchdown",5.720,7.000
2,11:28,,,SEA 15,3,14,Greg Zuerlein kicks extra point good,0.000,0.000
2,11:28,,,LAR 35,3,14,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,11:28,1,10,SEA 25,3,14,Russell Wilson pass complete short left to Chris Carson for 5 yards (tackle by Cory Littleton),0.610,0.740
2,11:00,2,5,SEA 30,3,14,Russell Wilson pass complete short middle to David Moore for 15 yards (tackle by Eric Weddle),0.740,1.930
2,10:20,1,10,SEA 45,3,14,Russell Wilson pass complete short middle to D.K. Metcalf for 12 yards (tackle by Jalen Ramsey),1.930,2.720
2,9:47,1,10,LAR 43,3,14,Chris Carson up the middle for 10 yards (tackle by Eric Weddle and Cory Littleton),2.720,3.380
2,9:06,1,10,LAR 33,3,14,Russell Wilson pass incomplete deep left,3.380,2.840
2,9:00,2,10,LAR 33,3,14,C.J. Prosise up the middle for 2 yards (tackle by Dante Fowler),2.840,2.410
2,8:20,3,8,LAR 31,3,14,Russell Wilson pass complete short middle to Tyler Lockett for 7 yards (tackle by Marqui Christian),2.410,2.020
2,7:36,4,1,LAR 24,3,14,Russell Wilson pass incomplete short right intended for Malik Turner,2.020,-0.540
2,7:30,1,10,LAR 24,3,14,Jared Goff pass complete short middle to Todd Gurley for 3 yards (tackle by Bobby Wagner),0.540,0.400
2,6:52,2,7,LAR 27,3,14,Todd Gurley up the middle for 4 yards (tackle by Jarran Reed),0.400,0.230
2,6:10,3,3,LAR 31,3,14,Jared Goff pass incomplete deep right intended for Tyler Higbee,0.230,-1.310
2,6:04,4,3,LAR 31,3,14,"Johnny Hekker punts 49 yards, fair catch by David Moore at SEA-20",-1.310,-0.280
2,5:55,1,10,SEA 20,3,14,"Russell Wilson aborted snap, recovered by Russell Wilson at SEA-15 and returned for -7 yards",0.280,-1.280
2,5:10,2,17,SEA 13,3,14,Russell Wilson pass complete short left to D.K. Metcalf for 10 yards (tackle by Cory Littleton),-1.280,-0.560
2,4:20,3,7,SEA 23,3,14,Russell Wilson pass incomplete short middle intended for Jacob Hollister,-0.560,-1.830
2,4:15,4,7,SEA 23,3,14,"Michael Dickson punts 48 yards, returned by Nsimba Webster for -1 yards (tackle by Marquise Blair)",-1.830,-0.810
2,4:04,1,10,LAR 28,3,14,Todd Gurley left tackle for 6 yards (tackle by Bradley McDougald),0.810,1.070
2,3:28,2,4,LAR 34,3,14,Jared Goff pass complete deep left to Tyler Higbee for 22 yards (tackle by Bobby Wagner),1.070,2.650
2,3:03,1,10,SEA 44,3,14,"Jared Goff pass incomplete short right intended for Johnny Mundt. Penalty on Andrew Whitworth: Illegal Use of Hands, 10 yards (no play)",2.650,1.990
2,2:57,1,20,LAR 46,3,14,Jared Goff pass complete short middle to Todd Gurley for 6 yards (tackle by K.J. Wright and Bobby Wagner),1.990,1.570
2,2:33,2,14,SEA 48,3,14,Jared Goff pass complete deep middle to Cooper Kupp for 21 yards (tackle by Bradley McDougald),1.570,3.780
2,2:00,1,10,SEA 27,3,14,Todd Gurley right tackle for 7 yards (tackle by K.J. Wright),3.780,4.180
