Quarter,Time,Tm,Detail,CHI,GNB
1.0,4:21,Bears,Cairo Santos 23 yard field goal,3,0
2.0,11:09,Bears,Jakeem Grant 46 yard pass from Justin Fields (Cairo Santos kick),10,0
,6:02,Packers,Allen Lazard 2 yard pass from Aaron Rodgers (Mason Crosby kick),10,7
,4:59,Packers,Rasul Douglas 55 yard interception return (Mason Crosby kick),10,14
,3:21,Bears,Damiere Byrd 54 yard pass from Justin Fields (Cairo Santos kick),17,14
,1:32,Bears,Jakeem Grant 97 yard punt return (Cairo Santos kick),24,14
,0:44,Packers,Davante Adams 38 yard pass from Aaron Rodgers (Mason Crosby kick),24,21
,0:00,Bears,Cairo Santos 44 yard field goal,27,21
3.0,9:24,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),27,28
,8:24,Packers,Aaron Jones 23 yard pass from Aaron Rodgers (Mason Crosby kick),27,35
,2:52,Packers,Mason Crosby 20 yard field goal,27,38
4.0,4:33,Packers,Davante Adams 3 yard pass from Aaron Rodgers (Mason Crosby kick),27,45
,1:21,Bears,Cairo Santos 43 yard field goal,30,45
