Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,CHI,10,42,0,2,25,2.5,17,1.7,0,
Justin Fields,CHI,9,74,0,4,59,6.6,15,1.7,1,9.0
Damien Williams,CHI,2,13,0,1,8,4.0,5,2.5,0,
Jakeem Grant,CHI,1,5,0,0,0,0.0,5,5.0,1,1.0
Khalil Herbert,CHI,1,3,0,,2,2.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
AJ Dillon,GNB,15,71,0,3,35,2.3,36,2.4,1,15.0
Aaron Jones,GNB,5,35,1,3,16,3.2,19,3.8,1,5.0
Kurt Benkert,GNB,2,-1,0,,-1,-0.5,0,0.0,0,
Allen Lazard,GNB,1,14,0,1,13,13.0,1,1.0,0,
Aaron Rodgers,GNB,1,0,0,0,0,0.0,0,0.0,0,
