Unnamed: 0,CHI,GNB
First Downs,16,27
Rush-Yds-TDs,23-137-0,24-119-1
Cmp-Att-Yd-TD-INT,18-33-224-2-2,29-37-341-4-0
Sacked-Yards,2-14,3-21
Net Pass Yards,210,320
Total Yards,347,439
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,7-41,3-30
Third Down Conv.,5-13,4-10
Fourth Down Conv.,0-1,1-1
Time of Possession,25:00,35:00
