Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 73 yards, touchback",0.000,-0.280
1,15:00,1,10,SEA 20,0,0,Marshawn Lynch left guard for 10 yards (tackle by Prince Amukamara and Linval Joseph),0.280,0.940
1,14:25,1,10,SEA 30,0,0,Russell Wilson pass complete deep left to Golden Tate for 17 yards (tackle by Prince Amukamara),0.940,2.060
1,13:52,1,10,SEA 47,0,0,Marshawn Lynch right guard for -2 yards (tackle by Ryan Mundy),2.060,1.250
1,13:21,2,12,SEA 45,0,0,Marshawn Lynch left tackle for 1 yard (tackle by Keith Rivers and Spencer Paysinger),1.250,0.700
1,12:38,3,11,SEA 46,0,0,Russell Wilson pass complete short right to Doug Baldwin for 9 yards (tackle by Antrel Rolle),0.700,0.270
1,12:01,4,2,NYG 45,0,0,"Jon Ryan punts 30 yards, fair catch by Rueben Randle",0.270,0.220
1,11:49,1,10,NYG 15,0,0,Eli Manning pass incomplete short left intended for Victor Cruz,-0.220,-0.710
1,11:44,2,10,NYG 15,0,0,Andre Brown left guard for no gain (tackle by Kam Chancellor),-0.710,-1.370
1,11:02,3,10,NYG 15,0,0,Eli Manning sacked by Bobby Wagner for -8 yards,-1.370,-2.490
1,10:47,4,18,NYG 7,0,0,"Steve Weatherford punts 54 yards, returned by Golden Tate for 19 yards (tackle by Will Hill)",-2.490,-2.790
1,10:33,1,10,NYG 42,0,0,Russell Wilson pass complete short left to Marshawn Lynch for 12 yards (tackle by Prince Amukamara),2.790,3.580
1,10:05,1,10,NYG 30,0,0,Russell Wilson pass complete short left to Marshawn Lynch for no gain,3.580,3.030
1,9:40,2,10,NYG 30,0,0,Russell Wilson left end for 4 yards (tackle by Antrel Rolle),3.030,2.870
1,9:04,3,6,NYG 26,0,0,"Penalty on Russell Wilson: Delay of Game, 5 yards (no play)",2.870,2.210
1,8:44,3,11,NYG 31,0,0,Russell Wilson pass incomplete short right intended for Golden Tate,2.210,1.320
1,8:38,4,11,NYG 31,3,0,Steven Hauschka 49 yard field goal good,1.320,3.000
1,8:38,,,SEA 35,3,0,"Steven Hauschka kicks off 69 yards, returned by Jerrel Jernigan for 22 yards (tackle by Jermaine Kearse)",0.000,-0.040
1,8:29,1,10,NYG 18,3,0,Andre Brown up the middle for no gain (tackle by Kam Chancellor),0.040,-0.490
1,7:46,2,10,NYG 18,3,0,Eli Manning pass complete deep right to Brandon Myers for 20 yards (tackle by Earl Thomas). Penalty on Bruce Irvin: Defensive Offside (Declined),-0.490,1.470
1,7:23,1,10,NYG 38,3,0,Andre Brown right end for 7 yards (tackle by Bobby Wagner),1.470,1.870
1,6:46,2,3,NYG 45,3,0,Eli Manning pass incomplete short left intended for Victor Cruz,1.870,1.160
1,6:39,3,3,NYG 45,3,0,Eli Manning pass complete short right to Bear Pascoe for 2 yards (tackle by Malcolm Smith),1.160,-0.260
1,6:10,4,1,NYG 47,3,0,"Steve Weatherford punts 46 yards, fair catch by Golden Tate",-0.260,0.380
1,5:53,1,10,SEA 7,3,0,Robert Turbin right tackle for 11 yards (tackle by Will Hill and Antrel Rolle),-0.380,0.040
1,5:23,1,10,SEA 18,3,0,Robert Turbin left guard for 3 yards (tackle by Justin Tuck),0.040,0.010
1,4:43,2,7,SEA 21,3,0,Russell Wilson pass complete short left to Marshawn Lynch for 22 yards (tackle by Will Hill),0.010,1.800
1,4:08,1,10,SEA 43,3,0,Marshawn Lynch right tackle for -1 yards (tackle by Johnathan Hankins and Jon Beason),1.800,1.120
1,3:32,2,11,SEA 42,3,0,Russell Wilson pass complete short left to Doug Baldwin for 3 yards (tackle by Antrel Rolle),1.120,0.830
1,2:50,3,8,SEA 45,3,0,Russell Wilson pass complete short right to Marshawn Lynch for 7 yards (tackle by Trumaine McBride),0.830,0.070
,,,,,,,"NYG challenged the first down ruling, and the original play was overturned.",,
1,2:37,4,1,NYG 48,3,0,"Jon Ryan punts 48 yards, touchback",0.070,-0.280
1,2:24,1,10,NYG 20,3,0,Andre Brown left end for 3 yards (tackle by Kam Chancellor),0.280,0.140
1,1:47,2,7,NYG 23,3,0,Eli Manning pass complete short right to Andre Brown for no gain,0.140,-0.560
1,1:10,3,7,NYG 23,3,0,"Penalty on Michael Bennett: Neutral Zone Infraction, 5 yards (no play)",-0.560,0.100
1,0:47,3,2,NYG 28,3,0,Eli Manning pass complete short right to Victor Cruz for 16 yards,0.100,1.860
1,0:16,1,10,NYG 44,3,0,Eli Manning pass incomplete deep left intended for Victor Cruz is intercepted by Byron Maxwell at SEA-35 and returned for -2 yards (tackle by Victor Cruz),1.860,-1.140
1,0:06,1,10,SEA 33,3,0,Marshawn Lynch right end for 4 yards (tackle by Spencer Paysinger and Linval Joseph),1.140,1.130
Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,SEA 37,3,0,Marshawn Lynch left tackle for 4 yards (tackle by Jon Beason and Linval Joseph),1.130,0.960
2,14:23,3,2,SEA 41,3,0,"Penalty on Breno Giacomini: False Start, 5 yards (no play)",0.960,0.300
2,14:05,3,7,SEA 36,3,0,Russell Wilson sacked by Cullen Jenkins and Justin Tuck for -5 yards,0.300,-1.310
2,13:34,4,12,SEA 31,3,0,Jon Ryan punts 35 yards. Penalty on Ryan Mundy: Running Into the Kicker (Declined),-1.310,-1.200
2,13:20,1,10,NYG 34,3,0,Andre Brown right guard for 2 yards (tackle by Bobby Wagner and Clinton McDonald),1.200,0.930
2,12:47,2,8,NYG 36,3,0,Andre Brown left tackle for 2 yards (tackle by Malcolm Smith),0.930,0.500
2,12:14,3,6,NYG 38,3,0,Eli Manning pass incomplete deep right intended for Rueben Randle (defended by Kam Chancellor),0.500,-0.850
2,12:06,4,6,NYG 38,3,0,"Steve Weatherford punts 43 yards, returned by Golden Tate for no gain",-0.850,-0.150
2,11:55,1,10,SEA 19,3,0,Russell Wilson sacked by Ryan Mundy for -4 yards,0.150,-1.000
2,11:20,2,14,SEA 15,3,0,Russell Wilson pass complete short left to Marshawn Lynch for 2 yards (tackle by Jon Beason and Spencer Paysinger),-1.000,-1.420
2,10:35,3,12,SEA 17,3,0,Russell Wilson pass incomplete deep left intended for Golden Tate (defended by Prince Amukamara),-1.420,-2.320
2,10:27,4,12,SEA 17,3,0,"Jon Ryan punts 53 yards, returned by Rueben Randle for 4 yards (tackle by Jeremy Lane)",-2.320,-1.200
2,10:13,1,10,NYG 34,3,0,Andre Brown right tackle for 1 yard (tackle by Brandon Mebane and Bobby Wagner),1.200,0.790
2,9:32,2,9,NYG 35,3,0,"Penalty on Eli Manning: False Start, 5 yards (no play)",0.790,0.120
2,9:13,2,14,NYG 30,3,0,Eli Manning pass incomplete deep right intended for Hakeem Nicks is intercepted by Richard Sherman at SEA-38,0.120,-1.470
2,9:03,1,10,SEA 38,3,0,Russell Wilson pass complete short middle to Doug Baldwin for 9 yards (tackle by Terrell Thomas),1.470,2.140
2,8:33,2,1,SEA 47,3,0,Marshawn Lynch up the middle for 5 yards (tackle by Spencer Paysinger and Keith Rivers),2.140,2.390
