Quarter,Time,Tm,Detail,SEA,NYG
1.0,8:33,Seahawks,Stephen Hauschka 49 yard field goal,3,0
2.0,5:30,Seahawks,Marshawn Lynch 2 yard rush (Stephen Hauschka kick),10,0
,0:03,Seahawks,Stephen Hauschka 44 yard field goal,13,0
3.0,8:47,Seahawks,Stephen Hauschka 24 yard field goal,16,0
4.0,12:13,Seahawks,Doug Baldwin 12 yard pass from Russell Wilson (Stephen Hauschka kick),23,0
