Unnamed: 0,SEA,NYG
First Downs,21,12
Rush-Yds-TDs,34-134-1,14-25-0
Cmp-Att-Yd-TD-INT,20-29-222-1-1,22-35-186-0-5
Sacked-Yards,4-29,4-30
Net Pass Yards,193,156
Total Yards,327,181
Fumbles-Lost,2-0,2-0
Turnovers,1,5
Penalties-Yards,8-50,5-38
Third Down Conv.,3-13,1-10
Fourth Down Conv.,0-0,0-0
Time of Possession,33:58,26:02
