Quarter,Time,Down,ToGo,Location,ATL,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley left guard for 4 yards (tackle by Keanu Neal),0.610,0.600
1,14:20,2,6,LAR 29,0,0,Jared Goff pass incomplete short left intended for Todd Gurley,0.600,-0.100
1,14:16,3,6,LAR 29,0,0,Jared Goff sacked by Vic Beasley for -1 yards,-0.100,-1.500
1,13:41,4,7,LAR 28,0,0,Johnny Hekker punts 66 yards,-1.500,0.380
1,13:26,1,10,ATL 6,0,0,Matt Ryan pass incomplete short middle intended for Mohamed Sanu (defended by Troy Hill),-0.380,-0.780
1,13:21,2,10,ATL 6,0,0,Matt Ryan pass incomplete,-0.780,-1.420
1,13:13,3,10,ATL 6,0,0,Matt Ryan pass complete short right to Julio Jones for 6 yards (tackle by Mark Barron),-1.420,-2.490
1,12:37,4,4,ATL 12,0,0,"Matthew Bosher punts 51 yards, returned by Pharoh Cooper for 9 yards (tackle by Duke Riley)",-2.490,-1.990
1,12:22,1,10,LAR 46,0,0,Todd Gurley left end for 8 yards (tackle by Deion Jones),1.990,2.530
1,11:52,2,2,ATL 46,0,0,Jared Goff pass incomplete short left intended for Cooper Kupp,2.530,1.820
1,11:48,3,2,ATL 46,0,0,Jared Goff sacked by Takkarist McKinley for -5 yards,1.820,-0.130
1,11:05,4,7,LAR 49,0,0,"Johnny Hekker punts 45 yards, returned by Andre Roberts for 4 yards (tackle by Cory Littleton)",-0.130,0.380
1,10:55,1,10,ATL 10,0,0,Devonta Freeman left end for -3 yards (tackle by Robert Quinn and Ethan Westbrooks),-0.380,-1.000
1,10:12,2,13,ATL 7,0,0,Matt Ryan left end for 4 yards (tackle by Alec Ogletree),-1.000,-1.300
1,9:37,3,9,ATL 11,0,0,Matt Ryan pass complete short left to Devonta Freeman for 3 yards (tackle by Trumaine Johnson),-1.300,-2.470
1,8:56,4,6,ATL 14,0,0,"Matthew Bosher punts 43 yards, muffed catch by Blake Countess, recovered by LaRoy Reynolds and returned for no gain",-2.470,4.440
1,8:40,1,10,LAR 17,0,0,Tevin Coleman left end for 3 yards (tackle by Troy Hill),4.440,4.320
1,8:02,2,7,LAR 14,0,0,Matt Ryan pass incomplete short left intended for Mohamed Sanu,4.320,3.500
1,7:56,3,7,LAR 14,0,0,Matt Ryan middle for 3 yards (tackle by Robert Quinn),3.500,2.770
1,7:17,4,4,LAR 11,3,0,Matt Bryant 29 yard field goal good,2.770,3.000
1,7:13,,,ATL 35,3,0,"Matthew Bosher kicks off 61 yards, returned by Pharoh Cooper for 13 yards (tackle by Damontae Kazee). Penalty on Damontae Kazee: Low Block, 15 yards",0.000,-1.070
1,7:07,1,10,LAR 32,3,0,"Penalty on Brooks Reed: Neutral Zone Infraction, 5 yards (no play)",1.070,1.800
1,7:07,1,5,LAR 37,3,0,Todd Gurley middle for 5 yards (tackle by Courtney Upshaw and Keanu Neal),1.800,1.730
1,6:33,1,10,LAR 42,3,0,Jared Goff pass complete short left to Todd Gurley for 3 yards (tackle by Brian Poole),1.730,1.590
1,5:54,2,7,LAR 45,3,0,Jared Goff pass incomplete deep left intended for Sammy Watkins (defended by Robert Alford),1.590,0.890
1,5:47,3,7,LAR 45,3,0,Jared Goff pass incomplete short left intended for Cooper Kupp (defended by Desmond Trufant),0.890,-0.390
1,5:41,4,7,LAR 45,3,0,"Johnny Hekker punts 45 yards, fair catch by Andre Roberts",-0.390,0.380
1,5:35,1,10,ATL 10,3,0,Devonta Freeman middle for 4 yards (tackle by Alec Ogletree),-0.380,-0.460
1,4:53,2,6,ATL 14,3,0,Devonta Freeman middle for 3 yards (tackle by Ethan Westbrooks),-0.460,-0.600
1,4:13,3,3,ATL 17,3,0,Matt Ryan pass complete short middle to Mohamed Sanu for 6 yards (tackle by Nickell Robey-Coleman),-0.600,0.480
1,3:31,1,10,ATL 23,3,0,Matt Ryan pass complete deep left to Julio Jones for 27 yards (tackle by Lamarcus Joyner),0.480,2.260
1,2:53,1,10,,3,0,Julio Jones right end for 13 yards (tackle by Lamarcus Joyner),2.260,3.120
1,2:11,1,10,LAR 37,3,0,Tevin Coleman right end for 4 yards (tackle by Samson Ebukam),3.120,3.110
1,1:39,2,6,LAR 33,3,0,Matt Ryan pass incomplete short middle intended for Mohamed Sanu (defended by Nickell Robey-Coleman),3.110,2.410
1,1:33,3,6,LAR 33,3,0,Matt Ryan pass incomplete short right intended for Devonta Freeman,2.410,1.160
1,1:28,4,6,LAR 33,6,0,Matt Bryant 51 yard field goal good,1.160,3.000
1,1:23,,,ATL 35,6,0,"Matthew Bosher kicks off 58 yards, returned by Pharoh Cooper for 21 yards (tackle by Damontae Kazee). Pharoh Cooper fumbles, recovered by Kemal Ishmael at LAR-32",0.000,3.450
1,1:15,1,10,LAR 32,6,0,Devonta Freeman middle for 1 yard (tackle by Alec Ogletree),3.450,3.040
1,0:38,2,9,LAR 31,6,0,Devonta Freeman left end for 7 yards (tackle by Aaron Donald),3.040,3.270
Quarter,Time,Down,ToGo,Location,ATL,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,LAR 24,6,0,Matt Ryan pass complete short right to Mohamed Sanu for 6 yards (tackle by Nickell Robey-Coleman),3.270,4.370
2,14:28,1,10,LAR 18,6,0,Devonta Freeman right end for no gain (tackle by Morgan Fox),4.370,3.800
2,13:45,2,10,LAR 18,6,0,Matt Ryan pass complete short left to Tevin Coleman for 6 yards (tackle by Mark Barron),3.800,4.030
2,12:59,3,4,LAR 12,6,0,Matt Ryan pass complete short middle to Austin Hooper for 5 yards (tackle by John Johnson),4.030,5.600
2,12:20,1,7,LAR 7,6,0,Matt Ryan pass complete short right to Julio Jones for 4 yards (tackle by Nickell Robey-Coleman),5.600,0.000
2,11:40,,,,,,Timeout #1 by Los Angeles Rams,0.000,-5.530
2,11:40,2,3,LAR 3,12,0,"Devonta Freeman middle for 3 yards, touchdown",5.530,7.000
2,11:34,,,LAR 15,13,0,Matt Bryant kicks extra point good,0.000,0.000
2,11:34,,,ATL 35,13,0,"Matthew Bosher kicks off 61 yards, returned by Pharoh Cooper for 18 yards (tackle by Keanu Neal)",0.000,-0.410
2,11:29,1,10,LAR 22,13,0,Todd Gurley middle for no gain (tackle by Dontari Poe and Takkarist McKinley),0.410,-0.130
2,10:56,2,10,LAR 22,13,0,Jared Goff pass complete short right to Robert Woods for 17 yards (tackle by Keanu Neal),-0.130,1.530
2,10:21,1,10,LAR 39,13,0,Todd Gurley left end for -3 yards (tackle by Adrian Clayborn),1.530,0.580
2,9:44,2,13,LAR 36,13,0,Jared Goff pass incomplete short left intended for Todd Gurley,0.580,-0.100
2,9:41,3,13,LAR 36,13,0,Jared Goff pass complete short left to Robert Woods for 15 yards (tackle by Robert Alford). Penalty on Robert Alford: Defensive Holding (Declined),-0.100,2.320
2,9:16,1,10,ATL 49,13,0,Jared Goff pass incomplete short right intended for Todd Gurley,2.320,1.780
2,9:10,2,10,ATL 49,13,0,Todd Gurley middle for 1 yard (tackle by Vic Beasley and Deion Jones),1.780,1.220
2,8:46,3,9,ATL 48,13,0,Jared Goff pass incomplete short middle intended for Todd Gurley,1.220,0.070
2,8:43,4,9,ATL 48,13,0,"Johnny Hekker punts 35 yards, fair catch by Andre Roberts",0.070,0.320
2,8:34,1,10,ATL 13,13,0,Matt Ryan pass complete short right to Mohamed Sanu for 11 yards (tackle by Mark Barron),-0.320,0.540
2,7:56,1,10,ATL 24,13,0,Tevin Coleman middle for 2 yards (tackle by Aaron Donald),0.540,0.270
2,7:14,2,8,ATL 26,13,0,Matt Ryan pass complete short middle to Austin Hooper for 5 yards (tackle by Mark Barron and Lamarcus Joyner),0.270,0.230
2,6:28,3,3,ATL 31,13,0,Matt Ryan sacked by Aaron Donald and Michael Brockers for -7 yards,0.230,-1.770
2,5:54,4,10,ATL 24,13,0,"Matthew Bosher punts 55 yards, returned by Pharoh Cooper for no gain",-1.770,-0.340
2,5:39,1,10,LAR 21,13,0,Todd Gurley right tackle for 4 yards (tackle by Vic Beasley and Courtney Upshaw),0.340,0.340
2,4:59,2,6,LAR 25,13,0,"Todd Gurley middle for 26 yards (tackle by Robert Alford). Penalty on Ricardo Allen: Unnecessary Roughness, 15 yards",0.340,3.310
2,4:36,1,10,ATL 34,13,0,Jared Goff pass incomplete deep left intended for Robert Woods,3.310,2.770
2,4:31,2,10,ATL 34,13,0,Jared Goff pass complete short middle to Cooper Kupp for 15 yards (tackle by Brian Poole),2.770,4.310
