Unnamed: 0,ATL,LAR
First Downs,20,19
Rush-Yds-TDs,39-124-1,16-115-0
Cmp-Att-Yd-TD-INT,21-30-218-1-0,24-45-259-1-0
Sacked-Yards,3-20,3-13
Net Pass Yards,198,246
Total Yards,322,361
Fumbles-Lost,0-0,2-2
Turnovers,0,2
Penalties-Yards,4-51,5-45
Third Down Conv.,5-15,5-14
Fourth Down Conv.,1-1,1-3
Time of Possession,37:35,22:25
