Quarter,Time,Tm,Detail,ATL,LAR
1.0,7:13,Falcons,Matt Bryant 29 yard field goal,3,0
,1:23,Falcons,Matt Bryant 51 yard field goal,6,0
2.0,11:34,Falcons,Devonta Freeman 3 yard rush (Matt Bryant kick),13,0
,2:34,Rams,Cooper Kupp 14 yard pass from Jared Goff (Sam Ficken kick),13,7
,0:03,Rams,Sam Ficken 35 yard field goal,13,10
3.0,6:45,Falcons,Matt Bryant 25 yard field goal,16,10
,0:19,Falcons,Matt Bryant 54 yard field goal,19,10
4.0,10:49,Rams,Sam Ficken 32 yard field goal,19,13
,5:48,Falcons,Julio Jones 8 yard pass from Matt Ryan (Matt Bryant kick),26,13
