Quarter,Time,Tm,Detail,DET,BAL
1.0,0:40,Ravens,Billy Cundiff 38 yard field goal,0,3
2.0,11:56,Ravens,Derrick Mason 62 yard pass from Joe Flacco (Billy Cundiff kick),0,10
,4:32,Lions,Jason Hanson 22 yard field goal,3,10
,3:32,Ravens,Ray Rice 59 yard rush (Billy Cundiff kick),3,17
,1:10,Ravens,Billy Cundiff 25 yard field goal,3,20
3.0,8:50,Ravens,Le'Ron McClain 3 yard rush (Billy Cundiff kick),3,27
,4:16,Ravens,Willis McGahee 8 yard rush (Billy Cundiff kick),3,34
,0:51,Ravens,Willis McGahee 19 yard rush (Billy Cundiff kick),3,41
4.0,5:02,Ravens,Troy Smith 15 yard rush (Billy Cundiff kick),3,48
