Unnamed: 0,DET,BAL
First Downs,13,24
Rush-Yds-TDs,32-103-0,40-308-5
Cmp-Att-Yd-TD-INT,16-34-135-0-2,15-23-240-1-0
Sacked-Yards,1-9,0-0
Net Pass Yards,126,240
Total Yards,229,548
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,4-40,5-50
Third Down Conv.,5-17,6-13
Fourth Down Conv.,0-4,2-2
Time of Possession,30:15,29:45
